N	2gram	Berdyaev_O	Freidism
1	и не	13	34
2	не может	4	30
3	и пр	1	29
4	в этом	12	28
5	может быть	11	28
6	и в	19	28
7	прежде всего	9	26
8	в его	7	25
9	и его	4	22
10	как бы	3	19
11	то что	5	17
12	вовсе не	1	16
13	жизни человека	1	15
14	все эти	4	15
15	так как	2	15
16	с ним	3	14
17	в своей	2	14
18	так и	2	14
19	самом деле	1	14
20	в душе	2	13
21	и все	10	13
22	как и	6	13
23	но в	2	13
24	в самом	5	12
25	что он	3	12
26	том что	2	12
27	во внешнем	1	12
28	для него	5	12
29	все это	6	12
30	и потому	2	12
31	сказать что	2	11
32	его в	2	11
33	все что	3	10
34	один из	1	10
35	не только	11	10
36	и с	2	10
37	но и	13	10
38	что же	2	10
39	никогда не	9	10
40	в том	5	10
41	он не	7	10
42	не в	11	10
43	и на	2	9
44	уже не	1	9
45	во всяком	1	9
46	совершенно не	1	9
47	мы не	1	9
48	с его	4	9
49	к этому	2	9
50	к нему	3	9
51	а не	11	9
52	могут быть	3	9
53	все же	2	8
54	еще не	3	8
55	было бы	3	8
56	и вот	3	8
57	а в	5	8
58	в ней	1	8
59	всяком случае	1	8
60	что в	4	7
61	и к	2	7
62	не могут	3	7
63	связь с	1	7
64	в жизни	1	7
65	его жизни	1	7
66	хотя бы	3	7
67	до конца	7	7
68	что все	2	7
69	и для	2	7
70	из них	1	7
71	того что	3	7
72	но не	1	7
73	чувств и	1	7
74	в нем	10	7
75	в этой	5	7
76	отношение к	5	7
77	в себе	3	7
78	жизни и	1	7
79	и прежде	1	7
80	и ее	3	7
81	в человеке	9	6
82	учение о	2	6
83	одно из	2	6
84	в корне	1	6
85	для того	3	6
86	на самом	1	6
87	она не	1	6
88	совсем не	2	6
89	и что	1	6
90	человека и	10	6
91	и о	2	6
92	что это	1	5
93	со всеми	1	5
94	в своих	3	5
95	ее в	2	5
96	в процессе	1	5
97	с ними	1	5
98	со стороны	1	5
99	того чтобы	4	5
100	и до	1	5
101	что она	1	5
102	он сам	4	5
103	это не	3	5
104	в ее	2	5
105	что и	2	5
106	с их	1	5
107	в которой	2	5
108	первый период	1	5
109	в этих	3	5
110	не было	9	5
111	как это	1	5
112	от того	1	5
113	заключается в	1	5
114	ничего не	2	5
115	все основные	1	4
116	а потому	1	4
117	все позволено	1	4
118	смысле слова	1	4
119	мысли и	3	4
120	сам по	1	4
121	характер и	1	4
122	в виду	1	4
123	по себе	2	4
124	если бы	1	4
125	как в	1	4
126	в котором	1	4
127	в первый	1	4
128	потому что	9	4
129	в этот	2	4
130	в мир	1	4
131	в истории	2	4
132	отметить что	1	4
133	в своем	2	4
134	все время	1	4
135	одна из	1	4
136	но это	1	4
137	этом отношении	1	4
138	человека в	11	4
139	у него	22	4
140	не существует	1	4
141	в голову	1	4
142	нисколько не	1	4
143	сам человек	1	4
144	человека к	2	4
145	человеческой психики	1	4
146	в другом	2	4
147	личности и	2	4
148	к ней	2	4
149	уже указывали	1	4
150	не так	1	3
151	в центре	1	3
152	и очень	2	3
153	о которой	2	3
154	нет никакого	1	3
155	в них	1	3
156	и даже	1	3
157	психологии и	1	3
158	все его	1	3
159	не делает	1	3
160	он хотел	1	3
161	к его	1	3
162	жизни в	2	3
163	где оно	1	3
164	он был	8	3
165	этот период	1	3
166	сознания в	1	3
167	между двумя	1	3
168	в одном	1	3
169	можно ли	2	3
170	в совершенно	1	3
171	уже в	2	3
172	тем же	1	3
173	находится в	1	3
174	о том	3	3
175	в сознании	1	3
176	на этот	1	3
177	а вовсе	1	3
178	из него	1	3
179	и то	2	3
180	говорит о	1	3
181	мир в	1	3
182	к человеку	9	3
183	и этим	2	3
184	у нас	1	3
185	от всех	1	3
186	в силах	1	3
187	вражда к	1	3
188	во внутренней	1	3
189	и как	1	3
190	и сам	1	3
191	в свой	1	3
192	себе и	1	3
193	под влиянием	1	3
194	когда он	3	3
195	и ни	2	3
196	человека с	1	3
197	природы и	2	3
198	бы он	1	3
199	и от	3	3
200	и есть	3	3
201	нуждается в	1	3
202	в эпоху	1	3
203	и самое	1	2
204	к этой	2	2
205	жизни а	1	2
206	его с	1	2
207	должна быть	1	2
208	человек может	1	2
209	в науке	1	2
210	в отношении	1	2
211	это есть	1	2
212	их не	2	2
213	особого рода	1	2
214	ведь все	1	2
215	психики на	1	2
216	из всего	2	2
217	отношения к	1	2
218	в мире	1	2
219	они и	1	2
220	приходит в	1	2
221	а именно	1	2
222	не имеет	2	2
223	отличается от	1	2
224	да и	1	2
225	ли он	1	2
226	тому кто	1	2
227	его и	1	2
228	бы и	1	2
229	должно быть	2	2
230	вопрос о	10	2
231	и начинается	1	2
232	связана с	1	2
233	в культурном	1	2
234	представляет собой	1	2
235	у самого	1	2
236	распадается на	1	2
237	еще более	1	2
238	цели и	1	2
239	в глаза	1	2
240	которого они	1	2
241	когда человек	1	2
242	бы в	1	2
243	подойти к	2	2
244	как к	2	2
245	влечет к	3	2
246	и через	1	2
247	еще больше	1	2
248	одного только	2	2
249	он и	1	2
250	о нем	1	2
251	природной и	1	2
252	будто бы	1	2
253	дело в	1	2
254	в глубине	7	2
255	в конце	1	2
256	он в	2	2
257	есть та	1	2
258	не есть	2	2
259	другом месте	1	2
260	от этого	1	2
261	это было	3	2
262	что как	1	2
263	в одной	1	2
264	ко всему	1	2
265	и мысли	4	2
266	нужно отметить	1	2
267	а с	1	2
268	человека все	2	2
269	его не	2	2
270	также и	1	2
271	человека как	1	2
272	речи и	1	2
273	одним словом	1	2
274	в нас	1	2
275	проникнуть в	1	2
276	и острота	1	2
277	к которой	1	2
278	думать что	1	2
279	этого нужно	1	2
280	но нет	1	2
281	необходим для	1	2
282	всю жизнь	1	2
283	человек не	7	2
284	то в	1	2
285	чтобы не	1	2
286	он должен	1	2
287	мира в	1	2
288	только их	1	1
289	что было	1	1
290	науки о	1	1
291	во всем	1	1
292	и гармонии	1	1
293	человеческой личности	6	1
294	человеческой души	6	1
295	тянется к	1	1
296	и здесь	1	1
297	та же	1	1
298	никогда и	2	1
299	и ницше	1	1
300	любовь к	2	1
301	нужно искать	5	1
302	до самого	5	1
303	была бы	1	1
304	разум и	1	1
305	из всех	1	1
306	художественного творчества	1	1
307	в разных	1	1
308	отношении к	1	1
309	но тем	1	1
310	проникновения в	1	1
311	что человек	3	1
312	иногда и	1	1
313	интерес к	1	1
314	видеть его	1	1
315	быть может	3	1
316	природа человека	1	1
317	должен был	2	1
318	что нет	1	1
319	ко всем	2	1
320	в борьбе	1	1
321	на примере	1	1
322	представляется ему	1	1
323	любовь и	1	1
324	человека для	1	1
325	только несколько	1	1
326	тем что	2	1
327	но никогда	2	1
328	например в	1	1
329	с тем	2	1
330	вот с	1	1
331	высокого и	1	1
332	себе даже	2	1
333	человека есть	2	1
334	самого конца	2	1
335	сравнению с	1	1
336	в это	1	1
337	и нет	2	1
338	самое совершенное	1	1
339	по силам	1	1
340	но оно	1	1
341	нет ничего	7	1
342	природы в	2	1
343	бросается в	1	1
344	заложенных в	2	1
345	и действий	1	1
346	после того	1	1
347	не имеют	1	1
348	и вечно	1	1
349	показывает нам	1	1
350	даже и	2	1
351	это за	3	1
352	он еще	1	1
353	по сравнению	1	1
354	это все	1	1
355	быть не	1	1
356	судьба человека	1	1
357	на два	1	1
358	всей ее	1	1
359	человека от	1	1
360	и тогда	1	1
361	нигде и	1	1
362	с которой	2	1
363	и больше	1	1
364	только один	1	1
365	в которую	1	1
366	может служить	1	1
367	за собой	1	1
368	в строгом	1	1
369	и когда	1	1
370	люди а	1	1
371	людей и	1	1
372	а те	1	1
373	в форму	1	1
374	любви к	1	1
375	всего что	1	1
376	всегда и	1	1
377	и формы	1	1
378	этого мира	2	1
379	и там	2	1
380	могут и	1	1
381	во внешней	1	1
382	жизни как	1	1
383	не являлось	1	1
384	в самую	4	1
385	человеческая личность	1	1
386	ли нам	1	1
387	человек был	3	1
388	еще ничего	1	1
389	оно дает	1	1
390	чтобы все	1	1
391	русской литературы	1	1
392	его силы	1	1
393	момент в	2	1
394	который в	1	1
395	этого слова	1	1
396	что говорит	1	1
397	друг с	1	1
398	него не	2	1
399	на своем	1	1
400	свои собственные	1	1
401	с того	1	1
402	через человеческую	1	1
403	но есть	1	1
404	единство в	1	1
405	уже с	1	1
406	все в	4	1
407	ближе к	1	1
408	и весь	1	1
409	его собственного	1	1
410	связан с	1	1
411	что они	2	1
412	в свое	1	1
413	ее и	1	1
414	еще одну	1	1
415	и он	8	1
416	этом нужно	1	1
417	только одно	3	1
418	различие между	3	1
419	указать на	1	1
420	был еще	2	1
421	тем острее	1	1
422	чем на	3	1
423	собой в	1	1
424	иметь право	1	1
425	но еще	1	1
426	для всякого	2	1
427	всякого человека	1	1
428	не теряет	1	1
429	это я	1	1
430	это часто	1	1
431	но от	1	1
432	хотя и	2	1
433	а это	1	1
434	и раньше	1	1
435	не хочет	1	1
436	свободу и	1	1
437	и тут	1	1
438	с одного	1	1
439	да ведь	1	1
440	дана уже	1	1
441	совершенное произведение	1	1
442	смысле этого	1	1
443	системы и	1	1
444	бытие и	1	1
445	для его	1	1
446	та самая	1	1
447	свой метод	1	1
448	чем в	2	1
449	и природной	1	1
450	же не	1	1
451	к чему	1	1
452	остается и	1	1
453	и ценности	1	1
454	у толстого	1	1
455	было для	2	1
456	и эта	1	1
457	там и	1	1
458	всегда оказывается	1	1
459	вещей и	1	1
460	бы признать	1	1
461	с той	1	1
462	и без	1	1
463	не умирает	1	1
464	было до	1	1
465	человек в	1	1
466	одно только	1	1
467	страха и	1	1
468	говорят о	1	1
469	человеком в	1	1
470	а иногда	1	1
471	он никогда	1	1
472	лишь для	1	1
473	связанным с	1	1
474	и это	1	1
475	с другом	1	1
476	связанная с	1	1
477	это так	1	1
478	особенно в	1	1
479	в противоречии	1	1
480	не все	2	1
481	людей в	1	1
482	в русской	3	1
483	в каждом	1	1
484	говорит он	1	1
485	но можно	1	1
486	он художник	1	1
487	это конечно	1	1
488	и других	1	1
489	он ни	1	1
490	при чтении	2	1
491	нельзя найти	1	1
492	ту же	1	1
493	не по	1	1
494	это для	1	1
495	и нигде	1	1
496	кажется что	1	1
497	не оставляет	1	1
498	страсть и	1	1
499	не с	1	1
500	для человека	2	1
501	можно было	1	1
502	в форме	1	1
503	оказывается что	1	1
504	есть лишь	4	1
505	вот что	1	1
506	европе и	1	1
507	для человеческой	1	1
508	и всех	1	1
509	мысль о	2	1
510	и влечет	1	1
511	но всегда	1	1
512	положительное учение	1	1
513	истории и	1	1
514	свое учение	1	1
515	него и	4	1
516	что во	1	1
517	и никогда	2	1
518	и каждый	1	1
519	нам все	1	1
520	в человеческой	1	1
521	ином измерении	1	1
522	действительно в	1	1
523	свои силы	1	1
524	как будто	1	1
525	на то	1	1
526	бы ни	1	1
527	идеалистическому монизму	1	1
528	формы он	1	1
529	же это	2	1
530	ли может	1	1
531	их взаимоотношения	1	1
532	нормальное и	1	1
533	растворяется в	1	1
534	противоречии с	1	1
535	него что	1	1
536	и чем	1	1
537	есть не	1	1
538	и самый	1	1
