N	2gram	Medvedev_V	EvropaiE
1	и в	2	37
2	то же	1	15
3	хотя бы	1	15
4	и не	1	14
5	в этом	1	12
6	в том	2	11
7	в их	1	11
8	только в	1	9
9	так как	1	7
10	том что	2	6
11	в частности	1	5
12	столь же	1	5
13	в самом	1	4
14	именно в	1	4
15	тем более	1	4
16	техники и	1	4
17	дело в	1	3
18	в которых	1	3
19	по своим	1	3
20	потому что	1	3
21	время в	1	3
22	и только	1	3
23	и то	1	2
24	более к	1	2
25	для них	1	2
26	как же	1	2
27	более чем	1	2
28	в значительной	1	2
29	чем больше	1	2
30	далеко не	1	2
31	с большой	1	2
32	главным образом	1	2
33	которые они	1	2
34	том же	1	1
35	сказать чтобы	1	1
36	говорили в	1	1
37	сводится к	1	1
38	имеется в	1	1
39	жизни которое	1	1
40	к созданию	1	1
41	же все	1	1
42	этому и	1	1
43	образом из	1	1
44	от других	1	1
45	даже не	1	1
46	значительной степени	1	1
47	отказались от	1	1
48	и его	1	1
49	но это	1	1
50	гораздо более	1	1
