N	3gram	Voloshinov	Analitik
1	в том что	1	25
2	не может быть	2	19
3	по отношению к	2	18
4	в то же	9	16
5	о том что	2	15
6	то же время	7	14
7	той или иной	4	14
8	в конечном счете	1	11
9	на наш взгляд	1	11
10	того или иного	5	9
11	с другой стороны	1	9
12	в свою очередь	4	9
13	по крайней мере	1	9
14	с точки зрения	5	8
15	как и в	1	8
16	не только в	3	8
17	в этом отношении	2	8
18	что иное как	2	7
19	тем не менее	1	6
20	одного и того	1	6
21	и того же	1	6
22	не что иное	2	6
23	не только не	1	5
24	есть не что	2	5
25	но и в	3	5
26	в русской литературе	1	5
27	в этом случае	3	5
28	в нашем случае	1	4
29	в самом деле	2	4
30	для того чтобы	7	4
31	тех или иных	3	4
32	и тем самым	3	4
33	и не может	1	4
34	и в этом	1	4
35	в значительной степени	2	4
36	и как бы	2	3
37	одни и те	2	3
38	хотя бы и	1	3
39	в зависимости от	7	3
40	не в самом	1	3
41	в связи с	2	3
42	то же самое	4	3
43	как раз и	1	3
44	и те же	2	3
45	дело не с	1	3
46	можно сказать что	2	3
47	и той же	4	3
48	и все же	1	3
49	содержит в себе	1	3
50	одной и той	4	3
51	и т.д в	1	3
52	между тем в	1	3
53	тот или иной	2	3
54	же самое время	2	2
55	отнюдь не является	1	2
56	не остается ничего	1	2
57	не только его	1	2
58	более или менее	1	2
59	можно было бы	1	2
60	одних и тех	1	2
61	в литературном произведении	1	2
62	до сих пор	1	2
63	и тех же	1	2
64	смысле этого слова	2	2
65	иметь дело с	1	2
66	тому или иному	1	2
67	и то же	5	2
68	к тому что	2	2
69	как и от	1	2
70	в тех случаях	2	2
71	в том и	1	2
72	мысль о том	1	2
73	и к тому	1	2
74	но и его	1	2
75	не должен быть	1	2
76	на этот вопрос	1	2
77	не говоря уже	1	2
78	одно и то	5	2
79	но в то	2	2
80	тех случаях когда	2	2
81	на первый взгляд	2	2
82	прежде всего в	4	2
83	нет и не	1	2
84	внутренней и внешней	3	2
85	что несмотря на	1	2
86	значение лишь в	1	1
87	речи то есть	2	1
88	но то что	1	1
89	в дальнейшем мы	1	1
90	должны были бы	2	1
91	как мы это	1	1
92	сколько бы мы	1	1
93	случаях когда мы	1	1
94	в той же	3	1
95	бытие человека и	1	1
96	мы видим что	2	1
97	в себе все	1	1
98	как и вообще	1	1
99	бы мы ни	3	1
100	и т.п не	1	1
101	уже содержит в	1	1
102	то или иное	4	1
103	но если бы	1	1
104	не является ни	1	1
105	еще раз что	1	1
106	и т.п если	1	1
107	и во всех	1	1
108	все еще не	1	1
109	и здесь остается	1	1
110	не так как	2	1
111	и вследствие этого	2	1
112	на вопрос о	1	1
113	с целым рядом	1	1
114	тот же самый	1	1
115	дальнейшем мы будем	1	1
116	в качестве одного	1	1
117	они как бы	1	1
118	отнюдь не только	1	1
119	высказывания но они	1	1
120	вновь и вновь	1	1
121	из них в	1	1
122	не только на	1	1
123	да еще в	1	1
124	именно потому что	1	1
125	не смог бы	1	1
126	наиболее существенные и	1	1
127	той же мере	1	1
128	о том какое	1	1
129	то у нас	1	1
130	в конце концов	3	1
131	как и всякий	1	1
132	само по себе	1	1
133	нет ничего что	1	1
134	по ту сторону	1	1
135	таким образом в	1	1
136	своей жизни как	1	1
137	здесь как бы	1	1
138	а затем и	1	1
139	и тем же	2	1
140	и т.п и	3	1
141	всех своих частях	1	1
142	между внутренней и	2	1
143	этом мы будем	1	1
144	произведения но в	1	1
145	не нуждается в	1	1
146	перед нами не	1	1
147	и т.п как	1	1
148	слова были бы	1	1
149	он в то	1	1
150	если не будет	1	1
151	не должно быть	2	1
152	сознания как и	1	1
153	собственном смысле слова	1	1
154	сидит за столом	1	1
155	в одном из	1	1
156	что могло бы	1	1
157	больше и больше	2	1
158	в иной ситуации	1	1
159	вместе с тем	2	1
160	достаточно было бы	1	1
161	человека с человеком	1	1
162	идет об одном	1	1
163	к чему не	2	1
164	и т.д что	1	1
165	в большинстве случаев	1	1
166	как это ни	1	1
167	иметь дело не	1	1
168	но при этом	2	1
169	в самый момент	1	1
170	и в особенности	1	1
171	должны помнить что	1	1
172	той же самой	2	1
173	ту или иную	4	1
174	во внутренней речи	3	1
175	уже не к	1	1
176	тот факт что	1	1
177	только в том	1	1
178	в конце фразы	3	1
179	особое место в	1	1
180	во всех своих	3	1
181	и та же	1	1
182	вопрос о том	1	1
183	несмотря на свою	1	1
184	и тем что	1	1
185	равно как и	2	1
186	на самом деле	3	1
187	но и весь	1	1
188	при этом она	1	1
189	и здесь мы	1	1
190	одним и тем	1	1
191	только тогда когда	1	1
192	при этом мы	1	1
193	что было бы	1	1
194	мы имеем в	1	1
195	прежде всего с	1	1
196	в пределах одного	1	1
197	несет в себе	1	1
198	создается прежде всего	1	1
199	и при этом	1	1
200	в собственном смысле	1	1
201	и не могут	1	1
202	и есть не	1	1
203	мы должны помнить	1	1
204	как мы увидим	2	1
205	одна и та	1	1
206	или хотя бы	2	1
207	это отнюдь не	1	1
208	ни к чему	2	1
209	как бы в	3	1
210	то что мы	4	1
211	пока же мы	1	1
212	в этой ситуации	1	1
213	в самом широком	1	1
214	может быть достаточно	1	1
215	истории не только	1	1
216	здесь в сознании	1	1
217	усложняется тем что	1	1
