N	2gram	Ircho_Kome	ViktorSh
1	в книге	1	3
2	конце концов	4	2
3	в конце	7	2
4	и в	40	2
5	в том	19	2
6	том что	19	2
7	в другом	5	1
8	все время	2	1
9	но это	2	1
10	юноши в	1	1
11	столь же	9	1
12	том же	1	1
13	по существу	1	1
14	главным образом	4	1
15	в самом	5	1
16	чем больше	1	1
17	социальных отношений	1	1
18	один пример	1	1
19	для них	2	1
20	хотел сказать	1	1
21	а только	1	1
22	от других	1	1
23	именно в	5	1
24	имеется в	1	1
25	здесь достаточно	1	1
26	более чем	4	1
27	ясно что	9	1
28	стр и	2	1
29	с большой	1	1
30	говоря о	1	1
31	в частности	7	1
32	так в	6	1
33	поэтического творчества	1	1
34	время в	1	1
35	и его	17	1
36	сводится к	1	1
37	даже не	4	1
38	значительной степени	1	1
39	хотя бы	2	1
40	других и	1	1
41	по поводу	7	1
42	далеко не	1	1
43	тем более	1	1
44	впрочем не	2	1
45	в которых	1	1
46	говорится в	1	1
47	к этому	8	1
48	только в	6	1
49	потому что	8	1
50	в значительной	1	1
51	ничуть не	3	1
52	в их	6	1
53	и почти	1	1
54	и только	1	1
55	то же	7	1
56	по своим	1	1
57	и не	19	1
58	гораздо более	2	1
59	да и	5	1
60	в этом	9	1
61	так как	6	1
62	все это	7	1
63	в устах	1	1
