N	3gram	Berdyaev_N	Psycholo
1	в том что	1	78
2	о том что	1	34
3	с одной стороны	2	28
4	не может быть	4	23
5	до сих пор	1	23
6	с другой стороны	2	20
7	в том чтобы	1	20
8	в зависимости от	1	15
9	так же как	2	14
10	во всяком случае	1	14
11	в то время	1	14
12	заключает в себе	1	13
13	можно было бы	1	13
14	то время как	1	13
15	что в этом	1	12
16	то что он	1	11
17	то что в	1	11
18	подобно тому как	3	11
19	вместе с тем	2	10
20	не в том	1	10
21	сами по себе	1	10
22	в отличие от	1	9
23	в том случае	1	9
24	в том и	2	9
25	что в нем	2	8
26	бы сказать что	1	7
27	том случае если	1	7
28	в этом смысле	2	7
29	как и в	1	7
30	том и заключается	2	6
31	было бы сказать	1	6
32	не только в	1	6
33	и вместе с	1	5
34	и во всех	1	5
35	в том смысле	1	5
36	же как и	1	5
37	как будто бы	1	4
38	и того же	1	4
39	и заключается что	2	4
40	вопрос о том	2	4
41	он не может	2	4
42	не значит что	3	4
43	одного и того	1	4
44	и не может	1	4
45	говорит что в	1	4
46	только потому что	1	4
47	это и есть	1	4
48	ни одна из	2	3
49	не могут быть	1	3
50	в нем нет	2	3
51	в высшей степени	6	3
52	в наше время	3	3
53	я не могу	1	3
54	такой же мере	1	2
55	когда мы говорим	2	2
56	она не может	2	2
57	что она не	1	2
58	могут быть отнесены	1	2
59	потому что не	1	2
60	к вопросу о	1	2
61	это значит что	1	2
62	но и в	1	2
63	и для того	1	2
64	выходит за пределы	1	2
65	никогда не могла	1	2
66	а не к	1	2
67	жизни для этого	1	2
68	но все время	1	2
69	для того и	1	2
70	никогда еще не	1	2
71	может быть только	1	2
72	в такой же	1	2
73	равно как и	2	2
74	но она не	1	2
75	о человеке и	1	2
76	еще то что	1	1
77	не знает во	1	1
78	не менее чем	1	1
79	в россии и	1	1
80	не к чему	1	1
81	она не должна	1	1
82	совершенно так же	1	1
83	это не есть	1	1
84	вступает в свои	1	1
85	в одну из	1	1
86	сказать что все	1	1
87	всей нашей жизни	1	1
88	в наши дни	3	1
89	том числе и	1	1
90	на это не	1	1
91	мы не хотим	1	1
92	жизни в этой	1	1
93	ни в одну	1	1
94	в свои права	2	1
95	это привело к	1	1
96	мысли в том	1	1
97	но это значит	1	1
98	это совсем не	2	1
99	не имеют никакого	1	1
100	и к ней	1	1
101	других людей и	1	1
102	как это было	1	1
103	есть реакция в	1	1
104	сильнее и острее	1	1
105	но это есть	1	1
106	еще не было	1	1
107	со всех сторон	3	1
108	которая в глубине	1	1
109	того чтобы разобраться	1	1
110	в зависимость от	1	1
111	которые могут быть	1	1
112	но это совсем	1	1
113	та или иная	1	1
114	ни в чем	1	1
115	на новых началах	1	1
116	человека не может	1	1
117	том смысле в	1	1
118	не хотим сказать	1	1
119	в средние века	3	1
120	в употреблении слов	1	1
121	быть отнесены к	1	1
122	мы выходим из	1	1
123	в том числе	1	1
124	но я не	1	1
125	не знает что	1	1
126	он не хочет	1	1
127	видим перед собой	1	1
128	чтобы разобраться в	1	1
129	по природе своей	1	1
130	в нашу эпоху	2	1
131	есть вместе с	1	1
132	в нем не	1	1
133	а не в	1	1
134	но это было	1	1
135	лицом к лицу	3	1
136	о том чтобы	1	1
137	быть не может	1	1
138	и это есть	1	1
139	мы должны перейти	1	1
140	и мы не	1	1
141	что он может	1	1
142	он создает себе	1	1
143	так и должно	1	1
144	и не в	1	1
145	конечно не в	1	1
146	в своем развитии	1	1
147	и в ней	1	1
148	я уже говорил	1	1
149	человека в самом	1	1
150	хотим сказать что	1	1
151	в известном смысле	1	1
152	как я уже	1	1
153	есть прежде всего	1	1
154	и все они	1	1
155	отказаться от того	1	1
156	к жизни и	1	1
