N	3gram	Bakhtin_Fr	Komedia
1	в том что	4	29
2	к тому же	1	21
3	в то же	12	16
4	то же время	12	16
5	до сих пор	3	16
6	в самом деле	3	13
7	о том что	4	13
8	в то время	1	11
9	в свою очередь	3	10
10	по отношению к	3	9
11	с одной стороны	3	9
12	речь идет о	1	8
13	с другой стороны	2	8
14	и в самом	1	8
15	в конце концов	5	7
16	дошедших до нас	1	7
17	с самого начала	1	7
18	во всяком случае	1	7
19	в том числе	4	6
20	в связи с	2	6
21	с точки зрения	4	6
22	после того как	6	6
23	о том как	3	5
24	то же самое	1	5
25	за то что	4	5
26	в тех же	1	5
27	в этом отношении	3	5
28	том что он	1	5
29	в одном из	2	4
30	что у него	2	4
31	именно потому что	1	4
32	но все же	1	4
33	в это время	1	4
34	не в состоянии	1	4
35	в достаточной степени	1	4
36	можно было бы	2	4
37	во второй половине	1	4
38	что и в	1	4
39	в той же	5	3
40	то что он	1	3
41	в том же	1	3
42	друг от друга	1	3
43	более или менее	3	3
44	с этой целью	1	3
45	о том чтобы	1	3
46	вместе с ним	1	3
47	но и в	2	3
48	в чем же	2	3
49	в другой раз	1	3
50	таким образом в	2	3
51	мы найдем в	2	3
52	в новое время	1	3
53	то обстоятельство что	1	3
54	том числе и	2	3
55	одной стороны и	1	2
56	в большинстве случаев	9	2
57	в эти годы	1	2
58	между небом и	1	2
59	в этом смысле	1	2
60	же что и	2	2
61	как и в	2	2
62	из них является	1	2
63	так и в	3	2
64	у него в	2	2
65	каждый из них	2	2
66	в первом случае	1	2
67	друг за другом	2	2
68	том что в	1	2
69	к себе в	1	2
70	на первый план	2	2
71	в основе своей	1	2
72	и в том	1	2
73	как это было	1	2
74	в v веке	1	2
75	в одной из	1	2
76	таким образом и	2	2
77	имеем в виду	2	2
78	не только в	1	2
79	мы имеем в	2	2
80	как мы видели	4	2
81	тем более что	1	2
82	в этой же	2	2
83	как и всякий	1	2
84	представляется мне то	1	1
85	свое завершение в	1	1
86	сильных мира сего	1	1
87	что в каждом	1	1
88	и как раз	1	1
89	как и во	1	1
90	имеет ничего общего	1	1
91	как раз на	1	1
92	не могла не	2	1
93	они так же	1	1
94	имеет в виду	1	1
95	в центре этой	1	1
96	ни в малейшей	1	1
97	и с его	2	1
98	в применении к	1	1
99	что уже в	1	1
100	и в следующем	1	1
101	судить о том	1	1
102	поэтому и в	1	1
103	загробное царство и	1	1
104	во всех его	3	1
105	и ничем не	1	1
106	его современников и	1	1
107	до наших дней	2	1
108	и те и	2	1
109	которым он действует	1	1
110	особое значение имеют	1	1
111	путешествие в загробное	1	1
112	к этому вопросу	1	1
113	что все это	2	1
114	именно к этому	1	1
115	еще тем что	1	1
116	и все это	2	1
117	было устроено пиршество	1	1
118	как бы центром	1	1
119	и не имеет	1	1
120	самом деле здесь	1	1
121	как мы уже	4	1
122	одного и того	1	1
123	как с помощью	1	1
124	сам по себе	2	1
125	но он не	1	1
126	из них в	1	1
127	прямое отношение к	1	1
128	в конце xv	1	1
129	в себе самом	1	1
130	ничего общего с	1	1
131	с молодыми людьми	1	1
132	что его образ	1	1
133	по своему характеру	1	1
134	смысле этого слова	1	1
135	что в нем	1	1
136	ближе всего к	1	1
137	вместо того чтобы	2	1
138	совершенно особый характер	1	1
139	большей или меньшей	2	1
140	по аналогии с	1	1
141	и для самого	1	1
142	именно здесь в	1	1
143	и тем самым	1	1
144	и прежде всего	2	1
145	иногда в них	1	1
146	и таким путем	1	1
147	в данном случае	1	1
148	не забудем что	1	1
149	потому что вместе	1	1
150	ты можешь найти	1	1
151	и у других	1	1
152	выдержан в духе	1	1
153	в загробное царство	2	1
154	мы уже знаем	1	1
155	и у него	1	1
156	не имеет ничего	1	1
157	и того же	1	1
158	за другом без	1	1
159	том что они	1	1
160	к самому существу	1	1
161	по этому поводу	1	1
162	в сущности и	1	1
163	не только во	2	1
164	в системе образов	2	1
165	и в его	2	1
166	около г и	1	1
167	с каждым новым	1	1
168	сих пор еще	3	1
169	в значительной степени	3	1
170	не без основания	1	1
171	и в этом	1	1
172	который в своем	1	1
173	из античных источников	1	1
174	может и не	1	1
175	в этих словах	1	1
176	прежде всего это	1	1
177	и в другой	1	1
178	все же в	1	1
179	в пределах того	1	1
180	те и другие	2	1
181	той или иной	1	1
182	таким образом на	1	1
183	никаких оснований предполагать	1	1
184	человека и его	1	1
185	изображен в виде	1	1
186	с мольбой о	1	1
187	вообще одна из	1	1
188	что и у	2	1
189	мы находим в	2	1
190	и во всяком	1	1
191	мы еще вернемся	2	1
192	свою роль в	1	1
193	человеку и его	1	1
194	веке нашей эры	3	1
195	в отношениях между	1	1
196	он должен быть	1	1
197	отношению к людям	1	1
198	только после того	1	1
199	не имеет значения	1	1
200	что одна из	1	1
201	при виде того	1	1
202	потому что он	1	1
203	конце концов в	1	1
204	в свое время	2	1
205	мы увидим что	1	1
206	в законном браке	1	1
207	что же касается	1	1
208	как бы в	1	1
209	в целом ряде	1	1
210	то что в	2	1
211	но уже в	2	1
212	до нас от	1	1
213	как один из	2	1
214	и в каком	1	1
215	нет никаких оснований	1	1
216	со всеми ее	1	1
217	одном из своих	1	1
218	в настоящее время	1	1
219	чем в других	1	1
220	на этот вопрос	1	1
221	какое влияние оказали	1	1
222	в сущности к	1	1
223	к земле и	1	1
224	со всех сторон	2	1
225	так как его	1	1
226	и до сих	1	1
227	на одном из	3	1
