N	3gram	Medvedev_U	Psycholo
1	в том что	2	78
2	на то что	1	55
3	в самом деле	2	51
4	то же самое	2	31
5	с одной стороны	1	28
6	не может быть	4	23
7	до сих пор	2	23
8	с другой стороны	3	20
9	само по себе	1	14
10	в этом отношении	2	14
11	сам по себе	1	12
12	в конце концов	2	12
13	в конечном счете	4	11
14	в художественном произведении	2	11
15	и то что	2	10
16	не в том	1	10
17	том что она	1	10
18	в данном случае	1	9
19	друг с другом	1	8
20	с тем что	1	8
21	в этом смысле	2	7
22	можно сказать что	1	7
23	никогда не может	1	6
24	более или менее	1	6
25	не только в	1	6
26	при таком понимании	1	6
27	не было бы	1	5
28	и в частности	2	5
29	то о чем	1	4
30	а между тем	2	4
31	и в этой	2	4
32	как раз обратное	1	4
33	точном смысле этого	1	4
34	это было бы	1	4
35	в этой области	3	4
36	искусство как прием	1	4
37	же самое что	1	4
38	материала и формы	2	3
39	а не только	1	3
40	не могут быть	2	3
41	между тем в	1	3
42	нам думается что	1	3
43	и в конце	1	3
44	то что при	1	3
45	бы то ни	3	3
46	то же время	3	3
47	и что все	1	3
48	в то же	3	3
49	он может быть	1	3
50	что она должна	1	3
51	в этом случае	1	3
52	то что ему	1	3
53	то что все	1	3
54	идет не о	1	2
55	так или иначе	1	2
56	художественное произведение как	1	2
57	в точном смысле	1	2
58	все же не	1	2
59	которые подходят к	1	2
60	по крайней мере	2	2
61	которые могли бы	1	2
62	может быть в	1	2
63	мы имеем в	1	2
64	в той же	1	2
65	о котором говорил	1	2
66	что для него	1	2
67	тех или иных	2	2
68	то ни было	3	2
69	на первый план	1	2
70	на каждом шагу	2	2
71	то что было	1	2
72	равно как и	1	2
73	в значительной мере	1	2
74	в сторону от	1	2
75	чем то что	1	2
76	имеем в виду	1	2
77	так много в	1	2
78	мы получаем от	1	2
79	не о методах	1	1
80	у нас в	1	1
81	все и не	1	1
82	определяется не столько	1	1
83	обе эти тенденции	1	1
84	что этот процесс	1	1
85	никогда и не	1	1
86	метода то есть	1	1
87	в этом плане	1	1
88	если бы это	1	1
89	все что угодно	1	1
90	мы полагаем что	1	1
91	в ней не	1	1
92	по существу то	1	1
93	не входит в	1	1
94	это то же	1	1
95	в буквальном смысле	1	1
96	но это не	1	1
97	построения литературной науки	2	1
98	фактом искусства и	1	1
99	но по существу	1	1
100	содержания в искусстве	1	1
101	говорит он в	1	1
102	таким образом художественное	1	1
103	художественное произведение а	2	1
104	и у пушкина	1	1
105	во главу угла	1	1
106	в эстетический объект	1	1
107	только как прием	1	1
108	вот почему и	1	1
109	моцарт и сальери	1	1
110	вопрос идет не	1	1
111	другой стороны в	1	1
112	изучения литературы а	1	1
113	но конечно не	1	1
114	принципах построения литературной	1	1
115	она должна была	1	1
116	роль не только	1	1
117	в первую очередь	1	1
118	только материал для	1	1
119	было бы ни	1	1
120	о которой говорит	1	1
121	сводится именно к	1	1
122	содержания и формы	1	1
123	в широком смысле	1	1
124	в этой же	1	1
125	искусства как такового	1	1
126	не впадая в	1	1
127	все это в	1	1
128	методах изучения литературы	1	1
129	уж тем что	1	1
130	художественного произведения как	1	1
131	поэзию как искусство	1	1
132	но не могут	1	1
133	не все и	1	1
134	а не то	1	1
135	и независимо от	1	1
136	о методах изучения	1	1
137	и формы в	1	1
138	сводится к следующему	1	1
139	это было и	1	1
140	дело конечно не	1	1
141	в искусстве нет	2	1
142	у нас до	1	1
143	больше чем то	1	1
144	и прежде всего	1	1
145	и в то	1	1
146	литературы а о	1	1
147	очевидно что и	1	1
148	в изобразительном искусстве	1	1
149	которое мы получаем	1	1
150	русского искусствоведения и	1	1
151	тем что он	1	1
152	быть не может	1	1
153	мы можем его	1	1
154	о принципах построения	1	1
155	но прежде всего	1	1
156	бы это было	1	1
157	в искусстве форма	1	1
158	что все они	1	1
159	конечно не в	1	1
160	нельзя сводить к	1	1
161	произведения искусства как	1	1
162	что мы можем	1	1
163	в противном случае	2	1
164	элементы из которых	1	1
165	они находятся в	1	1
166	и формы как	1	1
167	тот же автор	1	1
168	она все же	1	1
169	а о принципах	1	1
170	исследования должно быть	1	1
171	образом художественное произведение	1	1
172	на первый взгляд	1	1
173	самом деле есть	1	1
174	искусстве нет содержания	2	1
175	и не только	1	1
176	и все они	1	1
