N	3gram	Propp_Russ	Mirosoze
1	не может быть	1	28
2	в том что	27	9
3	это и есть	1	9
4	для того чтобы	6	7
5	и в этом	2	6
6	вместе с тем	10	6
7	о том что	6	6
8	друг к другу	2	6
9	что и в	1	5
10	но и в	1	5
11	мы увидим что	1	5
12	после того как	3	5
13	может быть и	3	5
14	по отношению к	1	4
15	потому что в	1	4
16	на то что	2	4
17	в то время	3	4
18	не что иное	3	4
19	потому что он	2	4
20	можно было бы	2	4
21	то время как	1	4
22	у него нет	1	4
23	что иное как	3	4
24	один из самых	1	4
25	как будто бы	1	3
26	и он же	1	3
27	для него не	1	3
28	потому что она	1	3
29	может быть назван	1	3
30	не может не	1	3
31	к тому что	4	3
32	но это не	3	3
33	одна и та	1	3
34	и у нас	2	3
35	так как он	1	3
36	и та же	1	3
37	так же как	5	3
38	не до конца	1	3
39	же как и	3	3
40	с тем что	1	3
41	во всяком случае	1	3
42	как и в	1	3
43	это не значит	2	2
44	с тем он	1	2
45	на том основании	1	2
46	не только в	1	2
47	в е годы	2	2
48	бросается в глаза	3	2
49	том что в	7	2
50	в россии в	1	2
51	это означает что	1	2
52	в своей книге	1	2
53	том основании что	1	2
54	нужно обратиться к	1	2
55	мы еще увидим	1	2
56	на этот случай	1	2
57	и те же	1	2
58	есть один из	1	2
59	в себе и	1	2
60	но в русском	1	2
61	у нас на	1	2
62	и в россии	1	2
63	подобно тому как	3	2
64	т е в	6	2
65	она не имеет	1	2
66	в этом отношении	1	2
67	имеет совершенно другой	1	1
68	а может быть	1	1
69	и каждый человек	1	1
70	во многих других	1	1
71	том что это	2	1
72	ничего общего не	2	1
73	только о том	1	1
74	и т п	1	1
75	и у других	1	1
76	а за ней	1	1
77	одни и те	1	1
78	веков в этом	1	1
79	это не дает	1	1
80	по типу своему	1	1
81	не значит что	2	1
82	решить вопрос о	2	1
83	и каким образом	1	1
84	и во многих	1	1
85	его жизнь в	1	1
86	на этом основании	1	1
87	во многих отношениях	2	1
88	но не только	1	1
89	в последний раз	1	1
90	друг с другом	1	1
91	в других местах	9	1
92	что было в	1	1
93	не потому что	1	1
94	а между тем	1	1
95	в землю и	1	1
96	том что этот	2	1
97	и в нашем	1	1
98	в отличие от	4	1
99	точки зрения в	1	1
100	их но это	1	1
101	тех случаях когда	2	1
102	и в других	7	1
103	не имеет смысла	1	1
104	есть вместе с	1	1
105	что в основе	1	1
106	себя и не	1	1
107	том что христос	1	1
108	несмотря на все	1	1
109	должен быть признан	1	1
110	не только у	2	1
111	значит что они	1	1
112	только тогда когда	3	1
113	но так как	1	1
114	и в том	2	1
115	с ней связаны	1	1
116	в тех случаях	2	1
117	от них идет	1	1
118	что она может	1	1
119	все это нужно	1	1
120	он так и	1	1
121	прежде всего как	1	1
122	на земле что	1	1
123	не только этот	1	1
124	и могут быть	1	1
125	и как бы	1	1
126	не только для	1	1
127	еще в середине	1	1
128	и еще в	1	1
129	что все можно	1	1
130	одним из самых	1	1
131	всем народам европы	1	1
132	с точки зрения	3	1
133	с того что	1	1
134	но она не	1	1
135	с одним из	1	1
136	а иногда и	4	1
137	своей книги он	1	1
138	жизни то что	1	1
139	а следовательно и	1	1
140	приводит нас к	3	1
141	и теми которые	1	1
142	и несмотря на	1	1
143	и не случайно	1	1
144	и его жизнь	1	1
145	связано не с	1	1
146	на самом деле	1	1
147	не означает что	1	1
148	тому как в	1	1
149	так как они	2	1
150	не имеет с	1	1
151	он видел в	1	1
152	только потому что	1	1
153	с места и	1	1
154	во всех этих	1	1
155	не без основания	1	1
156	это приводит нас	1	1
157	русского народа в	1	1
158	с этим связано	1	1
159	с одной стороны	1	1
160	у нас нет	1	1
161	общего не имеет	1	1
