N	4gram	Propp_Morf	Psycholo
1	в то время как	3	13
2	с этой точки зрения	1	10
3	одно и то же	1	7
4	в том случае если	2	7
5	в том что он	1	7
6	только в том случае	1	6
7	не что иное как	2	6
8	образом мы видим что	4	5
9	один и тот же	1	5
10	было бы сказать что	1	5
11	все более и более	1	4
12	в собственном смысле слова	3	4
13	состоит в том что	3	4
14	в то же время	1	3
15	таким образом мы видим	4	3
16	решить вопрос о том	1	2
17	на самом деле он	1	2
18	до сих пор не	1	2
19	то для того чтобы	1	2
20	можно было бы сказать	1	2
21	точно так же и	1	2
22	на то что в	1	2
23	а на самом деле	1	2
24	и т д все	1	2
25	и тем не менее	2	2
26	не может быть объяснено	1	2
27	видим таким образом что	1	2
28	совершенно ясно что и	1	2
29	можно было бы показать	1	2
30	ни одна из них	1	2
31	и т д и	1	2
32	указанием на то что	1	2
33	мы видим таким образом	1	2
34	бы то ни было	2	2
35	приводит к тому что	1	2
36	или во всяком случае	1	2
37	есть не что иное	1	2
38	уже не может быть	1	1
39	во что бы то	1	1
40	как бы в том	1	1
41	друг к другу и	2	1
42	то это значит что	1	1
43	по существу вовсе не	1	1
44	на то что ему	1	1
45	в коем случае не	1	1
46	это еще не все	1	1
47	если бы мы имели	1	1
48	действующих лиц и их	1	1
49	в том порядке в	1	1
50	сомневаться в том что	1	1
51	к тому что при	1	1
52	если мы не сумеем	1	1
53	на самом деле в	1	1
54	ни в коем случае	1	1
55	в связи с этим	4	1
56	мы видим что в	1	1
57	в первый раз он	1	1
58	как мы увидим ниже	4	1
59	но для наших целей	1	1
60	отношении друг к другу	1	1
61	в том случае когда	1	1
62	о том что такое	1	1
63	в том что все	1	1
64	к тому что в	1	1
65	и т д с	1	1
66	между тем мы видим	1	1
67	какого бы то ни	1	1
68	на составные части но	1	1
69	если это так то	1	1
70	что бы то ни	1	1
71	то с другой стороны	1	1
72	для наших целей это	1	1
73	том порядке в каком	1	1
74	ответить на этот вопрос	1	1
75	даже в тех случаях	1	1
76	не значит что его	1	1
77	с точки зрения их	1	1
78	показать как в этих	1	1
79	бросается в глаза что	1	1
80	а для того чтобы	1	1
81	ни к чему не	2	1
82	которых каждый в отдельности	1	1
83	во всем ее объеме	1	1
84	но все же в	1	1
85	мы видим что с	1	1
86	с самого начала в	1	1
87	каждый в отдельности может	1	1
88	одна из них не	1	1
89	которые не могут быть	1	1
90	и т д то	1	1
91	бы то ни стало	1	1
92	изучения в то время	1	1
93	из которых каждый в	1	1
94	но если это так	2	1
