N	4gram	Potebnia_M	FransuaR
1	в то же время	8	55
2	до сих пор еще	1	15
3	в большей или меньшей	1	14
4	дело в том что	1	13
5	как мы уже сказали	1	11
6	с одной стороны и	1	5
7	одной и той же	4	4
8	один и тот же	2	4
9	и не может быть	1	4
10	нет и не может	1	3
11	одного и того же	2	3
12	не что иное как	1	3
13	и его связь с	1	3
14	есть не что иное	1	3
15	одна и та же	2	2
16	все более и более	1	2
17	мы можем судить о	1	2
18	в то время когда	2	2
19	в том что это	1	2
20	заключается в том что	1	2
21	бы то ни было	1	2
22	дело вовсе не в	1	2
23	и в том что	2	2
24	то же время и	1	2
25	одним и тем же	4	2
26	и тот же образ	1	1
27	для него самого и	1	1
28	конечно не в том	1	1
29	то есть то что	1	1
30	никогда не может стать	1	1
31	со второй половины xix	1	1
32	в том что слово	1	1
33	то же самое нужно	2	1
34	же самое нужно сказать	1	1
35	в то время как	3	1
36	второй половины xix века	1	1
37	нужно для того чтобы	1	1
38	и в самом деле	1	1
39	мы не в состоянии	1	1
40	и в общем не	1	1
41	самое нужно сказать и	1	1
42	что мы уже не	1	1
43	одно и то же	7	1
44	друг к другу и	1	1
45	только потому что в	1	1
46	но если бы в	1	1
47	состоит в том что	1	1
48	в силу того что	2	1
49	в том случае если	1	1
50	в том что она	1	1
51	только после того как	1	1
52	то что мы называем	2	1
53	к одной и той	2	1
54	вместе с тем и	3	1
55	и то же слово	2	1
56	удаленные друг от друга	1	1
57	бы он ни был	1	1
58	до настоящего времени и	1	1
59	к другу и к	1	1
60	потому что в нем	1	1
61	как бы он ни	1	1
62	в самом деле в	1	1
63	в том что он	2	1
64	в нем те же	1	1
65	как бы ни был	1	1
66	но вместе с тем	1	1
67	нужно сказать и о	1	1
68	что одно и то	2	1
69	но что в то	1	1
70	что в то же	1	1
71	лишь один из моментов	1	1
72	здесь как и в	1	1
73	не в том что	4	1
74	как было сказано выше	1	1
75	потому что они представляются	1	1
76	в том что оно	2	1
