N	2gram	Berdyaev_N	Problema
1	и в	16	182
2	и не	11	152
3	то что	4	144
4	не есть	3	113
5	не только	5	104
6	потому что	4	89
7	в этом	7	88
8	может быть	7	82
9	в том	8	81
10	том что	2	81
11	только в	1	73
12	сказать что	3	72
13	но и	3	70
14	у нас	1	68
15	и даже	2	66
16	по себе	1	64
17	не менее	4	58
18	о том	4	57
19	а не	17	56
20	так и	2	56
21	но в	2	55
22	ни в	6	51
23	в себе	2	48
24	смысле слова	3	47
25	было бы	1	46
26	прежде всего	4	45
27	в своей	3	45
28	что в	9	44
29	в его	1	44
30	не в	6	43
31	все эти	2	43
32	и что	2	40
33	что он	1	40
34	так как	1	40
35	что мы	1	40
36	во всяком	1	39
37	не может	16	39
38	такого рода	2	39
39	в этой	1	39
40	хотя бы	2	37
41	в нем	5	37
42	еще не	3	36
43	и все	4	36
44	когда мы	2	35
45	в виду	1	34
46	уже не	2	34
47	и с	2	34
48	как и	7	34
49	в то	2	32
50	но не	2	32
51	так же	2	31
52	в своем	1	31
53	что такое	3	31
54	в конце	1	31
55	но это	6	31
56	все это	5	31
57	и для	4	30
58	с другой	3	30
59	можно сказать	1	29
60	мы не	2	28
61	а в	2	28
62	есть только	1	28
63	и это	2	27
64	хотя и	2	27
65	другой стороны	2	26
66	как будто	2	26
67	вместе с	2	26
68	это не	4	26
69	и его	1	26
70	и на	2	25
71	всяком случае	1	25
72	с тем	3	24
73	и вполне	1	24
74	не имеет	4	24
75	по своему	4	23
76	и к	5	22
77	никогда не	6	22
78	тоже не	1	22
79	нет ничего	1	22
80	есть в	2	22
81	значит что	4	22
82	и от	2	22
83	и есть	10	22
84	в самом	1	21
85	мы должны	1	21
86	говорить о	1	21
87	для себя	1	21
88	а также	1	21
89	и только	1	21
90	для того	1	20
91	можно было	2	20
92	и потому	4	20
93	тем что	1	20
94	это значит	1	19
95	в них	4	19
96	с ним	1	19
97	в каком	1	19
98	но если	1	19
99	то это	1	19
100	уже в	1	19
101	этом смысле	2	19
102	он не	8	19
103	это есть	7	19
104	как в	3	19
105	жизни и	8	19
106	в этих	1	18
107	того же	1	18
108	не было	4	18
109	не будет	7	18
110	не существует	3	18
111	в ее	3	18
112	того чтобы	2	18
113	в ней	5	18
114	во всех	3	17
115	значение и	1	17
116	мы уже	1	17
117	совсем не	12	17
118	это и	2	17
119	что она	2	16
120	будто бы	1	16
121	как это	2	16
