N	2gram	Voloshinov	Analitik
1	не только	1	71
2	и в	3	66
3	литературного произведения	1	58
4	но и	1	57
5	может быть	1	52
6	и не	1	48
7	а не	1	42
8	не может	4	29
9	в его	1	27
10	художественного целого	1	24
11	к тому	1	22
12	то же	1	19
13	в то	1	18
14	и на	1	15
15	не менее	1	14
16	же время	1	14
17	точки зрения	1	13
18	для него	1	13
19	во второй	1	11
20	один из	2	10
21	если бы	1	8
22	и все	1	8
23	с точки	1	8
24	несмотря на	1	7
25	художественного произведения	1	7
26	если в	2	6
27	из этих	1	6
28	исходя из	1	5
29	с другими	1	5
30	в особенности	1	5
31	на примере	1	5
32	он в	1	5
33	его от	1	4
34	о литературе	1	4
35	бы в	1	4
36	в каждом	1	4
37	подхода к	1	4
38	в центре	2	3
39	произведения но	1	3
40	при анализе	1	3
41	связи с	1	3
42	смысл и	1	3
43	тех же	1	3
44	и больше	1	3
45	в ней	1	3
46	может и	1	3
47	тому что	1	2
48	без учета	1	2
49	в иную	1	2
50	в системе	1	2
51	мы видим	1	2
52	сравнении с	1	2
53	и должно	1	2
54	второй части	1	2
55	на месте	1	2
56	может не	1	2
57	с теми	1	2
58	нет и	1	2
59	событий и	1	2
60	можно и	1	1
61	язык как	1	1
62	вероятнее всего	1	1
63	себе все	1	1
64	и взаимное	1	1
65	всех участников	1	1
66	языка как	1	1
67	часть книги	1	1
68	именно с	1	1
69	в лингвистике	1	1
70	первая часть	1	1
71	изменилось бы	2	1
72	художественного и	1	1
73	язык художественного	1	1
74	значительное количество	1	1
75	этой проблемы	1	1
76	конечно и	1	1
77	так называемая	1	1
78	себя от	1	1
79	если один	1	1
80	не смог	1	1
81	целого во	1	1
82	бы на	1	1
83	категорий и	1	1
84	на нее	1	1
85	поставить в	1	1
