N	2gram	Trubetskoy	VrazhdaK
1	не только	10	9
2	в этом	13	8
3	и в	24	8
4	и что	9	8
5	что в	9	7
6	и все	9	7
7	но и	11	7
8	то что	18	7
9	как и	10	6
10	и даже	1	6
11	и с	5	6
12	все же	15	6
13	в котором	2	6
14	в начале	3	6
15	в нем	3	6
16	но в	5	6
17	то же	4	5
18	у него	5	5
19	и не	9	5
20	между тем	12	5
21	не было	2	5
22	же время	2	5
23	в то	6	5
24	это не	3	4
25	при этом	9	4
26	несмотря на	6	4
27	с ним	6	4
28	для нас	3	4
29	все это	13	4
30	в виду	2	4
31	в своих	2	4
32	что он	7	4
33	уже в	1	4
34	о том	7	4
35	может быть	17	4
36	в ней	3	4
37	целый ряд	4	4
38	в истории	3	4
39	как бы	10	4
40	так же	8	4
41	что у	2	3
42	в его	5	3
43	в том	31	3
44	его в	5	3
45	связи с	4	3
46	мысль на	1	3
47	но он	1	3
48	давно уже	2	3
49	в связи	3	3
50	я не	2	3
51	и как	1	3
52	далеко не	5	3
53	тем что	1	3
54	и у	4	3
55	эти слова	1	3
56	том что	20	3
57	в этот	1	3
58	он не	4	3
59	и уже	2	3
60	в конце	4	3
61	наряду с	1	3
62	одним из	4	3
63	в своем	12	3
64	на то	9	3
65	с его	1	3
66	и его	2	3
67	к этому	5	3
68	таким образом	34	2
69	начиная с	1	2
70	и то	4	2
71	после этого	1	2
72	он тоже	2	2
73	мы знаем	10	2
74	с точки	8	2
75	для него	2	2
76	по мнению	1	2
77	о которой	2	2
78	же не	3	2
79	в них	2	2
80	как же	1	2
81	россии в	1	2
82	в среде	2	2
83	отношения к	1	2
84	в мире	6	2
85	в в	4	2
86	их в	2	2
87	же как	3	2
88	в своей	1	2
89	рядом с	1	2
90	вместе с	7	2
91	так в	1	2
92	не менее	7	2
93	и это	3	2
94	в эту	2	2
95	на первый	2	2
96	еще не	6	2
97	но как	2	2
98	а с	4	2
99	европейская цивилизация	1	2
100	в свою	2	2
101	в этой	7	2
102	в нашей	1	2
103	при помощи	3	2
104	тогда как	6	2
105	а в	3	2
106	к ним	2	2
107	отношение к	4	2
108	в одну	4	2
109	уже не	1	2
110	из них	5	2
111	этот человек	1	2
112	в себе	5	2
113	что я	1	2
114	с нею	1	2
