N	4gram	Ircho_Kome	Marksizm
1	в то же время	11	15
2	бы то ни было	3	12
3	одного и того же	1	9
4	с одной стороны и	2	3
5	с точки зрения самого	1	3
6	и того же слова	1	3
7	один и тот же	3	3
8	в том числе и	2	3
9	и в том что	1	2
10	если бы он был	1	2
11	до тех пор пока	1	2
12	несмотря на то что	1	2
13	в собственном смысле слова	1	2
14	с этой точки зрения	1	1
15	с самого начала не	1	1
16	друг с другом и	1	1
17	иначе обстоит дело с	3	1
18	и в этом случае	1	1
19	все то же самое	1	1
20	для того чтобы показать	1	1
21	мы можем сказать что	1	1
22	не с точки зрения	1	1
23	в конце концов к	1	1
24	то же самое что	1	1
25	же время все эти	1	1
26	для того чтобы не	1	1
27	в тех случаях когда	1	1
28	не говоря уже о	2	1
29	тем не менее в	1	1
30	и там и здесь	3	1
31	то же время все	1	1
32	ответ на эти вопросы	1	1
33	до сих пор не	2	1
34	само собой разумеется что	3	1
35	с точки зрения ее	1	1
36	и в свою очередь	2	1
