N	2gram	Trubetskoy	Sotsiolo
1	все это	6	7
2	в том	17	5
3	в этом	17	5
4	не только	9	3
5	как же	1	3
6	не в	4	3
7	и в	14	3
8	и только	5	3
9	но ведь	1	3
10	в его	4	3
11	для нас	2	3
12	ввести в	1	2
13	что в	4	2
14	то что	13	2
15	таким образом	11	2
16	том что	9	2
17	или даже	1	2
18	как бы	4	2
19	в результате	2	2
20	было бы	5	2
21	как будто	2	2
22	это зависит	1	2
23	очевидно что	1	2
24	в частности	2	2
25	и мы	1	2
26	но и	10	2
27	конце концов	3	2
28	может быть	9	2
29	по существу	5	2
30	она может	3	2
31	главным образом	3	2
32	и что	2	2
33	это и	1	2
34	по отношению	2	2
35	и заключается	1	2
36	в конце	3	2
37	как только	1	2
38	отношению к	1	2
39	должна быть	2	2
40	тем более	1	2
41	только в	5	2
42	к которому	1	2
43	то же	11	2
44	еще не	3	2
45	базируются на	1	1
46	а в	5	1
47	что он	6	1
48	какие же	1	1
49	образом в	1	1
50	столь же	1	1
51	даже в	1	1
52	бы о	1	1
53	быть не	1	1
54	в таких	2	1
55	в силу	2	1
56	вряд ли	3	1
57	на этот	1	1
58	что эти	1	1
59	все эти	2	1
60	не было	3	1
61	представить себе	2	1
62	остается в	2	1
63	у которых	1	1
64	связи с	3	1
65	точке зрения	3	1
66	единственный путь	2	1
67	кто не	1	1
68	только то	1	1
69	в своей	5	1
70	во всяком	9	1
71	в мире	4	1
72	и потому	3	1
73	все же	4	1
74	что это	3	1
75	или не	1	1
76	еще и	1	1
77	от друга	2	1
78	на ней	1	1
79	по крайней	1	1
80	иначе и	1	1
81	с другой	1	1
82	ни на	1	1
83	мы должны	7	1
84	это как	1	1
85	это же	1	1
86	данный человек	1	1
87	с ним	2	1
88	противном случае	1	1
89	между тем	5	1
90	собой не	1	1
91	и более	2	1
92	но как	1	1
93	в этой	4	1
94	время в	2	1
95	в свои	1	1
96	быть для	1	1
97	всему этому	1	1
98	никак не	1	1
99	в данном	7	1
100	на все	1	1
101	только для	2	1
102	в области	2	1
103	и по	3	1
104	же самое	1	1
105	один из	1	1
106	так и	1	1
107	в противном	1	1
108	только тогда	1	1
109	в то	10	1
110	может не	3	1
111	слова но	1	1
112	в котором	2	1
113	те же	1	1
114	именно на	2	1
115	между собой	5	1
116	должно было	1	1
117	же это	1	1
118	отнюдь не	7	1
119	и не	19	1
120	со своими	1	1
121	но она	2	1
122	всяком случае	6	1
123	иначе говоря	1	1
124	стоит только	2	1
125	по самому	2	1
126	хотелось бы	1	1
127	настоящее время	2	1
128	и о	2	1
129	но не	4	1
130	они не	1	1
131	на точке	1	1
132	лучшем случае	3	1
133	в те	1	1
134	благодаря этому	2	1
135	его собственные	1	1
136	для этого	3	1
137	прежде всего	8	1
138	тем что	3	1
139	тем же	1	1
140	на тех	1	1
141	друг от	2	1
142	что данный	1	1
143	на основании	2	1
144	а с	2	1
145	а между	5	1
146	но только	1	1
147	и будет	1	1
148	в лучшем	3	1
149	в сущности	1	1
150	в область	1	1
151	его в	4	1
152	зависит от	2	1
153	крайней мере	1	1
154	этого и	1	1
155	вовсе не	1	1
156	даже не	2	1
157	и наконец	2	1
158	конечно не	5	1
159	о том	7	1
160	мы не	1	1
161	тому что	2	1
162	том и	2	1
163	в этих	2	1
164	сама по	2	1
165	у него	2	1
166	по себе	2	1
167	на отдельные	1	1
168	на первый	1	1
169	перед нами	1	1
170	из тех	1	1
171	вот в	1	1
172	и способностей	1	1
173	хотя бы	5	1
174	же время	10	1
175	что на	1	1
176	это не	1	1
177	в связи	1	1
178	бы в	1	1
179	и должно	2	1
180	стало быть	1	1
181	в виде	3	1
182	в настоящее	2	1
183	именно в	3	1
184	никогда не	5	1
185	и есть	2	1
186	не может	22	1
187	и как	3	1
188	и никакая	1	1
189	что все	3	1
190	место в	2	1
191	как и	4	1
192	придется не	1	1
