N	4gram	Vygotskiy_	RusskieA
1	состоит в том что	7	26
2	в том что в	2	8
3	состояла в том что	1	6
4	не что иное как	2	4
5	но вместе с тем	3	3
6	так же как и	2	3
7	подобно тому как в	3	3
8	в тех случаях когда	1	2
9	это не значит что	1	2
10	в одном ряду с	1	2
11	одни и те же	1	1
12	не только по отношению	1	1
13	которые имели место в	1	1
14	вопрос о том как	1	1
15	для обозначения одного и	1	1
16	обозначения одного и того	1	1
17	в основе которых лежит	2	1
18	в то время как	4	1
19	одного и того же	8	1
20	что один из них	1	1
21	приходит к выводу что	1	1
22	на этот вопрос можно	1	1
23	в свете того что	2	1
24	так как это не	1	1
25	состояла в том чтобы	1	1
26	в данном случае мы	1	1
27	только по отношению к	1	1
28	до того момента когда	1	1
29	это приводит нас к	1	1
30	не имеют ничего общего	2	1
