N	2gram	Berdyaev_V	PoTuStor
1	может быть	1	17
2	и в	16	16
3	в этом	4	9
4	прежде всего	2	9
5	и с	1	8
6	не только	2	7
7	с его	3	7
8	для него	2	6
9	и это	2	6
10	конечно не	2	6
11	ни в	3	5
12	все эти	3	5
13	в чем	3	5
14	еще не	8	5
15	как бы	5	5
16	отношение к	1	5
17	а потому	1	4
18	все что	4	4
19	и на	1	4
20	так как	9	4
21	все это	5	4
22	в его	4	4
23	так и	4	4
24	и все	4	4
25	с ними	1	4
26	только в	2	4
27	и не	20	4
28	но мы	2	4
29	но и	5	4
30	хотя бы	3	4
31	в этой	1	4
32	как мы	1	4
33	в нем	4	4
34	и ее	1	4
35	но в	3	4
36	и вот	1	3
37	если б	1	3
38	в том	3	3
39	их в	3	3
40	что в	3	3
41	том что	2	3
42	вместе с	1	3
43	на этом	1	3
44	в этих	3	3
45	мира и	1	3
46	сравнению с	1	3
47	во всех	3	3
48	во всяком	2	3
49	и потому	7	3
50	по сравнению	1	3
51	по крайней	1	3
52	и теперь	2	3
53	как это	1	3
54	в одном	1	3
55	а в	2	3
56	то что	9	3
57	могут быть	2	3
58	и есть	4	3
59	жизни и	3	3
60	ко всякому	1	3
61	крайней мере	1	3
62	в самом	1	2
63	мы видим	1	2
64	что оно	1	2
65	и мы	3	2
66	они не	1	2
67	ненависть к	1	2
68	мы не	2	2
69	с этой	1	2
70	что это	1	2
71	на этих	2	2
72	нашего времени	1	2
73	ее в	2	2
74	для нас	2	2
75	но как	1	2
76	что и	3	2
77	быть может	1	2
78	у него	1	2
79	не могут	2	2
80	в них	3	2
81	что не	4	2
82	между собою	1	2
83	в жизни	3	2
84	как и	4	2
85	что он	4	2
86	не есть	6	2
87	в своей	3	2
88	и так	1	2
89	в одно	1	2
90	себя и	1	2
91	нем нет	2	2
92	и вообще	1	2
93	к этому	1	2
94	оно не	3	2
95	не существует	1	2
96	что мы	4	2
97	на два	1	2
98	этих трех	3	2
99	не будет	2	2
100	говорить о	4	2
101	есть и	1	2
102	в мир	1	2
103	как не	3	2
104	так же	1	2
105	и всех	1	2
106	к ним	1	2
107	нет и	2	2
108	находится в	1	2
109	что на	1	2
110	один из	2	2
111	и по	1	2
112	с ним	2	2
113	но это	3	2
114	и для	3	2
115	то же	1	2
116	сделать это	1	2
117	никогда не	3	2
118	что было	2	1
119	жизни но	1	1
120	еще так	1	1
121	во всем	1	1
122	бы то	1	1
123	мире и	1	1
124	что они	7	1
125	так ли	1	1
126	и то	2	1
127	бы сделать	1	1
128	человек был	1	1
129	мы и	2	1
130	этот мир	1	1
131	же и	1	1
132	современной культуры	1	1
133	влечение к	1	1
134	которая в	1	1
135	уже в	1	1
136	ли так	1	1
137	есть прежде	1	1
138	в состоянии	1	1
139	теперь в	1	1
140	любовь к	3	1
141	освободиться от	1	1
142	хотя и	5	1
143	в разных	1	1
144	с тем	2	1
145	говорит о	1	1
146	пути в	1	1
147	и всегда	1	1
148	в человеке	1	1
149	факт моего	1	1
150	у нас	1	1
151	для них	2	1
152	в виду	1	1
153	я не	1	1
154	основной вопрос	1	1
155	весь мир	1	1
156	в русском	1	1
157	них и	1	1
158	можно было	2	1
159	власти и	1	1
160	есть еще	1	1
161	связь с	1	1
162	в своих	1	1
163	является и	1	1
164	оно ни	1	1
165	пути и	1	1
166	и сам	2	1
167	и можно	1	1
168	жизнь в	1	1
169	в сознании	1	1
170	это мы	2	1
171	и столь	1	1
172	но не	2	1
173	менее всего	1	1
174	и эта	1	1
175	и начало	1	1
176	из всего	1	1
177	в конце	3	1
178	вражда к	1	1
179	и они	3	1
180	по смыслу	1	1
181	да мы	1	1
182	в мире	5	1
183	скрыто в	1	1
184	все же	1	1
185	жизни в	1	1
186	от этого	3	1
187	не имеет	3	1
188	и могут	1	1
189	только себя	1	1
190	этом нет	1	1
191	зависимости от	1	1
192	в себя	2	1
193	роль в	1	1
194	и марксизм	1	1
195	их во	1	1
196	вовсе не	1	1
197	но к	1	1
198	уже не	2	1
199	к тому	3	1
200	это самое	1	1
201	не был	1	1
202	а потом	1	1
203	и мир	1	1
204	нет ничего	3	1
205	ли они	1	1
206	его и	2	1
207	искать в	1	1
208	человека в	1	1
209	он был	1	1
210	а с	2	1
211	и быть	1	1
212	вопрос о	1	1
213	далее и	1	1
214	не имеют	1	1
215	мы увидим	1	1
216	то и	1	1
217	она не	1	1
218	его не	2	1
219	того чтобы	2	1
220	то ни	1	1
221	для того	1	1
222	это только	1	1
223	в ней	4	1
224	у самого	1	1
225	человека как	2	1
226	утверждают что	1	1
227	не всегда	1	1
228	в образах	1	1
229	а не	7	1
230	есть то	1	1
231	ли это?	1	1
232	в которую	1	1
233	не преодолевается	1	1
234	и что	3	1
235	теми которые	1	1
236	же что	1	1
237	отказ от	1	1
238	для человека	2	1
239	других людей	1	1
240	конечно в	1	1
241	к чему	3	1
242	уже и	1	1
243	можно ли	1	1
244	человека и	6	1
245	в лицах	1	1
246	свободно и	1	1
247	с другой	1	1
248	лишь в	3	1
249	я в	1	1
250	истории и	2	1
251	жизнь как	1	1
252	в высшую	1	1
253	этом пути	1	1
254	цель ее	1	1
255	что есть	5	1
256	но нет	1	1
257	для нашего	1	1
258	что я	3	1
259	с которым	1	1
260	в духе	2	1
261	в атмосфере	1	1
262	себя с	1	1
263	одна из	2	1
