N	3gram	Trubetskoy	SlovoVZh
1	по отношению к	1	11
2	не может быть	1	7
3	можно сказать что	2	5
4	в том что	3	4
5	то ни было	2	3
6	до сих пор	5	3
7	этой точки зрения	2	3
8	бы то ни	2	3
9	тем не менее	3	3
10	может быть и	2	3
11	имеем в виду	1	2
12	то же самое	2	2
13	в данном случае	1	2
14	с одной стороны	7	2
15	с другой стороны	1	2
16	до известной степени	1	2
17	с точки зрения	6	2
18	но тем не	1	2
19	в настоящее время	1	2
20	сих пор не	1	1
21	сами по себе	1	1
22	формой и содержанием	1	1
23	и таким образом	3	1
24	между формой и	1	1
25	о том что	4	1
26	в самом деле	1	1
27	один и тот	1	1
28	случае мы имеем	1	1
29	совершенно ясно что	1	1
30	особенно важное значение	1	1
31	все более и	1	1
32	в свою очередь	1	1
33	ничего общего с	2	1
34	и тот же	1	1
35	а между тем	1	1
36	том что все	1	1
37	жизни он должен	1	1
38	на одну доску	1	1
39	в так называемой	1	1
40	во всяком случае	6	1
41	если бы удалось	1	1
42	но в то	1	1
43	как на нечто	1	1
44	в этом направлении	1	1
45	только то что	1	1
46	и что она	1	1
47	с самого начала	2	1
48	в этом отношении	2	1
49	так же как	3	1
50	к нему в	1	1
51	то же время	2	1
52	но для этого	1	1
53	не совпадает с	1	1
54	здесь таким образом	1	1
55	поскольку они являются	1	1
56	более или менее	5	1
57	более и более	1	1
58	в то же	2	1
59	мы имеем в	1	1
60	и в этом	2	1
61	по крайней мере	5	1
62	в то время	1	1
63	но все это	2	1
64	но все же	4	1
65	у нас остается	1	1
66	к тому же	4	1
67	друг к другу	1	1
