N	2gram	Voloshinov	EvropaiE
1	и в	28	37
2	в отношении	2	32
3	в пределах	6	25
4	точки зрения	31	23
5	европы и	1	22
6	что в	7	21
7	не только	10	18
8	с точки	15	17
9	в то	7	16
10	то же	12	15
11	хотя бы	7	15
12	отношении к	1	15
13	в качестве	2	14
14	и не	34	14
15	но и	10	14
16	же время	6	14
17	в своем	4	14
18	но в	13	14
19	в этом	28	12
20	в том	10	11
21	в их	2	11
22	в области	4	11
23	так и	14	10
24	в себе	7	9
25	прежде всего	26	9
26	только в	11	9
27	в смысле	1	9
28	так же	4	9
29	не может	30	9
30	отнюдь не	5	9
31	с одной	2	8
32	в ее	5	8
33	в своей	14	8
34	одной стороны	2	8
35	между тем	3	8
36	было бы	8	8
37	думать что	2	8
38	к тому	6	8
39	так как	15	7
40	того что	7	7
41	в областях	1	7
42	а также	2	7
43	как и	13	7
44	по своему	4	7
45	также и	2	7
46	с другой	2	7
47	нам кажется	1	7
48	то есть	1	6
49	культурных ценностей	1	6
50	и даже	3	6
51	и на	9	6
52	том что	12	6
53	в экономическом	2	6
54	вовсе не	16	6
55	во всех	13	6
56	может быть	28	6
57	того чтобы	5	6
58	для того	6	6
59	стороны и	1	6
60	то что	17	6
61	как бы	19	6
62	на то	1	6
63	в виде	1	5
64	не в	10	5
65	но не	7	5
66	от этого	2	5
67	со стороны	5	5
68	и потому	12	5
69	которую мы	1	5
70	в течение	2	5
71	же как	2	5
72	как мы	18	5
73	одной из	1	5
74	но если	2	5
75	и по	5	5
76	в самом	12	4
77	бы то	3	4
78	то в	2	4
79	на путях	1	4
80	мы не	9	4
81	даже в	1	4
82	ни было	2	4
83	того или	1	4
84	для нас	2	4
85	не на	1	4
86	чем в	1	4
87	и притом	3	4
88	именно в	4	4
89	в процессе	5	4
90	по себе	4	4
91	не имеет	2	4
92	в каком	7	4
93	западной европе	1	4
94	тем более	1	4
95	той или	1	4
96	вопрос о	2	4
97	но даже	1	4
98	лежат в	2	4
99	то ни	4	4
100	или иного	1	4
101	как совокупность	2	4
102	как это	5	4
103	в направлении	1	4
104	к ней	4	4
105	в ней	8	4
106	сказать что	11	4
107	можно сказать	6	4
108	во многих	1	4
109	или иной	2	4
110	мира в	2	4
111	на всем	3	4
112	культурной жизни	1	4
113	независимо от	3	4
114	и к	7	3
115	говорит о	3	3
116	применении к	2	3
117	но на	1	3
118	различия в	1	3
119	можно ли	3	3
120	она в	1	3
121	в применении	2	3
122	из всех	1	3
123	можно считать	1	3
124	последние годы	1	3
125	этом отношении	4	3
126	ее в	5	3
127	что и	5	3
128	в результате	3	3
129	мы можем	20	3
130	не является	7	3
131	можно было	1	3
132	в будущем	1	3
133	на себя	3	3
134	не более	1	3
135	дело в	2	3
136	тем что	1	3
137	в таком	6	3
138	вообще не	2	3
139	большинстве случаев	6	3
140	как в	4	3
141	жизни в	3	3
142	мира и	1	3
143	и со	3	3
144	европе и	1	3
145	с другом	1	3
146	на своем	1	3
147	бы ни	1	3
148	в них	3	3
149	в психологии	4	3
150	во всяком	9	3
