N	2gram	Tiupa_Anal	Vladivir
1	и в	30	116
2	то что	11	71
3	и не	33	67
4	в году	1	65
5	у него	5	65
6	не только	30	65
7	в этом	31	53
8	в том	36	52
9	том что	21	51
10	что в	7	48
11	но и	29	47
12	в конце	4	41
13	в его	15	40
14	и с	2	39
15	вл соловьевым	1	37
16	то есть	19	37
17	и даже	10	36
18	сказать что	2	36
19	также и	3	36
20	учение о	1	35
21	так что	3	35
22	потому что	3	33
23	что он	3	32
24	еще и	1	32
25	не может	26	31
26	о том	11	30
27	только в	8	30
28	как мы	3	29
29	никогда не	4	29
30	для него	5	29
31	вовсе не	4	27
32	а в	11	27
33	не было	1	26
34	в себе	17	25
35	но в	11	25
36	в то	10	25
37	и то	4	25
38	и его	9	25
39	а также	8	24
40	точки зрения	10	23
41	между прочим	1	23
42	он не	4	23
43	может быть	33	23
44	что же	3	23
45	он был	3	22
46	ни в	5	22
47	так как	3	22
48	в виде	1	22
49	об этом	1	22
50	в своей	7	21
51	вместе с	6	21
52	а именно	3	20
53	и что	2	20
54	в своем	2	20
55	для нас	1	20
56	прежде всего	8	20
57	не менее	5	19
58	по поводу	4	19
59	как раз	5	19
60	тем не	3	19
61	таким образом	5	19
62	в течение	1	19
63	так и	16	19
64	и потому	2	19
65	как и	23	18
66	не мог	3	18
67	не в	17	18
68	не был	2	18
69	хотя и	4	18
70	как это	5	18
71	с его	3	18
72	что и	5	17
73	в этой	12	17
74	едва ли	4	17
75	и если	2	17
76	а не	25	17
77	у нас	1	17
78	все же	4	16
79	уже не	6	16
80	к тому	12	16
81	не есть	8	16
82	для себя	3	16
83	и все	5	16
84	было бы	4	16
85	того что	5	16
86	в котором	5	16
87	а н	1	16
88	и к	5	15
89	то же	12	15
90	в своих	1	15
91	к этому	2	15
92	несмотря на	5	15
93	в связи	2	15
94	разного рода	3	15
95	но это	1	15
96	это было	1	15
97	того же	7	14
98	все эти	3	14
99	раз и	2	14
100	тут же	2	14
101	его жизни	1	14
102	же касается	1	14
103	мы уже	2	14
104	и на	10	14
105	уже в	1	14
106	и как	6	14
107	во всем	1	13
108	в результате	3	13
109	с тем	1	13
110	можно сказать	6	13
111	так же	1	13
112	не просто	2	13
113	на этот	2	13
114	и от	1	13
115	что это	1	13
116	да и	2	13
117	жизни и	1	13
118	по себе	6	12
119	только на	3	12
120	некоторого рода	2	12
121	и по	2	12
122	в нем	3	12
123	то в	2	12
124	содержит в	3	12
125	если не	2	12
126	всяком случае	1	12
127	ничего не	10	12
128	во всяком	1	12
129	связи с	2	12
130	при этом	20	11
131	более или	2	11
132	в данном	6	11
133	хотя бы	4	11
134	тому же	6	11
135	в которой	3	11
136	я не	2	11
137	на то	2	11
138	он уже	1	11
139	и здесь	1	11
140	никак не	2	11
141	в отношении	2	11
142	еще в	4	11
143	все это	2	11
144	то он	3	11
145	или менее	2	11
146	мы должны	2	11
147	и о	3	11
148	в самом	12	10
149	даже в	5	10
150	что все	2	10
151	такого рода	6	10
152	с точки	6	10
153	в качестве	38	10
154	что его	1	10
155	можно было	1	10
156	что для	1	10
157	отнюдь не	22	10
158	к нему	4	10
159	с ним	6	10
160	еще не	5	10
161	собственно говоря	6	10
162	здесь не	2	10
163	он и	3	10
164	о нем	4	10
165	в ней	1	10
166	но не	13	10
167	и был	1	9
168	о чем	3	9
169	и сам	4	9
170	именно в	6	9
171	смысле слова	1	9
172	с другой	7	9
173	но он	1	9
174	а только	1	9
175	но как	1	9
176	а с	3	9
177	не будет	3	9
178	этом смысле	3	9
179	мы будем	1	9
180	из этого	2	9
181	в начале	3	9
182	оно есть	1	9
183	отношения к	4	9
184	что мы	3	9
185	это не	7	9
186	же время	7	9
187	ни с	5	9
188	по существу	1	9
189	этот раз	1	9
190	что касается	4	9
191	в целом	9	9
192	с этой	2	8
193	не столько	5	8
194	в этих	3	8
195	тем что	2	8
196	которой он	1	8
197	себя в	8	8
198	и он	1	8
199	в чем	2	8
200	и особенно	4	8
201	как в	3	8
202	со стороны	5	8
203	свое время	3	8
204	должно быть	2	8
205	как бы	15	8
206	и для	3	8
207	тот же	2	8
208	только и	1	8
209	когда он	1	8
210	из этих	2	8
211	отношение к	2	8
212	мы и	1	7
213	к этой	1	7
214	в одном	3	7
215	в них	1	7
216	но все	1	7
217	на первый	1	7
218	нам представляется	2	7
219	что этот	1	7
220	на первом	1	7
221	в нашем	3	7
222	себе и	1	7
223	м и	2	7
224	за пределы	6	7
225	даже не	2	7
226	о его	5	7
227	и есть	3	7
228	здесь мы	1	7
229	если бы	6	7
230	к его	3	7
231	не имеет	1	7
232	в каком	1	7
233	бы и	1	7
234	того чтобы	3	7
235	из его	2	7
236	при помощи	2	7
237	но если	1	7
238	в свое	3	7
239	к концу	1	7
240	нисколько не	1	7
241	на его	4	7
242	в таком	5	7
243	то и	2	7
244	как он	4	7
245	по этому	1	7
246	же в	1	7
247	же и	1	6
248	тому что	2	6
249	те же	3	6
250	в виду	2	6
251	другой стороны	2	6
252	его на	1	6
253	для того	4	6
254	в отличие	8	6
255	на него	3	6
256	он сам	1	6
257	той же	4	6
258	поскольку в	2	6
259	указать на	1	6
260	его в	2	6
261	том же	2	6
262	не говорит	2	6
263	что она	1	6
264	на себя	5	6
265	и речи	1	6
266	по своей	6	6
267	она была	1	6
268	взгляд на	2	6
269	не с	8	6
270	так или	1	6
271	но на	1	6
272	в в	1	6
273	нельзя сказать	1	6
274	данном случае	3	6
275	свидетельствует о	4	6
276	мы не	1	6
