N	2gram	Losev_Prob	Formalny
1	и в	48	95
2	и не	29	78
3	может быть	11	66
4	в этом	31	61
5	не может	6	57
6	вовсе не	18	53
7	таким образом	20	52
8	и его	11	51
9	так и	15	50
10	точки зрения	17	47
11	в нем	8	42
12	в его	19	42
13	прежде всего	15	41
14	с точки	13	40
15	как и	10	39
16	и т	2	37
17	художественного произведения	1	36
18	в самом	7	35
19	не в	16	35
20	а не	7	34
21	но и	21	33
22	то же	6	32
23	самом деле	3	32
24	не только	28	30
25	в том	25	26
26	отнюдь не	14	26
27	если бы	2	26
28	то что	26	25
29	при этом	6	24
30	в своей	29	24
31	на самом	2	24
32	с помощью	2	23
33	было бы	12	23
34	связи с	11	23
35	в ней	4	23
36	в то	6	22
37	и ее	2	22
38	и с	10	21
39	что в	12	21
40	в истории	1	21
41	как бы	10	21
42	с тем	7	20
43	не менее	8	20
44	входит в	1	20
45	как мы	5	20
46	и от	7	20
47	же время	1	20
48	в их	4	20
49	по себе	5	19
50	хотя бы	11	19
51	т д	1	19
52	не могут	3	19
53	все это	8	19
54	все же	12	18
55	в связи	11	18
56	т п	1	18
57	только в	21	18
58	и все	12	18
59	с его	3	18
60	все эти	12	18
61	и их	7	18
62	именно как	1	17
63	как раз	7	17
64	как в	3	17
65	во всяком	7	16
66	с другой	8	16
67	так же	7	16
68	всяком случае	6	16
69	в искусстве	2	16
70	совершенно не	1	16
71	потому что	21	16
72	именно в	11	15
73	все время	5	15
74	должно быть	1	15
75	с другими	1	15
76	его в	9	15
77	бы в	2	15
78	во всех	2	15
79	и на	9	15
80	так как	10	15
81	но в	17	15
82	в поэзии	1	15
83	в литературе	5	15
84	в жизни	4	14
85	только на	2	14
86	в своем	16	14
87	в ее	6	14
88	в этой	14	14
89	в единстве	1	14
90	что он	12	14
91	вместе с	15	14
92	еще не	4	14
93	если мы	2	14
94	и потому	4	14
95	жизни и	7	14
96	в результате	11	13
97	тем что	2	13
98	настоящее время	7	13
99	что и	8	13
100	говорит он	1	13
101	ни в	17	13
102	как его	1	13
103	могут быть	2	13
104	для них	3	13
105	сводится к	1	13
106	со стороны	1	13
107	до конца	4	13
108	в настоящее	7	13
109	того что	8	13
110	как ее	1	13
111	она не	1	13
112	а в	8	13
113	там где	1	12
114	уже не	12	12
115	к тому	7	12
116	в действительности	1	12
117	по отношению	2	12
118	как это	5	12
119	и здесь	1	12
120	того чтобы	3	12
121	и для	11	12
122	отношению к	2	12
123	в корне	2	11
124	никогда не	7	11
125	что они	4	11
126	лишь для	1	11
127	то ни	4	11
128	между тем	2	11
129	они не	3	11
130	это и	4	11
131	для него	2	11
132	этом отношении	4	11
133	в общем	1	11
134	но не	12	11
135	в большинстве	1	11
136	слова и	1	11
137	не как	3	10
138	другой стороны	8	10
139	в своих	3	10
140	в художественном	2	10
141	в дальнейшем	7	10
142	раз и	2	10
143	конечно не	2	10
144	бы то	4	10
145	не было	4	10
146	большинстве случаев	2	10
147	не есть	3	10
148	действительности и	4	10
149	он не	4	10
150	главным образом	1	10
151	с ее	1	10
152	мы видели	2	10
153	как о	6	10
154	не является	2	10
155	тем же	4	10
156	друг друга	1	10
157	и др	1	10
158	мы не	7	10
159	по существу	2	10
160	и как	10	10
161	на фоне	2	10
162	художественной структуры	1	10
163	не о	2	10
164	еще более	4	9
165	и даже	24	9
166	ни было	2	9
167	в каждом	2	9
168	совсем не	4	9
169	литературы и	1	9
170	бы ни	1	9
171	или иного	2	9
172	отношения к	1	9
173	в свою	4	9
174	и до	2	9
175	здесь не	12	9
176	но это	7	9
177	ничего не	3	9
178	у нас	17	9
179	быть и	1	9
180	и к	9	8
181	в них	5	8
182	и те	1	8
183	в данном	6	8
184	одной стороны	5	8
185	была бы	3	8
186	следует что	1	8
187	с одной	5	8
188	ясно что	11	8
189	в других	5	8
190	сих пор	3	8
191	и речи	2	8
192	и является	6	8
193	из этого	6	8
194	всех этих	3	8
195	до сих	3	8
196	и должно	1	8
197	что это	4	8
198	с этим	3	8
199	на основе	1	8
200	это не	8	8
201	должен быть	2	8
202	для того	4	8
203	в области	3	8
204	для этого	2	8
205	в той	5	7
206	можно говорить	1	7
207	же и	2	7
208	более или	1	7
209	но все	6	7
210	становится в	1	7
211	является для	3	7
212	мы увидим	1	7
213	даже и	11	7
214	свою очередь	2	7
215	сказать что	13	7
216	что именно	2	7
217	к этому	2	7
218	в сущности	1	7
219	из них	4	7
220	время в	2	7
221	от этого	4	7
222	значение и	2	7
223	в себе	7	7
224	столь же	1	7
225	искусства в	2	7
226	в особенности	1	7
227	во втором	2	7
228	не на	1	7
229	творчества и	1	7
230	смысла и	1	7
231	жизни в	7	7
232	том что	29	7
233	что бы	1	7
234	не входит	2	7
235	а вовсе	1	7
236	ничем не	1	7
237	он и	5	7
238	и более	3	7
239	в какой	5	7
240	только и	9	7
241	или менее	1	7
242	в одной	2	7
243	того или	3	7
244	как таковое	1	7
245	и только	4	7
246	и наконец	4	7
247	к действительности	1	6
248	кроме того	5	6
249	те же	1	6
250	в живом	1	6
251	в этих	3	6
252	как она	1	6
253	если он	4	6
254	например в	1	6
255	их в	1	6
256	о том	17	6
257	он был	5	6
258	жизнь и	6	6
259	только не	1	6
260	по преимуществу	2	6
261	и других	1	6
262	в которой	7	6
263	но для	2	6
264	в конце	10	6
265	учение о	4	6
266	и это	3	6
267	в смысле	8	6
268	на этом	1	6
269	и тем	4	6
270	за пределы	1	6
271	от нее	2	6
272	один из	2	6
273	они и	2	6
274	его с	2	6
275	с ним	4	6
276	сам по	3	6
277	в плоскости	1	6
278	к его	5	6
279	в россии	2	6
280	из этих	2	6
281	художественных произведений	1	6
282	именно на	2	6
283	нет и	3	6
284	у них	1	6
285	данном случае	5	6
286	уже в	4	6
287	ее в	2	6
288	нисколько не	7	6
289	произведения искусства	1	6
290	его не	3	6
291	не по	1	6
292	в частности	5	6
293	тем самым	2	6
294	искусства и	1	6
295	отношение к	3	6
296	такой же	1	6
297	тому что	2	6
298	с этой	4	5
299	даже в	2	5
300	от этих	1	5
301	в виду	3	5
302	как они	1	5
303	равно как	2	5
304	в мире	1	5
305	правда в	3	5
306	так например	1	5
307	и со	1	5
308	можно сказать	10	5
309	в котором	5	5
310	то это	1	5
311	вопрос о	2	5
312	должно было	1	5
313	как на	1	5
314	в нашем	5	5
315	к нему	3	5
316	всего в	1	5
317	то в	4	5
318	хотя и	10	5
319	не от	1	5
320	не столько	1	5
321	что не	3	5
322	учения о	1	5
323	а только	5	5
324	в эту	1	5
325	мы можем	5	5
326	мы уже	2	5
327	или же	2	5
328	и что	9	5
329	этом смысле	4	5
330	его как	2	5
331	друг другу	1	5
332	и по	2	5
333	а как	2	5
334	в него	1	5
335	и самый	1	5
336	не так	4	5
337	если в	2	5
338	ориентации в	1	5
339	в отношении	8	5
340	функции в	1	5
341	должен был	2	5
342	что оно	2	5
343	ни о	1	5
