N	3gram	Trubetskoy	Stilisti
1	в то же	10	9
2	для того чтобы	6	7
3	то же время	10	7
4	того или иного	2	5
5	с точки зрения	9	5
6	в свою очередь	1	4
7	той или иной	3	4
8	заключает в себе	1	4
9	с самого начала	1	4
10	то же самое	1	4
11	прежде всего в	1	4
12	внутренней и внешней	1	3
13	на самом деле	6	3
14	в конце концов	3	3
15	тех или иных	1	3
16	и тем самым	2	3
17	в этом случае	3	3
18	но все же	1	3
19	должны были бы	1	2
20	само собой разумеется	1	2
21	в самом деле	1	2
22	вместе с тем	3	2
23	к чему не	1	2
24	не может быть	4	2
25	по отношению к	1	2
26	и ту же	1	2
27	о том что	2	2
28	и как бы	1	2
29	но при этом	1	2
30	смысле этого слова	1	2
31	но в то	1	2
32	лишь потому что	1	2
33	мы не знаем	1	2
34	на первый взгляд	1	2
35	в связи с	1	2
36	к тому что	2	2
37	ни к чему	2	2
38	в этом отношении	1	2
39	одну и ту	1	2
40	и не только	1	2
41	в значительной степени	1	2
42	тот или иной	1	2
43	или хотя бы	1	2
44	в том что	7	1
45	к мысли что	1	1
46	и в жизни	1	1
47	в том и	2	1
48	мы подойдем к	1	1
49	о котором мы	1	1
50	котором мы говорили	1	1
51	мы уже знаем	1	1
52	в большинстве случаев	2	1
53	по крайней мере	1	1
54	в себе элементы	1	1
55	лишь при условии	2	1
56	существу ничем не	1	1
57	в другом месте	1	1
58	но ведь в	1	1
59	в себе и	2	1
60	тот факт что	2	1
61	благодаря всем этим	1	1
62	и ни от	1	1
63	тем не менее	1	1
64	только в том	2	1
65	здесь же мы	1	1
66	было говорить о	1	1
67	более или менее	4	1
68	но даже и	1	1
69	на этот вопрос	1	1
70	одного и того	1	1
71	говорить не о	1	1
72	до сих пор	5	1
73	лишь постепенно в	1	1
74	являются не просто	1	1
75	возможна лишь при	1	1
76	то хотя бы	1	1
77	что оно является	1	1
78	даже и в	1	1
79	мы ведь уже	1	1
80	прежде всего с	1	1
81	то что же	1	1
82	и того же	1	1
83	не может не	3	1
84	же время эти	1	1
85	тем что он	1	1
86	мы говорили выше	1	1
87	и все же	1	1
88	по существу ничем	1	1
89	ведь в самом	1	1
90	из которых каждая	1	1
91	перед нами не	1	1
92	вопрос о том	1	1
93	жизни и в	1	1
94	можно было бы	3	1
95	и не может	3	1
96	и в этом	1	1
97	прежде всего на	1	1
98	отнюдь не является	1	1
