N	2gram	Voloshinov	Russkaja
1	не может	30	22
2	и не	34	19
3	в этом	28	17
4	в том	10	17
5	с другом	1	14
6	и в	28	14
7	друг с	1	14
8	то что	17	13
9	таким образом	34	11
10	то же	12	11
11	точки зрения	31	11
12	но и	10	10
13	же время	6	10
14	в то	7	10
15	не только	10	9
16	с точки	15	9
17	том что	12	9
18	во всяком	9	9
19	может быть	28	9
20	в себе	7	9
21	прежде всего	26	8
22	того чтобы	5	8
23	как на	3	8
24	не будет	1	7
25	самом деле	14	7
26	стремление к	2	7
27	к тому	6	7
28	о том	3	7
29	самого себя	2	7
30	в данном	4	7
31	мы должны	9	7
32	и с	10	7
33	отнюдь не	5	7
34	и к	7	6
35	для всех	3	6
36	и при	3	6
37	для него	12	6
38	все это	12	6
39	на самом	6	6
40	в своих	5	6
41	если бы	4	6
42	и для	7	6
43	с тем	1	6
44	что он	12	6
45	для того	6	6
46	к которой	2	6
47	в своем	4	6
48	всяком случае	8	6
49	а потому	4	5
50	до сих	3	5
51	и на	9	5
52	из которых	2	5
53	только в	11	5
54	или иной	2	5
55	по существу	1	5
56	в своей	14	5
57	жизни в	3	5
58	себя и	4	5
59	между собой	4	5
60	во всех	13	5
61	сих пор	3	5
62	и только	6	5
63	вопрос о	2	5
64	хотя бы	7	5
65	потому что	4	5
66	в нем	7	5
67	между тем	3	5
68	он не	10	5
69	а между	1	5
70	конечно не	10	5
71	а в	8	5
72	при этом	8	5
73	было бы	8	5
74	на то	1	5
75	лишь при	1	5
76	он должен	2	5
77	никогда не	10	5
78	что в	7	4
79	во всем	1	4
80	бы то	3	4
81	и то	3	4
82	все что	10	4
83	когда они	1	4
84	так как	15	4
85	к этой	2	4
86	тогда когда	2	4
87	в его	25	4
88	при таких	2	4
89	тому чтобы	3	4
90	не могут	7	4
91	его в	11	4
92	отказаться от	2	4
93	не в	10	4
94	он будет	1	4
95	при том	1	4
96	в корне	6	4
97	вместе с	5	4
98	как и	13	4
99	что такой	2	4
100	в мире	2	4
101	все же	8	4
102	приводит к	3	4
103	в их	2	4
104	со стороны	5	4
105	себе и	3	4
106	ли это	2	4
107	которой он	3	4
108	то ни	4	4
109	можно было	1	4
110	что же	10	4
111	в совершенно	3	4
112	от того	5	4
113	и т.д	1	4
114	как бы	19	4
115	в этой	7	4
116	себя в	3	4
117	жизни и	7	4
118	но не	7	4
119	точку зрения	12	4
120	в самом	12	3
121	то в	2	3
122	что они	1	3
123	этом случае	1	3
124	что оно	4	3
125	и этот	2	3
126	данном случае	4	3
127	должно быть	2	3
128	что это	5	3
129	ни стало	1	3
130	в качестве	2	3
131	для них	3	3
132	что и	5	3
133	сводится к	4	3
134	что может	5	3
135	в виде	1	3
136	в будущем	1	3
137	не было	5	3
138	связи с	1	3
139	или в	1	3
140	сил и	3	3
141	во что	1	3
142	тем что	1	3
143	именно в	4	3
144	в конце	2	3
145	и как	3	3
146	и т	1	3
147	да и	2	3
148	о которых	2	3
149	не есть	2	3
150	но если	2	3
151	в вопросах	1	3
152	но мы	6	3
153	той или	1	3
154	еще не	8	3
155	окажется в	1	3
156	все они	2	3
157	и потому	12	3
158	при условии	1	3
159	то это	1	3
160	ко всем	1	3
161	мы говорили	2	3
162	одна из	4	3
163	и ни	3	3
164	в другом	4	3
165	говорить о	5	3
166	борьбе с	1	3
167	приходит к	1	3
168	можно ли	3	3
169	знаем что	8	3
170	что бы	2	3
171	в большинстве	5	3
172	точке зрения	1	3
173	главным образом	4	3
174	и во	2	3
175	таких условиях	1	3
176	одной из	1	3
177	с нею	1	3
178	что все	7	3
179	в сознании	3	3
180	из этого	2	3
181	он сам	5	3
182	и по	5	3
183	условии если	1	3
184	а следовательно	3	3
185	конце концов	2	3
