N	2gram	Tiupa_Hudo	StatiiOP
1	и в	34	103
2	в том	24	89
3	том что	31	77
4	в этом	22	76
5	что в	8	74
6	не только	22	60
7	и т	15	51
8	о том	21	47
9	но и	13	46
10	то что	13	44
11	что он	14	42
12	в его	17	42
13	и не	15	41
14	может быть	12	38
15	т е	6	33
16	пушкина и	1	33
17	было бы	8	32
18	т д	5	32
19	в этой	11	31
20	вовсе не	2	31
21	тем что	6	29
22	все это	2	29
23	в г	3	28
24	а в	11	27
25	а не	23	27
26	но в	6	26
27	что это	2	25
28	так и	19	25
29	этом отношении	4	24
30	в трагедии	1	24
31	и его	8	24
32	все же	5	23
33	точки зрения	7	23
34	не в	16	23
35	так что	3	23
36	потому что	7	23
37	для того	3	22
38	в которой	2	22
39	как в	11	22
40	того что	5	22
41	прежде всего	12	22
42	в области	1	22
43	того чтобы	6	21
44	до сих	3	20
45	это не	12	20
46	в своей	15	19
47	г в	1	19
48	сих пор	3	19
49	т п	10	19
50	в то	12	19
51	только в	8	19
52	в котором	5	18
53	с другой	4	18
54	он не	8	18
55	но также	1	18
56	об этом	8	18
57	не может	10	18
58	в самом	7	17
59	как на	2	17
60	между прочим	1	17
61	в русской	4	17
62	самом деле	6	17
63	как бы	11	17
64	в данном	3	17
65	в этих	7	16
66	с этим	3	16
67	сказать что	3	16
68	можно было	6	16
69	если бы	7	16
70	в ней	6	16
71	другой стороны	1	15
72	с тем	1	15
73	как и	16	15
74	по поводу	3	15
75	из этих	3	15
76	у него	13	15
77	я не	8	15
78	и на	6	15
79	например в	3	15
80	в отношении	1	15
81	как раз	7	15
82	для него	15	15
83	также и	1	15
84	то же	14	14
85	но все	2	14
86	к тому	11	14
87	с точки	5	14
88	между тем	14	14
89	и что	3	14
90	была бы	3	14
91	в течение	1	14
92	в сцене	1	14
93	именно в	9	13
94	во всяком	1	13
95	в своем	9	13
96	из них	5	13
97	в качестве	13	13
98	а с	5	13
99	в конце	5	13
100	в нем	5	13
101	вместе с	2	13
102	со стороны	6	13
103	всяком случае	1	13
104	но это	2	13
105	дело в	2	13
106	что касается	1	13
107	жизни и	10	13
108	тому что	8	13
109	в своих	4	12
110	не менее	9	12
111	хотя бы	2	12
112	что у	4	12
113	в первой	6	12
114	ни в	5	12
115	как например	2	12
116	так как	2	12
117	что они	4	12
118	в тексте	8	12
119	того времени	1	12
120	в них	3	11
121	в другом	3	11
122	никогда не	8	11
123	не было	8	11
124	ясно что	2	11
125	и с	10	11
126	и по	3	11
127	своего рода	19	11
128	из его	1	11
129	того как	1	11
130	вопрос о	2	11
131	все эти	4	11
132	это было	2	11
133	на то	4	11
134	не столько	4	10
135	в виду	1	10
136	речь идет	3	10
137	так же	3	10
138	в целом	2	10
139	что и	3	10
140	xix века	1	10
141	но он	3	10
142	во всех	2	10
143	а как	2	10
144	же время	11	10
145	ничего не	11	10
146	ответ на	1	10
147	на вопрос	2	10
148	на самом	2	10
149	по словам	1	10
150	но не	7	10
151	во второй	7	10
152	в частности	10	10
153	в начале	3	10
154	и к	6	9
155	с этой	3	9
156	говорит о	4	9
157	можно сказать	9	9
158	он был	1	9
159	в одном	3	9
160	внимание на	3	9
161	несмотря на	7	9
162	его жизни	6	9
163	письме к	1	9
164	и это	7	9
165	в чем	1	9
166	в каждом	1	9
167	ср в	1	9
168	и тем	2	9
169	что эта	1	9
170	не является	1	9
171	такого рода	4	9
172	времени и	2	9
173	что же	4	9
174	и для	5	9
175	для нас	4	9
176	что мы	1	9
177	там где	2	9
178	место в	3	9
179	но ведь	2	8
180	и об	3	8
181	в результате	2	8
182	и даже	4	8
183	в речи	2	8
184	связано с	1	8
185	по его	4	8
186	еще более	1	8
187	к которому	1	8
188	что она	10	8
189	к этому	1	8
190	связи с	4	8
191	действующих лиц	3	8
192	и др	1	8
193	могут быть	1	8
194	в общем	1	8
195	к сожалению	1	8
196	заключается в	1	8
197	в которых	1	8
198	не имеет	2	8
199	тем не	7	8
200	совершенно не	1	8
201	и более	2	8
202	мы имеем	1	8
203	той же	3	8
204	до конца	3	8
205	в их	2	8
206	а также	4	8
207	в какой	1	8
208	дело не	2	8
209	по мнению	6	8
210	отношение к	3	8
211	и о	8	8
212	такой же	3	8
213	это в	4	8
214	о чем	9	7
215	смотрел на	1	7
216	по себе	3	7
217	отличается от	1	7
218	в это	4	7
219	а а	2	7
220	не мог	1	7
221	точка зрения	1	7
222	не просто	1	7
223	гораздо более	1	7
224	в ее	16	7
225	что все	3	7
226	это очень	1	7
227	как это	8	7
228	нельзя не	1	7
229	что для	1	7
230	из этого	1	7
231	во втором	2	7
232	то в	6	7
233	и то	2	7
234	xix в	5	7
235	можно назвать	2	7
236	том как	5	7
237	еще не	10	7
238	еще и	2	7
239	одной из	5	7
240	данном случае	3	7
241	уже в	2	7
242	в виде	2	7
243	но с	3	7
244	что этот	1	7
245	говорит об	1	7
246	тем более	1	7
247	не все	2	7
248	с самого	1	7
249	конце концов	1	7
250	лишь в	5	7
251	отношению к	15	7
252	вплоть до	1	7
253	что за	1	6
254	же и	3	6
255	на его	2	6
256	одно из	4	6
257	и сам	3	6
258	в жизни	9	6
259	в письме	1	6
260	говорить о	4	6
261	по отношению	15	6
262	даже в	4	6
263	ни одного	1	6
264	в отдельных	1	6
265	к нему	2	6
266	только не	3	6
267	отношения между	2	6
268	же как	4	6
269	одном из	1	6
270	о которых	2	6
271	своего времени	3	6
272	этом смысле	1	6
273	в себе	19	6
274	он говорил	2	6
275	в особенности	1	6
276	и здесь	1	6
277	из которых	1	6
278	и все	10	6
279	в в	1	6
280	том смысле	1	6
281	в известном	1	6
282	идет о	3	6
283	что я	4	6
284	с его	9	6
285	мы не	2	6
286	и за	1	6
287	ни на	2	6
288	независимо от	1	6
289	по существу	1	6
290	и я	1	6
291	в одной	3	6
292	действующие лица	2	6
293	этих двух	2	6
294	за то	1	6
295	его не	1	6
296	в литературном	2	6
297	что на	4	6
298	которая была	2	5
299	при этом	21	5
300	не как	3	5
301	по пути	1	5
302	в духе	6	5
303	давно уже	3	5
304	в речах	1	5
305	уже не	12	5
306	и такие	1	5
307	одной стороны	4	5
308	во многих	1	5
309	но они	1	5
310	начале xix	1	5
311	самого начала	1	5
312	том чтобы	2	5
313	что именно	1	5
314	с одной	4	5
315	хотя и	3	5
316	его в	5	5
317	не была	3	5
318	не о	3	5
319	на себя	3	5
320	что не	4	5
321	даже не	1	5
322	в двух	2	5
323	же касается	2	5
324	в сторону	2	5
325	в уста	1	5
326	это были	2	5
327	в москве	2	5
328	столь же	6	5
329	или иного	4	5
330	всех этих	1	5
331	один из	6	5
332	и который	1	5
333	для себя	9	5
334	о которой	3	5
335	не на	1	5
336	за что	1	5
337	судить по	1	5
338	в слове	1	5
339	ни с	2	5
340	свое время	2	5
341	не могло	2	5
342	отношении к	1	5
343	не потому	1	5
344	в творчестве	4	5
345	нет и	2	5
346	не совсем	1	5
347	том же	1	5
348	точку зрения	1	5
349	текста в	1	5
350	в свое	1	5
351	это был	1	5
352	это и	2	5
353	такое же	1	5
354	в прозе	1	5
355	раз в	5	5
356	в сущности	2	5
357	на нее	1	5
358	а то	2	5
359	на тему	1	5
360	вообще не	1	5
361	нас к	2	5
362	является не	1	5
363	во многом	1	5
364	и потому	3	5
365	того или	4	5
366	и только	2	5
367	не по	2	5
368	как он	4	5
369	на это	2	5
370	которых в	1	5
371	к ней	2	5
372	одного из	1	5
373	классической трагедии	1	5
374	как будто	7	5
375	что было	3	4
376	и другие	5	4
377	все что	4	4
378	в центре	4	4
379	только что	4	4
380	не являются	1	4
381	и без	1	4
382	в первом	2	4
383	из двух	1	4
384	а именно	1	4
385	что ни	1	4
386	культуры в	1	4
387	в выборе	1	4
388	казалось бы	12	4
389	было не	1	4
390	не существует	1	4
391	не могли	1	4
392	которыми он	1	4
393	не всегда	1	4
394	на него	3	4
395	во времена	1	4
396	который в	2	4
397	всего в	1	4
398	и он	6	4
399	на язык	1	4
400	поэзии в	1	4
401	как можно	1	4
402	будто бы	6	4
403	в таком	3	4
404	в связи	3	4
405	одна из	4	4
406	на этом	5	4
407	не могут	1	4
408	в смысле	1	4
409	с пушкина	1	4
410	и у	3	4
411	могло бы	1	4
412	но как	3	4
413	для его	1	4
414	молодой человек	1	4
415	и тот	2	4
416	была не	1	4
417	литературы и	1	4
418	у которого	2	4
419	общего с	1	4
420	с которым	1	4
421	на рубеже	1	4
422	в последнем	1	4
423	то есть	1	4
424	если в	4	4
425	по адресу	2	4
426	не зная	2	4
427	и вполне	1	4
428	разумеется не	2	4
429	в форме	2	4
430	так или	3	4
431	сами по	1	4
432	они не	2	4
433	в романе	1	4
434	обращается к	1	4
435	как о	3	4
436	это время	2	4
437	и так	3	4
438	от его	1	4
439	да и	5	4
440	по своей	5	4
441	именно поэтому	1	4
442	ничего общего	1	4
443	здесь нет	1	4
444	все они	2	4
445	а б	1	4
446	бы и	2	4
447	в основе	3	4
448	ни у	1	4
449	более чем	2	4
450	в значительной	3	4
451	связана с	1	4
452	как известно	1	4
453	относится к	1	4
454	быть не	1	4
455	и тогда	2	4
456	не знает	2	4
457	состоит в	8	4
458	не для	1	4
459	в образе	1	4
460	с нею	2	4
461	значительной степени	3	4
462	это просто	1	4
463	что оно	1	4
464	бы на	2	4
465	как у	2	4
466	и всегда	1	4
467	века и	1	4
468	или в	3	4
469	или иначе	3	4
470	места в	1	4
471	есть в	1	4
472	г а	1	4
473	в такой	2	4
474	нисколько не	1	4
475	в каждой	2	4
476	бы совершенно	1	4
477	чем в	1	4
478	выхода в	1	4
479	а по	2	4
480	еще в	4	4
481	что его	1	4
482	как мы	5	4
483	же это	2	4
484	но для	1	4
485	от него	3	3
486	писателя и	1	3
487	русской литературе	3	3
488	любовь к	1	3
489	к числу	3	3
490	а у	1	3
491	его от	1	3
492	или иной	2	3
493	чтобы в	1	3
494	более или	1	3
495	из нее	1	3
496	их в	2	3
497	смысл этого	1	3
498	себе в	2	3
499	при всей	3	3
500	и дело	3	3
501	к этой	4	3
502	можно считать	1	3
503	трагедии это	1	3
504	первая глава	1	3
505	представляет собой	1	3
506	к своей	1	3
507	в руках	1	3
508	смысле слова	1	3
509	которым в	2	3
510	о них	4	3
511	может служить	1	3
512	внимания к	1	3
513	для которого	1	3
514	видно что	3	3
515	я с	2	3
516	с именем	1	3
517	все время	2	3
518	сцена в	1	3
519	ему не	3	3
520	бы то	1	3
521	нельзя сказать	1	3
522	произведения и	2	3
523	на том	3	3
524	что при	3	3
525	согласно которой	1	3
526	для своего	2	3
527	х годов	1	3
528	говорит в	2	3
529	можно судить	1	3
530	как его	3	3
531	я и	7	3
532	также в	2	3
533	и до	1	3
534	от этого	2	3
535	в других	4	3
536	особенно в	3	3
537	бы в	2	3
538	имеет ничего	1	3
539	исторической эпохи	1	3
540	находит свое	1	3
541	в лучшем	1	3
542	эти слова	3	3
543	xviii в	2	3
544	не дает	1	3
545	то ни	2	3
546	совсем не	1	3
547	в рассказе	23	3
