N	3gram	Vygotskiy_	KulturaY
1	и т п	5	93
2	и т д	6	42
3	для того чтобы	41	38
4	с точки зрения	5	36
5	в том что	30	33
6	в самом деле	8	29
7	можно было бы	4	25
8	во всяком случае	1	19
9	то обстоятельство что	2	19
10	с другой стороны	8	17
11	в зависимости от	7	16
12	в русском языке	1	15
13	до сих пор	9	14
14	в том чтобы	6	14
15	по отношению к	2	13
16	по крайней мере	1	13
17	только потому что	1	13
18	и в самом	3	11
19	не может быть	4	11
20	в этом отношении	3	11
21	в этом смысле	3	10
22	о том что	15	10
23	вместе с тем	4	9
24	того или иного	1	9
25	не в том	1	8
26	само по себе	3	8
27	на самом деле	8	8
28	не только в	5	8
29	в этом случае	2	8
30	тех пор пока	2	7
31	т п и	1	7
32	в том случае	1	7
33	до тех пор	2	7
34	а с другой	5	7
35	в свою очередь	1	7
36	чуть ли не	1	7
37	с одной стороны	15	7
38	после того как	1	7
39	в отличие от	3	6
40	к тому же	1	6
41	то же время	1	6
42	той или иной	2	6
43	этой точки зрения	3	6
44	в то же	1	6
45	то или иное	1	5
46	с этой точки	3	5
47	потому что он	3	5
48	речь идет о	1	5
49	более или менее	1	5
50	в данном случае	3	5
51	и в этом	2	5
52	на этот вопрос	5	5
53	в конечном счете	2	4
54	я имею в	1	4
55	д и т	1	4
56	потому что как	1	4
57	сам по себе	4	4
58	том что он	4	4
59	смысле этого слова	1	4
60	и того же	2	4
61	а в том	1	4
62	к тому что	8	4
63	состоит в том	2	4
64	одного и того	2	4
65	в том и	3	4
66	т д и	1	4
67	на то что	25	4
68	бы сказать что	2	4
69	заключается в том	9	4
70	только то что	1	4
71	и вовсе не	1	4
72	имею в виду	1	4
73	что слово это	1	4
74	зависимости от того	4	4
75	так же как	3	4
76	именно в том	3	4
77	в этой области	1	4
78	о том как	1	3
79	чтобы понять что	1	3
80	и то обстоятельство	1	3
81	силу того что	1	3
82	совершенно ясно что	7	3
83	нужно было бы	1	3
84	в конце концов	6	3
85	это и в	1	3
86	вместо того чтобы	1	3
87	мы приходим к	1	3
88	потому что не	1	3
89	того что в	1	3
90	с тем что	3	3
91	не то что	3	3
92	уже о том	1	3
93	те или иные	1	3
94	на русский язык	1	3
95	сама по себе	3	3
