N	2gram	Bakhtin_fo	EvropaiC
1	таким образом	14	34
2	в том	16	31
3	и в	84	24
4	том что	7	20
5	все эти	12	19
6	то что	13	18
7	не может	8	18
8	может быть	18	17
9	до сих	4	15
10	народа в	1	15
11	все же	12	15
12	сих пор	4	15
13	точки зрения	14	14
14	к культуре	1	14
15	в этом	41	13
16	все это	10	13
17	самом деле	2	12
18	с этим	11	12
19	между тем	1	12
20	в своем	8	12
21	по отношению	3	11
22	но и	14	11
23	культуры и	1	11
24	отношению к	5	11
25	все что	2	10
26	не только	16	10
27	так и	17	10
28	как и	15	10
29	культуры в	1	10
30	во всех	13	10
31	из себя	1	10
32	как бы	11	10
33	что в	9	9
34	при этом	8	9
35	в результате	6	9
36	не в	10	9
37	и все	10	9
38	и не	19	9
39	с другом	5	9
40	потому что	11	9
41	и что	1	9
42	на то	1	9
43	друг с	5	9
44	того же	9	9
45	в самом	9	8
46	с точки	9	8
47	касается до	1	8
48	ясно что	2	8
49	к тому	6	8
50	мы говорили	3	8
51	для того	12	8
52	если бы	6	8
53	того чтобы	11	8
54	так же	7	8
55	из этих	5	8
56	так как	12	7
57	того что	5	7
58	что и	5	7
59	на самом	1	7
60	что он	2	7
61	о которых	1	7
62	о том	4	7
63	вместе с	9	7
64	по своей	1	7
65	в этой	3	7
66	по существу	17	7
67	мы можем	2	6
68	и на	13	6
69	несмотря на	1	6
70	с ним	5	6
71	только в	12	6
72	тому же	2	6
73	от друга	2	6
74	в мире	4	6
75	отличается от	1	6
76	друг от	2	6
77	еще не	8	6
78	все они	4	6
79	должна быть	1	6
80	так что	4	6
81	и при	1	6
82	к чужой	1	6
83	что касается	1	6
84	как на	2	6
85	в общем	1	6
86	с другой	4	6
87	в то	13	6
88	у них	4	6
89	и для	12	6
90	и к	4	5
91	ничем не	1	5
92	между собою	1	5
93	должно быть	6	5
94	тех кто	1	5
95	в состоянии	1	5
96	в его	19	5
97	из всех	1	5
98	что это	1	5
99	пор не	1	5
100	другой стороны	1	5
101	у него	8	5
102	его в	8	5
103	в которой	3	5
104	но все	6	5
105	и с	10	5
106	именно в	5	5
107	по своему	3	5
108	ступени развития	1	5
109	представляет из	1	5
110	по сравнению	3	5
111	сравнению с	3	5
112	быть и	4	5
113	между двумя	6	5
114	и их	11	5
115	оказывается что	2	5
116	лишь только	1	5
117	далеко не	3	5
118	лишь в	8	5
119	так называемого	1	5
120	своего народа	1	5
121	в себе	7	5
122	и от	3	5
123	что все	4	5
124	к этому	5	5
125	в целом	2	5
126	из них	8	5
127	но в	16	5
128	и то	5	4
129	то они	2	4
130	ее и	1	4
131	та же	4	4
132	самого себя	1	4
133	которых мы	1	4
134	из того	1	4
135	этом случае	1	4
136	хотя и	5	4
137	совершенно не	3	4
138	из которых	1	4
139	чем больше	1	4
140	это есть	1	4
141	в европейской	1	4
142	все прочие	1	4
143	в их	9	4
144	в виде	1	4
145	связи с	14	4
146	одним из	1	4
147	и культур	2	4
148	в конце	11	4
149	в таком	4	4
150	с тем	5	4
151	состоит из	1	4
152	не могут	4	4
153	между собой	5	4
154	и у	8	4
155	что мы	2	4
156	данный момент	1	4
157	мы уже	17	4
158	в течение	2	4
159	ни один	2	4
160	хотя бы	2	4
161	в дальнейшем	10	4
162	мы должны	2	4
163	факт что	1	4
164	целый ряд	2	4
165	тот факт	1	4
166	и т.д	2	4
167	отношение к	5	4
168	что как	1	4
169	том же	4	4
170	и проч	5	4
171	в области	1	4
172	он не	6	4
173	конце концов	1	4
174	если мы	2	4
175	всех этих	9	4
176	мы сказали	1	4
177	то же	18	4
178	совершенно так	1	4
179	никогда не	8	4
180	ближе к	1	3
181	во всем	3	3
182	на почве	2	3
183	от него	1	3
184	что оно	1	3
185	эти элементы	1	3
186	а наоборот	1	3
187	возможно лишь	1	3
188	данном случае	2	3
189	и по	5	3
190	в начале	3	3
191	с одной	5	3
192	тогда когда	2	3
193	культуры а	1	3
194	за ними	3	3
195	в нашем	3	3
196	эту культуру	1	3
197	в разных	6	3
198	указанных выше	1	3
199	с более	1	3
200	и говорить	1	3
201	как у	2	3
202	для нас	2	3
203	на нас	3	3
204	прежде всего	28	3
205	у нас	2	3
206	одно из	3	3
207	в этих	6	3
208	чем в	3	3
209	что по	1	3
210	в нем	28	3
211	слагается из	2	3
212	представление о	1	3
213	очень много	1	3
214	в жизни	6	3
215	можно назвать	2	3
216	в связи	13	3
217	не подлежит	1	3
218	случаях когда	1	3
219	же как	2	3
220	но по	2	3
221	на земле	2	3
222	в истории	6	3
223	может не	1	3
224	вследствие этого	4	3
225	и это	5	3
226	что их	1	3
227	и вообще	3	3
228	тем более	4	3
229	жизнь и	4	3
230	и того	7	3
231	и потому	4	3
232	на этой	4	3
233	всему этому	1	3
234	в данном	4	3
235	и других	5	3
236	отличие от	3	3
237	вопрос о	2	3
238	человеческого рода	1	3
239	в ней	4	3
240	и может	2	3
241	что если	1	3
242	должны быть	2	3
243	с этой	3	3
244	это не	8	3
245	в тех	1	3
246	и до	7	3
247	конечно не	7	3
248	уже и	1	3
249	не вполне	1	3
250	в совершенно	3	3
251	при помощи	1	3
252	каждый из	2	3
253	а в	6	3
254	было бы	2	3
255	как мы	19	3
256	с современными	1	3
257	они должны	1	3
258	мы будем	5	3
259	семьи и	1	3
260	образом в	1	3
261	нечего и	1	3
262	но не	9	3
263	в эти	1	3
264	таким же	1	3
265	бы в	1	3
266	в настоящее	1	3
267	как для	1	3
268	одного и	6	3
269	тот же	4	3
270	и наконец	6	3
271	отдельные элементы	1	2
272	все в	3	2
273	от нее	1	2
274	и весь	2	2
275	что они	3	2
276	во втором	2	2
277	образом и	2	2
278	но на	4	2
279	все его	7	2
280	к другу	2	2
281	мы и	4	2
282	друг к	2	2
283	то есть	42	2
284	этот процесс	5	2
285	то в	2	2
286	на том	1	2
287	для себя	8	2
288	не без	2	2
289	для него	5	2
290	а это	1	2
291	тем как	1	2
292	те же	5	2
293	а затем	3	2
294	то и	1	2
295	но как	1	2
296	как разные	1	2
297	борьбы с	1	2
298	в виду	5	2
299	сводится к	1	2
300	этими двумя	3	2
301	исторического развития	1	2
302	и римской	1	2
303	совершенно ясно	1	2
304	в своих	1	2
305	не было	8	2
306	меньше чем	1	2
307	все то	2	2
308	не знает	4	2
309	и некоторые	1	2
310	и сам	2	2
311	из нее	2	2
312	все дело	1	2
313	культур не	1	2
314	теперь мы	1	2
315	вовсе не	20	2
316	такой же	1	2
317	но для	2	2
318	в один	2	2
319	на месте	1	2
320	жизни и	12	2
321	то время	4	2
322	в процессе	4	2
323	чтобы быть	1	2
324	между этими	4	2
325	тому что	1	2
326	имеет место	6	2
327	я не	1	2
328	между ними	5	2
329	как не	1	2
330	с ними	1	2
331	их в	6	2
332	есть в	3	2
333	между прочим	1	2
334	которые могут	1	2
335	и так	2	2
336	в одно	3	2
337	в которых	4	2
338	никто не	2	2
339	есть только	2	2
340	следовательно и	3	2
341	они не	4	2
342	на одном	1	2
343	себя и	6	2
344	не имеет	5	2
345	же мало	1	2
346	высшей степени	1	2
347	со своей	3	2
348	почти все	4	2
349	зависимости от	1	2
350	в себя	3	2
351	на каждом	1	2
352	нет в	2	2
353	должен быть	2	2
354	в эту	1	2
355	на себе	1	2
356	по его	1	2
357	развития человечества	3	2
358	в них	11	2
359	вступают в	3	2
360	этих двух	1	2
361	в индивидуальном	1	2
362	во всяком	5	2
363	со временем	1	2
364	в основе	9	2
365	и более	3	2
366	в котором	8	2
367	и только	3	2
368	на этом	2	2
369	на поверхность	1	2
370	эти последние	1	2
371	совершенно иной	3	2
372	она не	2	2
373	эту черту	2	2
374	всяком случае	1	2
375	в свою	2	2
376	одной стороны	3	2
377	на друга	4	2
378	также и	6	2
379	ту же	4	2
380	одну из	2	2
381	в другом	2	2
382	и поэтому	2	2
383	не более	1	2
384	и уже	4	2
385	нашем случае	1	2
386	только один	2	2
387	всеми этими	1	2
388	два человека	1	2
389	говорить о	1	2
390	всех других	1	2
391	тех же	2	2
392	же что	3	2
393	для всякого	1	2
394	конечно в	1	2
395	из него	1	2
396	рано или	1	2
397	не следует	1	2
398	и те	4	2
399	этот вопрос	1	2
400	же время	13	2
401	но вместе	1	2
402	сил и	1	2
403	существование в	1	2
404	из одного	1	2
405	свою очередь	1	2
406	рассматривать как	1	2
407	друг на	4	2
408	широком смысле	3	2
409	к ним	3	2
410	со своими	1	2
411	и культуру	1	2
412	о которой	1	2
413	той же	2	2
414	в высшей	1	2
415	на него	1	2
416	на первый	2	2
417	по этому	2	2
418	на более	1	2
419	во всей	3	2
420	все без	1	2
421	в частности	11	2
422	свои силы	1	2
423	общества и	1	2
424	одна из	3	2
425	и дальше	1	2
426	этого слова	2	2
427	весьма часто	2	2
428	в сущности	5	2
429	и его	26	2
430	от них	1	2
431	мы видели	2	2
432	в эпохи	1	2
433	а следовательно	4	2
434	отнюдь не	7	2
435	в отдельных	2	2
436	или поздно	1	2
437	в ту	1	2
438	независимо от	1	2
439	для этой	1	2
440	все упомянутые	1	2
441	с ее	7	2
442	тем же	3	2
443	которой мы	1	2
444	в самой	3	2
445	точку зрения	3	2
446	и ее	4	2
447	что на	3	2
448	почти ничего	1	2
449	друг друга	3	2
450	гораздо более	1	2
451	из этой	1	2
452	он должен	2	2
453	на время	1	1
454	как все	1	1
455	всего в	4	1
456	были бы	1	1
457	начиная с	1	1
458	само собой	2	1
459	находим в	1	1
460	не происходит	1	1
461	всех отношениях	1	1
462	она имеет	1	1
463	и другие	6	1
464	на деле	1	1
465	которую они	1	1
466	не принадлежат	1	1
467	или просто	1	1
468	культурного развития	1	1
469	государство не	1	1
470	на родину	1	1
471	встречаются друг	1	1
472	чтобы это	1	1
473	в состав	1	1
474	для всех	3	1
475	времени все	3	1
476	мы видим	4	1
477	в более	2	1
478	перечисленных нами	1	1
479	один из	5	1
480	вступить в	1	1
481	это делает	1	1
482	в научной	1	1
483	введены в	1	1
484	то увидим	1	1
485	как другие	1	1
486	ему что	1	1
487	она и	1	1
488	течение которого	1	1
489	они и	1	1
490	возрасте в	1	1
491	на эти	1	1
492	же и	2	1
493	уже говорили	6	1
494	и свою	1	1
495	если в	1	1
496	ее на	1	1
497	сам он	1	1
498	нас не	1	1
499	и пр	2	1
500	рядом и	1	1
501	собою все	1	1
502	быстротою и	1	1
503	том числе	7	1
504	вполне понятно	4	1
505	уже в	5	1
506	мы не	4	1
507	из одних	1	1
508	с детства	1	1
509	некоторой степени	1	1
510	время в	7	1
511	реальной и	1	1
512	оно было	3	1
513	случае мы	1	1
514	у другого	1	1
515	без исключения	1	1
516	именно как	4	1
517	по всему	3	1
518	еще более	7	1
519	лишь то	1	1
520	степени при	1	1
521	в последующем	6	1
522	простой народ	1	1
523	была бы	2	1
524	объявляют что	1	1
525	эта идея	1	1
526	которой этот	1	1
527	потому они	1	1
528	говорили в	1	1
529	бы на	1	1
530	за пределами	2	1
531	в своей	2	1
532	выгодно для	1	1
533	в положение	1	1
534	человек с	2	1
535	смысл и	1	1
536	до некоторой	1	1
537	на этих	1	1
538	он и	1	1
539	кроме того	7	1
540	конца не	1	1
541	строго говоря	2	1
542	и сильно	1	1
543	в корне	2	1
544	одно это	1	1
545	в ее	6	1
546	не приходится	1	1
547	для борьбы	1	1
548	не вызывает	1	1
549	все только	2	1
550	ее в	2	1
551	и сама	1	1
552	пор еще	1	1
553	в качестве	6	1
554	других областях	1	1
555	приближение к	1	1
556	в тот	1	1
557	не являются	3	1
558	с особенностями	2	1
559	в прошлом	3	1
560	живут в	1	1
561	с другими	3	1
562	в широком	3	1
563	это слово	1	1
564	нами в	1	1
565	а все	1	1
566	но отдельные	2	1
567	смысле этого	1	1
568	и художественное	1	1
569	к жизни	2	1
570	бы при	1	1
571	дается с	1	1
