N	2gram	Vygotskiy_	UchenyiS
1	и в	55	14
2	формальный метод	1	11
3	не только	25	10
4	а не	18	10
5	и не	24	8
6	прежде всего	5	8
7	то что	47	7
8	вот почему	1	7
9	в этом	21	7
10	не может	30	7
11	может быть	35	6
12	эстетического объекта	2	6
13	в искусстве	24	6
14	хотя бы	4	5
15	то же	17	5
16	художественного творчества	6	5
17	в художественном	9	5
18	и только	5	5
19	все это	11	5
20	художественное произведение	16	5
21	в конечном	6	4
22	с другой	7	4
23	в этой	5	4
24	в россии	1	4
25	конечном счете	6	4
26	конечно не	2	4
27	что такое	2	4
28	но и	12	4
29	литературной науки	1	4
30	в их	4	4
31	к сожалению	1	3
32	бы то	3	3
33	было бы	14	3
34	не о	1	3
35	и то	4	3
36	и формы	1	3
37	истории литературы	1	3
38	как такового	1	3
39	и т.д	1	3
40	этой области	4	3
41	для этого	1	3
42	очевидно что	7	3
43	произведения искусства	4	3
44	это не	1	3
45	как и	25	3
46	то ни	2	3
47	для него	1	3
48	формы в	6	3
49	в своей	6	3
50	все же	9	3
51	ни было	2	3
52	в области	12	3
53	в частности	6	3
54	в то	8	3
55	не как	3	3
56	у нас	4	3
57	другой стороны	7	3
58	не следует	1	3
59	но в	5	3
60	же время	2	3
61	литературы и	1	2
62	как труп	1	2
63	художественной формы	17	2
64	таким образом	38	2
65	в самом	18	2
66	же не	1	2
67	не приходится	1	2
68	материал для	4	2
69	должна была	3	2
70	могли бы	3	2
71	его и	4	2
72	если бы	10	2
73	самом деле	19	2
74	могут быть	15	2
75	является в	1	2
76	в шкловский	1	2
77	не в	19	2
78	ни от	1	2
79	это было	1	2
80	бы и	5	2
81	для всех	5	2
82	и с	5	2
83	до сих	8	2
84	и прием	1	2
85	их и	1	2
86	же самое	8	2
87	материал как	1	2
88	думается что	3	2
89	крайней мере	1	2
90	как таковой	1	2
91	но не	5	2
92	по существу	6	2
93	форму и	4	2
94	мы и	1	2
95	тем что	7	2
96	как принцип	1	2
97	в себе	6	2
98	в его	8	2
99	искусства как	6	2
100	в конце	6	2
101	приходится признать	1	2
102	должна быть	3	2
103	мы не	15	2
104	мы получаем	4	2
105	ничего не	4	2
106	материала и	2	2
107	между тем	6	2
108	что она	11	2
109	не есть	4	2
110	художественного произведения	22	2
111	прием в	1	2
112	что он	17	2
113	на каждом	1	2
114	в широком	1	2
115	конце концов	6	2
116	на эту	1	2
117	при таком	5	2
118	этом отношении	7	2
119	о чем	2	2
120	фактов и	2	2
121	как прием	5	2
122	художественном произведении	8	2
123	искусстве нет	1	2
124	как раз	4	2
125	каждом шагу	1	2
126	композиции и	1	2
127	тех или	2	2
128	не могут	6	2
129	а как	2	2
130	что мы	9	2
131	сводится к	3	2
132	в буквальном	1	2
133	в том	55	2
134	том что	30	2
135	или иных	2	2
136	художественного задания	1	2
137	нас в	2	2
138	но это	3	2
139	этом смысле	3	2
140	материал не	3	2
141	но даже	4	2
142	а о	1	2
143	и для	9	2
144	в системе	1	2
145	что материал	2	2
146	и является	1	2
147	что и	27	2
148	к области	3	2
149	в сторону	1	2
150	не столько	1	2
151	а между	1	2
152	смысле этого	2	2
