N	4gram	Tiupa_Narr	Myslijsy
1	по мере того как	1	14
2	в то же время	7	13
3	одного и того же	2	9
4	одно и то же	2	7
5	один и тот же	1	4
6	в то время как	1	4
7	дело в том что	2	4
8	одним и тем же	1	4
9	в том виде в	1	3
10	а в том как	1	3
11	с этой точки зрения	1	3
12	с одной стороны и	1	3
13	том виде в каком	1	3
14	в том смысле как	1	2
15	может быть не только	1	2
16	если бы не было	1	2
17	состоит в том что	5	2
18	в том случае если	1	2
19	и то же слово	1	2
20	что одно и то	2	2
21	внимание на то что	2	2
22	одна и та же	1	2
23	бы то ни было	1	2
24	так а не иначе	1	2
25	на том как именно	1	1
26	той мере в какой	1	1
27	нам более или менее	1	1
28	в той мере в	1	1
29	до сих пор еще	1	1
30	здесь не только в	1	1
31	не для того чтобы	1	1
32	виде в каком она	1	1
33	в том что одно	2	1
34	в свою очередь не	1	1
35	в том как он	1	1
36	следует иметь в виду	1	1
37	со своей точки зрения	1	1
38	то а не другое	1	1
39	не само по себе	1	1
40	же как и в	1	1
41	в себе указание на	1	1
42	мы тем не менее	1	1
43	зависит не только от	1	1
44	еще и потому что	1	1
45	здесь мы имеем дело	1	1
46	в том что именно	1	1
47	и в самом деле	1	1
48	в противном случае он	1	1
49	сам по себе а	1	1
50	с одним и тем	1	1
51	не только в слове	1	1
52	и не может быть	2	1
53	не подлежит сомнению и	1	1
54	бросается в глаза что	1	1
55	по отношению к ним	1	1
56	в том числе и	1	1
57	лишь в том случае	1	1
58	мы имеем дело с	4	1
59	точно так же как	1	1
