N	2gram	Nazirov_Tv	Problema
1	и в	40	182
2	то есть	16	165
3	и не	12	152
4	вовсе не	5	145
5	то что	9	144
6	не есть	2	113
7	не только	16	104
8	потому что	10	89
9	в этом	11	88
10	может быть	11	82
11	в том	13	81
12	том что	14	81
13	не просто	1	80
14	только в	7	73
15	сказать что	3	72
16	но и	10	70
17	в виде	4	69
18	у нас	2	68
19	также и	1	68
20	и даже	8	66
21	по себе	2	64
22	даже и	1	63
23	не менее	8	58
24	о том	9	57
25	тем не	2	56
26	а не	9	56
27	так и	5	56
28	но в	11	55
29	так что	4	52
30	ни в	2	51
31	в себе	3	48
32	отнюдь не	9	48
33	при помощи	4	47
34	было бы	2	46
35	прежде всего	10	45
36	в своей	8	45
37	что в	17	44
38	в его	19	44
39	не в	3	43
40	все эти	3	43
41	то же	19	42
42	как раз	2	42
43	таким образом	14	42
44	если мы	1	42
45	и что	2	40
46	что он	11	40
47	так как	6	40
48	во всяком	2	39
49	не может	9	39
50	такого рода	1	39
51	и тем	2	39
52	в этой	7	39
53	как бы	26	39
54	той или	1	38
55	в данном	2	38
56	хотя бы	5	37
57	никак не	1	37
58	в нем	4	37
59	того что	3	37
60	еще не	5	36
61	и все	6	36
62	и т	14	35
63	в виду	3	34
64	уже не	6	34
65	и с	9	34
66	как и	16	34
67	указывает на	2	34
68	же самое	1	33
69	в таком	4	33
70	не является	3	33
71	т д	10	33
72	или иной	1	33
73	в то	23	32
74	но не	7	32
75	едва ли	2	32
76	так же	6	31
77	в своем	4	31
78	связи с	2	31
79	что такое	1	31
80	в конце	5	31
81	но это	10	31
82	все это	14	31
83	ясно что	1	30
84	с другой	4	30
85	настоящее время	2	30
86	в настоящее	1	30
87	в связи	2	29
88	все же	9	29
89	можно сказать	2	29
90	перед нами	3	29
91	художественный образ	1	29
92	как мы	1	29
93	об этом	4	29
94	что же	1	28
95	данном случае	2	28
96	мы не	3	28
97	а в	10	28
98	есть только	1	28
99	и о	2	28
100	и это	2	27
101	и как	5	27
102	хотя и	5	27
103	ничего общего	1	27
104	ничего не	3	27
105	в результате	1	26
106	другой стороны	2	26
107	крайней мере	4	26
108	да и	1	26
109	как будто	5	26
110	вместе с	4	26
111	по крайней	4	26
112	это не	9	26
113	и его	14	26
114	и на	12	25
115	тем самым	10	25
116	всяком случае	2	25
117	с тем	1	24
118	на самом	3	24
119	тем более	1	24
120	и вполне	1	24
121	не имеет	2	24
122	таком случае	2	23
123	по своему	1	23
124	на то	1	23
125	при этом	14	23
126	тут же	1	23
127	в качестве	2	23
128	и притом	2	23
129	конце концов	1	23
130	а только	1	23
131	то и	1	23
132	мы находим	2	23
133	есть не	2	23
134	и к	1	22
135	только на	2	22
136	никогда не	13	22
137	и является	1	22
138	всех этих	1	22
139	тоже не	2	22
140	нет ничего	1	22
141	значит что	3	22
142	его в	2	22
143	и от	8	22
144	и есть	2	22
145	и если	3	22
146	что и	3	22
147	в самом	6	21
148	мы должны	1	21
149	и ее	1	21
150	говорить о	1	21
151	для себя	1	21
152	и без	2	21
153	и только	2	21
154	именно в	6	20
155	можно было	1	20
156	и потому	4	20
157	о чем	1	20
158	тем что	2	20
159	как о	1	20
160	или в	2	20
161	это значит	1	19
162	кроме того	1	19
163	в них	1	19
164	тоже есть	1	19
165	с ним	4	19
166	самом деле	4	19
167	но если	4	19
168	того или	1	19
169	то это	2	19
170	уже в	5	19
171	то в	2	19
172	в отношении	1	19
173	но только	3	19
174	он не	10	19
175	это есть	1	19
176	если не	4	19
177	если бы	4	19
178	как в	10	19
179	как нечто	1	19
180	жизни и	3	19
181	в этих	2	18
182	необходимо сказать	1	18
183	того же	2	18
184	не было	3	18
185	не будет	2	18
186	и ни	1	18
187	мы и	1	18
188	не существует	3	18
189	в ее	3	18
190	в ней	2	18
191	что они	3	17
192	во всех	2	17
193	но уже	2	17
194	и здесь	2	17
195	пока еще	1	17
196	гораздо более	2	17
197	мы уже	2	17
198	совсем не	1	17
199	ни о	1	17
200	это и	4	17
201	точно так	3	16
202	что она	5	16
203	как это	2	16
204	он и	1	16
