N	3gram	Losev_Dial	DiskursI
1	в том что	12	28
2	с одной стороны	3	14
3	не может быть	4	12
4	в данном случае	1	12
5	то же время	8	10
6	той или иной	4	10
7	о том что	6	9
8	в то же	7	8
9	в этом отношении	2	8
10	к тому же	2	6
11	по крайней мере	11	6
12	с точки зрения	18	6
13	одной стороны и	3	5
14	и как бы	1	5
15	то же самое	3	5
16	с другой стороны	7	5
17	в первую очередь	1	5
18	и может быть	3	5
19	что же касается	1	5
20	дело в том	1	5
21	не только в	2	5
22	подобно тому как	1	5
23	до известной степени	1	4
24	тем не менее	3	4
25	можно сказать что	6	4
26	в силу своей	2	4
27	сказать и о	1	4
28	не в том	2	4
29	в полной мере	1	4
30	и не может	1	4
31	как будто бы	3	3
32	говоря уже о	1	3
33	более или менее	5	3
34	в качестве примера	2	3
35	и то же	8	3
36	в обоих случаях	1	3
37	можно говорить о	1	3
38	при всей своей	1	3
39	на первый взгляд	2	3
40	мы имеем дело	1	3
41	не говоря уже	1	3
42	и в частности	4	3
43	одно и то	8	3
44	содержит в себе	5	3
45	том что в	1	3
46	во всяком случае	3	3
47	точка зрения на	1	2
48	нет различия между	1	2
49	на этом основании	1	2
50	сами по себе	4	2
51	одних и тех	1	2
52	далеко не всегда	1	2
53	ни о чем	2	2
54	речь идет о	1	2
55	большей или меньшей	1	2
56	и в то	3	2
57	по себе не	7	2
58	а в том	1	2
59	в новое время	1	2
60	а не только	1	2
61	и в том	1	2
62	в том и	1	2
63	но и в	1	2
64	в том чтобы	1	2
65	обратим внимание на	1	2
66	и в особенности	1	2
67	только то что	6	2
68	по большей части	1	2
69	все же не	1	2
70	времени и пространства	2	2
71	только в том	1	2
72	и той же	1	2
73	и тех же	1	2
74	с той или	2	2
75	это еще не	1	2
76	как и все	1	2
77	чего не было	1	2
78	одной и той	1	2
79	в одно и	1	2
80	с самого начала	2	2
81	и то что	1	2
82	совмещает в себе	1	2
83	у пушкина и	1	2
84	и не только	4	2
85	во времени но	1	1
86	она отличается от	1	1
87	что он не	2	1
88	в той или	3	1
89	но все эти	1	1
90	должны быть еще	1	1
91	по своей собственной	1	1
92	говорит не о	1	1
93	что же это	1	1
94	и даже не	3	1
95	отнюдь не является	1	1
96	как и вообще	1	1
97	в чем не	1	1
98	во главе с	1	1
99	к одному и	1	1
100	что в одном	1	1
101	в этом смысле	4	1
102	по сравнению с	2	1
103	о чем мы	1	1
104	и в другом	1	1
105	то или иное	4	1
106	не было и	1	1
107	крайней мере в	3	1
108	не говорит об	1	1
109	дело не в	1	1
110	веры а не	1	1
111	в самом деле	3	1
112	том что первая	1	1
113	первый взгляд может	1	1
114	для того чтобы	1	1
115	это не есть	1	1
116	с ним в	1	1
117	друг от друга	1	1
118	не стремится к	1	1
119	но это только	1	1
120	в таком случае	2	1
121	так или иначе	3	1
122	сам по себе	8	1
123	но наука не	1	1
124	до сих пор	4	1
125	в себе самом	2	1
126	ее может быть	1	1
127	может быть названа	1	1
128	к своему собственному	1	1
129	есть она сама	1	1
130	иметь в виду	4	1
131	в отношении к	1	1
132	в этом пункте	1	1
133	но для этого	1	1
134	никогда не бывает	1	1
135	тех или иных	1	1
136	но также и	1	1
137	себя а не	1	1
138	а стало быть	1	1
139	не только о	1	1
140	есть не что	3	1
141	надо к ним	1	1
142	а со стороны	1	1
143	не может не	1	1
144	как раз и	1	1
145	в связи с	3	1
146	выбор между двумя	1	1
147	или по крайней	2	1
148	но все же	2	1
149	несмотря на все	1	1
150	всем потому что	1	1
151	в нем нет	3	1
152	но и к	1	1
153	том и в	1	1
154	из того что	1	1
155	между внутренним и	1	1
156	может и быть	1	1
157	имея в виду	1	1
158	но это не	2	1
159	и о том	1	1
160	и не стоит	1	1
161	в себе черты	1	1
162	и в этом	4	1
163	о мире как	1	1
164	в своем значении	1	1
165	это то что	1	1
166	и не быть	1	1
167	может и не	2	1
168	перед нами два	1	1
169	не могу не	2	1
170	в этих случаях	1	1
171	быть выведена из	1	1
172	а не с	1	1
173	вместе с тем	1	1
174	может быть выведена	1	1
175	равно как и	1	1
176	еще не есть	1	1
177	на то что	4	1
178	при более глубоком	1	1
179	мере того как	1	1
180	но она не	1	1
181	и тому же	1	1
182	не заметить что	1	1
183	в это время	1	1
184	внутренним и внешним	1	1
185	том или ином	1	1
186	ту или иную	1	1
187	по мере того	1	1
188	в себе и	1	1
189	что не только	1	1
190	может быть в	2	1
191	в последнем случае	1	1
192	и в них	1	1
193	бы утверждать что	1	1
194	не в состоянии	1	1
195	того и другого	2	1
196	это не только	1	1
197	мифа так и	1	1
198	в тех или	2	1
199	что не есть	3	1
200	хотя и не	1	1
201	ставит себя в	1	1
202	на самом деле	3	1
203	добра и зла	1	1
204	другой стороны в	1	1
205	именно так и	1	1
206	не что иное	4	1
207	он вступает в	1	1
208	то все же	1	1
209	такова же и	1	1
210	он сам в	1	1
211	это и не	2	1
212	можно было бы	4	1
213	только потому что	4	1
214	так и его	1	1
215	есть то что	1	1
216	во всех этих	1	1
217	одному и тому	1	1
218	кроме того и	1	1
219	не менее в	1	1
220	именно в том	1	1
221	а не по	1	1
222	с самых ранних	1	1
223	было бы утверждать	1	1
224	с ней и	1	1
225	том что он	1	1
226	не могут быть	1	1
227	не есть она	1	1
228	между тем в	1	1
229	не может избежать	1	1
230	это не просто	1	1
231	та или иная	4	1
232	что иное как	4	1
233	может не иметь	1	1
234	это и есть	3	1
235	и не дает	1	1
236	в виду что	2	1
237	ни в чем	2	1
238	в чистом виде	1	1
239	в другом случае	1	1
