N	4gram	Voloshinov	Vvedenie
1	в то же время	6	6
2	не что иное как	1	5
3	дело в том что	1	3
4	и тем не менее	2	3
5	но в то же	3	3
6	есть не что иное	1	3
7	как мы уже знаем	1	2
8	заключается в том что	2	2
9	во всяком случае не	1	2
10	одно и то же	1	2
11	тем не менее существует	1	2
12	одной и той же	3	2
13	ответ на этот вопрос	1	2
14	приходит к выводу что	1	1
15	в целом ряде других	1	1
16	и т д таким	1	1
17	это как будто бы	1	1
18	в собственном смысле этого	1	1
19	может быть и речи	3	1
20	но во всяком случае	3	1
21	вообще не может быть	1	1
22	в том что он	2	1
23	т д таким образом	1	1
24	науки в настоящее время	1	1
25	и со стороны содержания	1	1
26	бы то ни было	2	1
27	он поставил себе задачей	1	1
28	в зависимости от того	2	1
29	ответить на этот вопрос	1	1
30	то же время служит	1	1
31	в собственном смысле слова	1	1
32	собственном смысле этого слова	1	1
33	мы имеем в виду	1	1
34	не может быть и	4	1
35	говорить о том что	2	1
36	в том что в	1	1
37	он сам об этом	1	1
38	тем не менее среди	1	1
39	у них не было	1	1
