N	3gram	Nazirov_Tv	Sotsiolo
1	по отношению к	3	2
2	дело не в	1	2
3	в том что	8	2
4	в конце концов	1	2
5	это и есть	1	1
6	и в то	3	1
7	в то же	19	1
8	в конечном счете	4	1
9	все же это	1	1
10	с одной стороны	1	1
11	в связи с	2	1
12	то же самое	1	1
13	чуть ли не	1	1
14	то что в	1	1
15	по крайней мере	4	1
16	о том как	1	1
17	в этой области	1	1
18	то же время	18	1
19	только то что	1	1
20	в наше время	4	1
21	вот в чем	1	1
22	бы он ни	1	1
23	и только для	1	1
24	о литературе о	1	1
25	а с другой	1	1
26	это вовсе не	1	1
27	во всяком случае	2	1
28	и наконец в	1	1
29	и в этом	1	1
30	не может не	1	1
31	в настоящее время	1	1
32	что на ней	1	1
33	что все это	3	1
