N	4gram	Trubetskoy	Analitik
1	в то же время	2	14
2	состоит в том что	1	7
3	одного и того же	1	6
4	в том или ином	1	4
5	по крайней мере в	1	3
6	бы то ни было	2	3
7	с этой точки зрения	2	2
8	слове о полку игореве	1	2
9	один и тот же	1	2
10	в слове о полку	1	2
11	но в то же	1	2
12	лицом к лицу с	1	1
13	мы имеем в виду	1	1
14	во всяком случае не	3	1
15	человека для того чтобы	1	1
16	самое следует сказать и	1	1
17	мы уже говорили о	1	1
18	том виде в каком	1	1
19	а в том что	1	1
20	свидетельствует о том что	1	1
21	ни к чему не	1	1
22	и вместе с тем	3	1
23	следует сказать и о	1	1
24	можно сказать что в	1	1
25	в том числе и	4	1
26	широком смысле этого слова	1	1
27	с тех пор как	1	1
28	что мы знаем о	1	1
29	в широком смысле этого	1	1
30	то же время он	1	1
31	все что мы знаем	1	1
32	в том виде в	2	1
33	с одной стороны с	1	1
34	не в том что	1	1
