N	2gram	Medvedev_S	Morfolog
1	может быть	2	61
2	таким образом	2	26
3	не может	1	19
4	в этом	5	18
5	в этих	1	17
6	и в	3	17
7	и не	1	16
8	перед нами	1	14
9	прежде всего	1	14
10	по существу	2	13
11	связи с	1	12
12	что в	2	10
13	то же	2	10
14	в том	5	10
15	так и	1	10
16	в связи	1	10
17	то что	2	10
18	все же	1	9
19	с другой	1	9
20	но и	2	9
21	не только	3	8
22	в результате	2	8
23	мы не	1	8
24	но не	1	8
25	а в	1	8
26	один из	1	7
27	том что	2	7
28	по отношению	2	7
29	отношению к	2	7
30	о том	1	6
31	как бы	2	6
32	это не	1	6
33	и как	1	6
34	вовсе не	1	6
35	что он	1	5
36	хотя бы	1	5
37	было бы	2	5
38	ничего не	1	5
39	тому что	1	5
40	все эти	1	5
41	между собой	1	5
42	между тем	1	5
43	далеко не	2	5
44	и затем	1	5
45	главным образом	2	5
46	в целом	1	5
47	как и	1	4
48	тем что	1	4
49	еще не	2	4
50	его в	1	4
51	в то	1	4
52	что это	1	3
53	в сущности	1	3
54	только в	2	3
55	на первый	1	3
56	и что	2	3
57	или не	1	3
58	настоящее время	1	3
59	в настоящее	1	3
60	что эти	1	3
61	они не	1	3
62	благодаря этому	1	3
63	но как	1	3
64	это и	2	3
65	и есть	1	3
66	в виде	1	3
67	в таких	1	3
68	как же	3	3
69	даже не	1	3
70	для наших	1	3
71	мы должны	1	3
72	не в	3	3
73	в этой	1	3
74	можно будет	1	3
75	и его	1	3
76	и по	1	3
77	и только	3	3
78	должна быть	2	2
79	или нет	1	2
80	не меняет	1	2
81	вряд ли	1	2
82	только для	1	2
83	во всяком	1	2
84	в данном	1	2
85	и более	1	2
86	одной стороны	1	2
87	том как	1	2
88	тем же	1	2
89	на этот	1	2
90	что она	1	2
91	всяком случае	1	2
92	может не	1	2
93	с одной	1	2
94	нашей работы	1	2
95	для нас	3	2
96	все это	7	2
97	между собою	1	2
98	у него	1	2
99	не от	1	2
100	перейти к	1	2
101	в чем	1	2
102	бы в	1	2
103	а с	1	2
104	наука о	1	2
105	дело не	2	2
106	в частности	2	2
107	бы они	1	2
108	как то	1	2
109	как будто	2	2
110	право на	1	2
111	их на	1	2
112	нет а	1	1
113	же законы	1	1
114	даже в	1	1
115	этому соответствует	1	1
116	это значит	1	1
117	те же	1	1
118	но ведь	3	1
119	два типа	1	1
120	в них	1	1
121	положения в	1	1
122	где же	1	1
123	мы понимаем	1	1
124	именно и	1	1
125	обходится без	1	1
126	именно в	1	1
127	еще недостаточно	1	1
128	в своей	1	1
129	они ни	1	1
130	на следующий	1	1
131	еще и	1	1
132	в котором	1	1
133	мы переходим	1	1
134	легко но	1	1
135	какие же	1	1
136	только как	2	1
137	с помощью	1	1
138	именно на	1	1
139	вступает в	1	1
140	на основании	1	1
141	ни были	1	1
142	же время	1	1
143	влияет на	1	1
144	же самое	1	1
145	она может	2	1
146	для изучения	1	1
147	эти вопросы	1	1
148	в противном	1	1
149	мы еще	1	1
150	переходим к	1	1
151	дает нам	1	1
152	на шею	1	1
153	исторического изучения	1	1
154	этой области	1	1
155	в его	3	1
156	на что	1	1
157	два или	1	1
158	это дает	1	1
159	же не	1	1
160	что все	1	1
161	литературе и	1	1
162	между ними	1	1
163	в мире	1	1
164	противном случае	1	1
165	на все	1	1
166	и должны	1	1
167	пришлось бы	1	1
168	метод и	2	1
169	в каждом	1	1
170	более чем	3	1
171	эти обобщения	1	1
172	она должна	1	1
173	это по	1	1
174	но она	1	1
175	что данный	1	1
176	не дает	1	1
177	это наиболее	1	1
178	не место	1	1
179	когда мы	1	1
180	быть не	1	1
181	в систему	1	1
182	изучения и	1	1
183	бы он	1	1
184	в силу	1	1
185	этого и	1	1
186	в области	1	1
187	в него	1	1
188	и наконец	1	1
189	вопросом о	1	1
