N	2gram	Trubetskoy	Retstnzi
1	не может	22	4
2	и в	14	3
3	если в	6	2
4	один из	1	2
5	может и	1	1
6	несмотря на	3	1
7	может быть	9	1
8	не только	9	1
9	точки зрения	11	1
10	с точки	9	1
11	событий и	1	1
12	может не	3	1
13	для него	6	1
14	чужд и	1	1
15	в ней	2	1
16	тех же	1	1
17	права и	1	1
18	связи с	3	1
19	может спасти	1	1
20	бы на	1	1
21	с другими	1	1
22	ставить в	1	1
23	сил которые	1	1
24	если бы	6	1
25	в его	4	1
26	ничего кроме	1	1
27	не менее	1	1
28	именно с	1	1
29	деятельности в	1	1
30	но и	10	1
31	к тому	7	1
32	можно назвать	1	1
33	тому что	2	1
34	удовлетворить не	1	1
35	в то	10	1
36	из этих	3	1
37	ни один	1	1
38	же время	10	1
39	то же	11	1
40	по своим	1	1
41	а не	2	1
42	бы в	1	1
43	нет и	1	1
44	и должно	2	1
45	и не	19	1
46	и все	1	1
47	и на	5	1
48	себя от	3	1
49	это направление	1	1
