N	2gram	Voloshinov	RusskieA
1	и в	3	79
2	не только	1	41
3	но и	1	31
4	и на	1	28
5	может быть	1	28
6	один из	2	15
7	не менее	1	14
8	и не	1	14
9	не может	4	13
10	то же	1	9
11	и все	1	9
12	связи с	1	8
13	из этих	1	7
14	а не	1	7
15	к тому	1	6
16	тому что	1	6
17	на нее	1	6
18	в то	1	5
19	в особенности	1	5
20	в его	1	5
21	несмотря на	1	4
22	если в	2	4
23	в ней	1	4
24	точки зрения	1	3
25	именно с	1	3
26	если бы	1	3
27	можно назвать	1	3
28	с точки	1	3
29	нет и	1	3
30	с другими	1	3
31	исходя из	1	2
32	его от	1	2
33	мы видим	1	2
34	в каждом	1	2
35	так называемая	1	2
36	для него	1	2
37	истории русского	1	1
38	в центре	2	1
39	по своим	1	1
40	смысл и	1	1
41	он в	1	1
42	русской почве	1	1
43	на месте	1	1
44	на русской	1	1
45	обратное явление	1	1
46	вероятнее всего	1	1
47	тех же	1	1
48	себя от	1	1
49	сил которые	1	1
50	может не	1	1
51	бы на	1	1
52	условно можно	1	1
53	ни один	1	1
54	при сравнении	1	1
55	во второй	1	1
