N	2gram	Propp_Isto	KFilosof
1	может быть	37	45
2	в его	10	42
3	в нем	8	32
4	не может	19	29
5	и не	19	28
6	и в	40	28
7	по отношению	6	26
8	в котором	5	24
9	не есть	2	22
10	отношению к	6	22
11	в себе	6	21
12	только в	16	18
13	и его	5	18
14	в своем	5	17
15	в ее	2	17
16	а не	18	17
17	в этом	13	15
18	для него	2	13
19	не в	11	13
20	к нему	3	12
21	ни в	2	12
22	но не	7	12
23	и это	2	12
24	в своей	2	11
25	все эти	6	11
26	во всех	3	11
27	все это	6	10
28	это не	8	10
29	и есть	5	10
30	от себя	1	10
31	и для	5	10
32	в целом	3	10
33	в их	6	9
34	и все	1	9
35	но и	21	9
36	как бы	6	9
37	не было	3	8
38	если бы	8	8
39	быть только	1	8
40	со стороны	3	8
41	было бы	11	8
42	в себя	2	8
43	себя в	2	8
44	во всем	3	7
45	и здесь	15	7
46	со мной	2	7
47	этот момент	3	7
48	что и	9	7
49	должен быть	3	7
50	вовсе не	3	7
51	уже не	3	7
52	совершенно не	1	7
53	то что	17	7
54	конечно не	2	7
55	на основе	6	7
56	момент в	1	7
57	и только	4	7
58	отнюдь не	2	7
59	ее и	1	6
60	должно быть	2	6
61	не значит	1	6
62	но все	9	6
63	но эта	1	6
64	я не	5	6
65	и я	1	6
66	ко мне	4	6
67	в том	12	6
68	и их	4	6
69	он не	10	6
70	но это	8	6
71	от его	2	5
72	то же	21	5
73	мы имеем	25	5
74	не только	28	5
75	с ним	3	5
76	но как	2	5
77	его в	15	5
78	не знает	7	5
79	в основе	4	5
80	но в	13	5
81	именно в	5	5
82	бы быть	4	5
83	но ведь	1	5
84	как и	5	5
85	все же	17	5
86	себя и	2	5
87	еще не	14	5
88	хотя бы	5	5
89	в одном	8	5
90	ни одно	1	5
91	а в	15	5
92	его как	2	5
93	там где	5	5
94	никогда не	25	5
95	что в	19	4
96	нему в	1	4
97	должна быть	5	4
98	при этом	6	4
99	ни было	2	4
100	что это	12	4
101	о нем	5	4
102	не как	3	4
103	для нас	17	4
104	прежде всего	15	4
105	как его	1	4
106	мне в	1	4
107	нет в	2	4
108	с ними	2	4
109	мира и	1	4
110	том что	11	4
111	в каком	2	4
112	могло бы	1	4
113	но можно	2	4
114	и жизни	1	4
115	входит в	1	4
116	только как	1	4
117	нисколько не	3	4
118	во всей	2	4
119	могла бы	3	4
120	не по	2	4
121	между тем	2	4
122	здесь мы	9	4
123	времени и	1	4
124	тем самым	2	4
125	и пространство	1	4
126	к ним	4	4
127	от него	1	3
128	и может	1	3
129	та же	1	3
130	и на	6	3
131	здесь нет	2	3
132	и пр	11	3
133	мы не	12	3
134	был бы	4	3
135	ним и	1	3
136	тогда когда	2	3
137	всем его	1	3
138	и этот	1	3
139	если ты	2	3
140	того что	6	3
141	где он	1	3
142	и этим	3	3
143	на самом	3	3
144	ясно что	2	3
145	а все	1	3
146	в виду	2	3
147	и тот	3	3
148	самом деле	2	3
149	в некотором	2	3
150	тем что	7	3
151	меня в	1	3
152	стороны в	1	3
153	что этот	5	3
154	не дает	2	3
155	не менее	7	3
156	для этой	1	3
157	по своему	1	3
158	бы не	1	3
159	здесь не	5	3
160	один и	2	3
161	войти в	2	3
162	это и	1	3
163	того или	1	3
164	ясно и	2	3
165	что не	2	3
166	но здесь	1	3
167	не должен	8	3
168	лежат в	1	3
169	в другом	6	3
170	для того	1	3
171	в ней	10	3
172	быть и	1	3
173	вступает в	2	3
174	и та	1	3
175	к чему	4	3
