N	3gram	Tiupa_Vved	VrazhdaK
1	и все же	6	5
2	то же время	4	4
3	в то же	5	4
4	как и у	2	3
5	в связи с	1	3
6	в том что	10	2
7	не может быть	6	2
8	но в то	1	2
9	как раз в	1	2
10	в году в	1	2
11	это то что	1	1
12	что к этому	1	1
13	о себе знать	1	1
14	не было бы	1	1
15	войне и мире	2	1
16	но при этом	3	1
17	но в этот	1	1
18	в котором он	1	1
19	в ответ на	1	1
20	а также в	1	1
21	в свою очередь	5	1
22	лет тому назад	1	1
23	в войне и	2	1
24	одно и то	1	1
25	речь идет о	3	1
26	уже говорилось выше	1	1
27	ко мне и	1	1
28	о том как	1	1
29	в той же	1	1
30	так же как	1	1
31	но это не	1	1
32	и во многом	1	1
33	на то что	2	1
34	и в то	1	1
35	в соответствии с	8	1
36	не только от	1	1
37	следует рассматривать в	1	1
38	по крайней мере	1	1
39	что они не	1	1
40	в этом смысле	1	1
41	а с другой	3	1
42	следует искать в	1	1
43	хотя в нем	1	1
44	о том что	6	1
45	но и от	1	1
46	при этом он	1	1
47	в высшей степени	2	1
48	что как раз	1	1
49	но в этом	1	1
50	на этот раз	2	1
51	в е годы	1	1
52	в том же	1	1
53	и у чехова	1	1
54	во всяком случае	3	1
55	тем не менее	3	1
56	как он сам	1	1
57	и в самом	1	1
58	как бы в	2	1
59	едва ли не	2	1
60	с другой стороны	2	1
61	в известном смысле	1	1
62	в начале х	1	1
63	это и есть	1	1
64	но в целом	1	1
65	на первый взгляд	3	1
66	и то же	1	1
67	более важного чем	1	1
68	бы в ответ	1	1
69	в этом отношении	7	1
70	все же не	1	1
71	и не может	1	1
72	и в этом	1	1
