N	2gram	Tiupa_Narr	Literetu
1	а не	12	50
2	и не	20	47
3	не только	32	46
4	и в	19	44
5	может быть	25	43
6	при этом	9	41
7	но и	23	41
8	тогда как	12	40
9	в том	18	39
10	в этом	17	38
11	своего рода	12	37
12	том что	14	32
13	такого рода	7	30
14	в частности	14	30
15	то что	11	29
16	в мире	9	28
17	в качестве	21	27
18	то же	4	26
19	в году	1	26
20	состоит в	13	26
21	как и	7	23
22	в то	3	23
23	себя в	5	22
24	не в	14	22
25	того что	2	22
26	так и	9	22
27	не может	10	22
28	х годов	1	21
29	же время	4	21
30	и т.п	8	20
31	в себе	8	20
32	прежде всего	4	19
33	как бы	4	18
34	с другой	8	17
35	точки зрения	10	17
36	то есть	19	17
37	в его	9	17
38	сознания в	1	16
39	в этой	5	16
40	не менее	3	15
41	в русской	1	15
42	только в	4	15
43	со стороны	9	15
44	тем самым	6	15
45	в целом	1	15
46	и даже	3	14
47	по отношению	7	14
48	однако в	2	14
49	что он	6	14
50	в рамках	12	14
51	коммуникативного события	12	14
52	уже не	5	13
53	в своем	2	13
54	с одной	7	13
55	как это	6	13
56	в хх	1	13
57	в тексте	16	13
58	но не	6	13
59	и его	5	13
60	о том	6	12
61	в данном	5	12
62	одной стороны	7	12
63	к себе	5	12
64	одним из	2	12
65	всего лишь	2	12
66	хх веке	1	12
67	еще не	7	12
68	отношению к	6	12
69	а также	7	12
70	не столько	4	11
71	в другом	1	11
72	никогда не	3	11
73	в конечном	3	11
74	коммуникативное событие	3	11
75	и сам	1	11
76	столь же	3	11
77	как в	7	11
78	в основе	5	11
79	в отличие	5	11
80	с его	6	11
81	данном случае	4	11
82	это не	2	11
83	коммуникативная стратегия	1	11
84	отличие от	5	11
85	или иначе	3	11
86	а в	11	11
87	даже в	2	10
88	в принципе	4	10
89	по мысли	3	10
90	конечном счете	2	10
91	в противовес	4	10
92	из них	3	10
93	своего другого	1	10
94	в ее	3	10
95	не случайно	2	10
96	что в	3	10
97	и на	3	10
98	для себя	1	10
99	так или	2	10
100	жизни в	3	10
