N	3gram	Propp_Isto	Tragedij
1	так и в	3	3
2	в том что	7	2
3	между этими двумя	1	2
4	точно так же	2	2
5	в данном случае	7	2
6	о том что	9	2
7	но все же	3	2
8	в этом мы	1	1
9	у него есть	2	1
10	том что он	1	1
11	своего отца он	1	1
12	что он не	1	1
13	о личных качествах	1	1
14	все эти черты	1	1
15	в обоих случаях	1	1
16	смысле этого слова	1	1
17	это может быть	1	1
18	своего отца и	1	1
19	она все же	1	1
20	он впадает в	1	1
21	за что не	1	1
22	за того кто	1	1
23	связь и с	1	1
24	мысль о том	1	1
25	с тем и	1	1
26	и вместе с	3	1
27	то что он	1	1
28	не может быть	5	1
29	в этом мире	1	1
30	один из авторов	1	1
31	и т п	1	1
32	в точности соответствует	1	1
33	в этом случае	4	1
34	что это значит?	1	1
35	такой силой что	1	1
36	с того что	3	1
37	на ту сторону	1	1
38	и то что	1	1
39	но и на	2	1
40	у него нет	1	1
41	может быть понят	2	1
42	во всех видах	1	1
43	не исключено что	1	1
44	обстоит дело с	1	1
45	как и в	3	1
46	в связи с	1	1
47	в самом деле	1	1
48	во всяком случае	3	1
49	и знает что	1	1
50	к тому что	1	1
51	тем не менее	4	1
52	все в этом	1	1
53	вместе с ними	1	1
54	согласие на брак	1	1
55	и должна быть	1	1
56	в этой связи	1	1
57	с такой силой	1	1
58	на вопрос о	1	1
59	ее к себе	1	1
60	со своими товарищами	1	1
61	после того как	4	1
62	все же не	1	1
63	еще ничего не	1	1
64	и не может	1	1
65	затем он показывает	1	1
66	ни за что	1	1
