N	4gram	Vygotskiy_	Istorich
1	в то время как	4	13
2	в тех случаях когда	1	10
3	так же как и	4	9
4	но вместе с тем	4	8
5	по мере того как	1	8
6	совершенно так же как	1	8
7	но тем не менее	1	6
8	с этой точки зрения	1	6
9	точно так же как	1	6
10	мы должны были бы	1	4
11	состоит в том что	3	4
12	то же самое что	1	4
13	как мы видели выше	1	3
14	один и тот же	1	3
15	и целый ряд других	1	3
16	если это так то	1	3
17	с одной стороны и	3	3
18	мы видели что в	1	3
19	основана на том что	1	3
20	бы то ни было	1	3
21	о том что в	1	3
22	не только то что	1	2
23	в том что он	1	2
24	с другой стороны в	1	2
25	указывают на то что	1	2
26	одной и той же	2	2
27	между небом и землей	1	2
28	все больше и больше	1	2
29	одно и то же	2	2
30	дело не в количестве	1	2
31	ответ на этот вопрос	3	2
32	на самом же деле	1	2
33	в силу того что	1	2
34	превращается в свою противоположность	1	2
35	что мы знаем об	2	2
36	что в данном случае	1	2
37	дело в том что	2	2
38	указывает на то что	3	2
39	видим таким образом что	3	2
40	в том числе и	3	2
41	мы видим таким образом	4	2
42	так же как он	1	2
43	мы уже видели что	2	2
44	само по себе не	1	1
45	отличаются друг от друга	1	1
46	вместе с тем есть	1	1
47	не потому что он	2	1
48	сводится к тому чтобы	1	1
49	что можно было бы	1	1
50	в целом и его	1	1
51	правильнее будет сказать что	1	1
52	мы видим не только	1	1
53	на вопрос о том	2	1
54	именно на вопросе о	1	1
55	в том что в	1	1
56	необходимо иметь в виду	1	1
57	по вопросу о том	1	1
58	той ситуации в которой	1	1
59	смысле этого слова а	1	1
60	как мы уже знаем	1	1
61	заключается в том что	6	1
62	в свою противоположность и	1	1
63	в связи с ее	1	1
64	несмотря на то что	1	1
65	мы уже говорили выше	1	1
66	речи и т д	1	1
67	то новое что вносит	1	1
68	в непосредственной связи с	1	1
69	лежит не там где	1	1
70	об этом мы скажем	1	1
71	не содержат в себе	1	1
72	совершенно то же что	1	1
73	как и вся книга	1	1
74	лет с другой стороны	1	1
75	он делает это не	1	1
76	с другой стороны как	1	1
77	он не может быть	1	1
78	частный случай более общего	1	1
79	то он делает это	1	1
80	вместе с тем и	1	1
81	легко заметить что в	1	1
82	мы знаем об этом	1	1
83	указанием на то что	1	1
84	связаны друг с другом	1	1
85	здесь мы не можем	1	1
86	в зависимости от того	1	1
87	таким образом оказывается что	1	1
88	на том что в	1	1
89	только для того чтобы	2	1
90	приводит к тому что	1	1
91	в то же время	1	1
92	и с другой стороны	1	1
