N	3gram	Voloshinov	Vladivir
1	в том что	9	29
2	о том что	3	22
3	тем не менее	4	18
4	что же касается	3	14
5	в то время	1	13
6	дело в том	1	13
7	во всяком случае	8	12
8	в конце концов	2	11
9	не может быть	14	10
10	в то же	6	10
11	с точки зрения	15	10
12	то что он	1	9
13	в этом смысле	2	9
14	как раз и	2	9
15	то же время	6	9
16	а также и	2	8
17	на первый план	4	7
18	в свое время	1	7
19	в данном случае	4	6
20	том что в	1	6
21	в отличие от	2	6
22	как мы знаем	1	6
23	в настоящее время	1	6
24	в истории философии	1	6
25	никакого отношения к	1	6
26	как мы видели	8	6
27	том что он	2	6
28	он никогда не	1	5
29	ничего не говорит	1	5
30	ни в каких	1	5
31	но даже и	1	5
32	и в то	1	5
33	бы то ни	3	5
34	он не только	2	5
35	что и в	2	5
36	можно сказать что	5	4
37	как мы уже	5	4
38	в том же	1	4
39	для того чтобы	3	4
40	в этом отношении	4	4
41	сам по себе	4	4
42	это учение о	1	4
43	к этому времени	2	4
44	и т д	1	4
45	по крайней мере	1	4
46	заключается в том	2	4
47	в себе и	1	4
48	и ни в	2	4
49	не что иное	1	4
50	вовсе не есть	1	4
51	можно было бы	1	4
52	что иное как	1	4
53	с одной стороны	2	4
54	что он не	1	3
55	ни в каком	2	3
56	хотя бы и	2	3
57	в самом деле	10	3
58	в котором он	1	3
59	во что бы	1	3
60	мы знаем что	6	3
61	ничего общего с	1	3
62	иметь в виду	1	3
63	и в отношении	1	3
64	было для него	1	3
65	а с другой	2	3
66	и как мы	1	3
67	не только не	1	3
68	всей его жизни	1	3
69	это вовсе не	4	3
70	к тому что	2	3
71	самом же деле	2	3
72	только то что	3	3
73	на самом же	2	3
74	раз и навсегда	1	3
75	во второй половине	1	3
76	в свою очередь	4	3
77	и до конца	4	3
78	и в дальнейшем	1	3
79	хотя и не	1	3
80	что бы то	1	3
81	и притом в	3	3
82	с самого начала	5	3
83	мы уже сказали	1	3
84	то ни стало	1	3
85	нам кажется что	1	3
86	начала и до	1	3
87	шопенгауэра и гартмана	2	2
88	так же как	1	2
89	и тот же	3	2
90	от того чтобы	1	2
91	и с его	1	2
92	но вместе с	2	2
93	человек не может	1	2
94	то что это	1	2
95	в вопросе о	1	2
96	и в таком	1	2
97	в этот период	3	2
98	критическом отношении к	1	2
99	в таком случае	4	2
100	так и в	3	2
101	до сих пор	3	2
102	есть не что	1	2
103	с ним в	1	2
104	бросается в глаза	1	2
105	и прежде всего	7	2
106	к которой он	1	2
107	из них не	1	2
108	не без влияния	1	2
109	так как это	1	2
110	мы уже знаем	3	2
111	то ни было	2	2
112	в своем месте	1	2
113	но как раз	1	2
114	или по крайней	1	2
115	но что же	1	2
116	он не был	1	2
117	не то что	1	2
118	даже и не	1	2
119	так как в	1	2
120	и совсем не	1	2
121	что можно сказать	1	2
122	сих пор не	1	2
123	к нему и	1	2
124	и тем не	2	2
125	ни в чем	4	2
126	один и тот	3	2
127	и без того	1	2
128	в тех же	1	2
129	а следовательно и	2	2
130	ответ на это	1	2
131	только в таком	1	2
132	но и его	1	2
133	но в общем	3	2
134	но в то	3	2
135	одно и то	1	2
136	и то же	1	2
137	с первого же	1	2
138	так и его	1	2
139	в этом случае	1	2
140	есть прежде всего	1	2
141	при таких условиях	1	2
142	то обстоятельство что	2	2
143	и все же	1	2
144	для него только	2	2
145	по этому вопросу	1	2
146	как это делает	1	2
147	то что мы	2	2
148	мы не будем	1	2
149	это и есть	2	2
150	до конца и	1	2
151	сводится к тому	1	2
152	может быть и	6	2
153	в первых двух	1	1
154	начала до конца	1	1
155	никогда и нигде	1	1
156	все больше и	1	1
157	благодаря тому что	2	1
158	оно было для	1	1
159	если мы будем	1	1
160	но и не	1	1
161	не является продуктом	1	1
162	все то что	3	1
163	что это вовсе	1	1
164	как будто бы	1	1
165	о которой мы	1	1
166	можно найти у	1	1
167	он еще не	1	1
168	и в данном	1	1
169	ибо не было	1	1
170	что же это	1	1
171	но и по	1	1
172	и даже не	1	1
173	каком случае не	1	1
174	что в его	2	1
175	прежде всего от	1	1
176	мы видели чисто	1	1
177	но вовсе не	3	1
178	человеческой души в	1	1
179	отнюдь не является	3	1
180	до известной степени	1	1
181	и уже в	1	1
182	и наконец в	1	1
183	больше и больше	1	1
184	в глаза при	1	1
185	и представления но	1	1
186	же это за	1	1
187	к выводу что	1	1
188	что требует от	1	1
189	ни о какой	2	1
190	в нем мы	1	1
191	утверждает что если	1	1
192	в себя и	1	1
193	то что является	1	1
194	его совершенно не	2	1
195	все той же	1	1
196	и необходимость его	1	1
197	не выходит за	1	1
198	автор утверждает что	1	1
199	и нигде не	1	1
200	очень важный момент	1	1
201	в жизни и	1	1
202	что является для	1	1
203	сказать и о	2	1
204	чем он сам	2	1
205	а может быть	1	1
206	для этого нужно	2	1
207	мог бы сделать	1	1
208	и не делает	1	1
209	а именно что	1	1
210	за ними и	1	1
211	они не могут	1	1
212	бы для него	1	1
213	далеко не всегда	3	1
214	только с точки	1	1
215	самом деле если	1	1
216	на всю жизнь	2	1
217	далек от того	1	1
218	об этом у	1	1
219	том что она	2	1
220	его отношение к	2	1
221	что он был	1	1
222	случае не может	1	1
223	и потому его	1	1
224	каждое из этих	1	1
225	возможно только в	1	1
226	конечно не в	1	1
227	чем определяется его	1	1
228	ничего не было	1	1
229	именно в этой	1	1
230	в каком случае	2	1
231	в одной плоскости	1	1
232	же мы должны	1	1
233	приходит к выводу	1	1
234	нигде и никогда	1	1
235	что он сам	2	1
236	те же самые	1	1
237	в такой же	1	1
238	люди а не	1	1
239	но именно в	1	1
240	той или иной	1	1
241	такой точки зрения	1	1
242	сказать что на	1	1
243	все эти сведения	1	1
244	а потому и	3	1
245	и природной действительности	1	1
246	на всех этапах	1	1
247	раз и не	2	1
248	в чем не	4	1
249	без всякого участия	1	1
250	и никогда не	1	1
251	совсем не то	1	1
252	какие были в	1	1
253	самом деле ведь	1	1
254	где оно может	1	1
255	и об отношении	1	1
256	чем иным как	2	1
257	уже знаем что	1	1
258	как раз наиболее	1	1
259	не менее он	1	1
260	поэтому в своей	1	1
261	себя и не	1	1
262	нужно сказать что	1	1
263	в целом и	1	1
264	мыслей и пр	1	1
265	в переводе на	1	1
266	то же самое	2	1
267	является как бы	1	1
268	понятно и не	1	1
269	в высшей степени	6	1
270	но все же	1	1
271	могут и должны	1	1
272	да и не	1	1
273	и должны быть	1	1
274	и потому не	1	1
275	в последний период	1	1
276	во многих отношениях	1	1
277	того что он	1	1
278	для него все	1	1
279	потому не может	1	1
280	можно сказать о	1	1
281	собственном смысле слова	1	1
282	что он делает	1	1
283	вместе с ним	1	1
284	из крупнейших представителей	1	1
285	равно как и	2	1
286	а в начале	1	1
287	который как мы	1	1
288	прежде всего на	1	1
289	и только в	1	1
290	но и в	1	1
291	вместо этого он	1	1
292	в течение первого	2	1
293	протяжении всей его	1	1
294	так и с	1	1
295	выходят за пределы	1	1
296	выйти за пределы	3	1
297	и едва ли	1	1
298	ни в какой	2	1
299	но когда мы	1	1
300	знаем что все	1	1
301	является для него	1	1
302	на примере анализа	1	1
303	и вовсе не	1	1
304	жизни так и	1	1
305	и у животных	1	1
306	не есть только	1	1
307	том что это	1	1
308	что как раз	1	1
309	уже в течение	1	1
310	психологии а также	1	1
311	однако и здесь	1	1
312	он конечно не	1	1
313	на протяжении всей	6	1
314	в этой борьбе	1	1
315	и не было	1	1
316	в таких случаях	2	1
317	все что может	2	1
318	в основе своей	1	1
319	того что мы	1	1
320	и той же	3	1
321	не приходится и	1	1
322	говорить о том	2	1
323	с ним что	1	1
324	он их не	1	1
325	во всех своих	3	1
326	для своего объяснения	1	1
327	в этой работе	1	1
328	на этот вопрос	3	1
329	в нашем сознании	1	1
330	конце концов и	1	1
331	все же не	1	1
332	уже не может	1	1
333	в некоторых отношениях	1	1
334	не было бы	1	1
335	не чем иным	2	1
336	или другими словами	1	1
337	но и все	1	1
338	на этом месте	1	1
339	а есть только	1	1
340	смысле этого слова	1	1
341	потому и не	1	1
342	едва ли может	1	1
343	одной и той	3	1
344	уже и в	1	1
345	только потому что	1	1
346	большую роль в	1	1
347	но тем не	1	1
348	в обществе а	1	1
349	к той же	1	1
350	но во всяком	3	1
351	с этим не	1	1
352	и все его	2	1
353	уже во втором	1	1
354	в собственном смысле	3	1
355	том что с	1	1
356	через три дня	1	1
357	том что даже	1	1
358	выходит за пределы	2	1
359	и превратить в	1	1
360	в этой теории	1	1
361	она знает только	1	1
362	в таком виде	2	1
363	невольно возникает вопрос	1	1
364	а вовсе не	3	1
365	другими словами это	1	1
366	и она не	1	1
367	и в нем	1	1
368	только с помощью	1	1
369	и не может	3	1
370	как уже сказано	1	1
371	оно может быть	1	1
372	нет и не	3	1
373	что он и	1	1
374	из этой области	1	1
375	мы не можем	3	1
376	тому что все	1	1
377	ни о каком	2	1
378	несколько слов о	1	1
379	это было бы	1	1
380	на этом мы	3	1
