N	2gram	Medvedev_F	FransuaR
1	и в	54	367
2	в этом	39	112
3	и не	34	101
4	таким образом	28	100
5	и его	27	99
6	в его	30	98
7	прежде всего	34	92
8	не только	14	87
9	мы уже	1	85
10	но и	18	84
11	как бы	10	82
12	все эти	12	79
13	вовсе не	18	77
14	как и	18	76
15	в нем	25	75
16	но в	9	75
17	в эпоху	2	75
18	и на	10	72
19	и др	8	72
20	в том	17	71
21	как мы	10	71
22	то же	16	66
23	и все	9	66
24	в них	4	65
25	в этой	10	65
26	так и	24	65
27	и с	17	64
28	в сущности	3	64
29	в то	14	63
30	во всех	9	62
31	все это	11	62
32	же время	13	55
33	что в	10	52
34	в своем	12	51
35	только в	6	48
36	так как	4	46
37	и до	8	46
38	том что	3	45
39	в году	2	44
40	то что	14	41
41	здесь в	2	41
42	у него	1	40
43	жизни и	10	40
44	в самом	17	38
45	точки зрения	21	37
46	в ней	15	37
47	с его	12	36
48	о том	1	35
49	он был	1	35
50	может быть	30	35
51	мы видим	1	35
52	сказать что	3	34
53	и даже	7	34
54	в себе	4	34
55	рядом с	1	32
56	мы видели	5	32
57	в конце	2	32
58	он не	8	32
59	для него	9	32
60	до конца	9	31
61	в литературе	6	31
62	в своей	16	31
63	так же	5	30
64	но он	2	30
65	один из	4	30
66	потому что	2	30
67	той же	2	30
68	и потому	9	30
69	никогда не	6	30
70	в духе	1	29
71	в одном	2	29
72	еще не	6	29
73	связи с	12	29
74	в этих	3	29
75	что он	8	29
76	не может	26	29
77	в особенности	7	29
78	при этом	14	29
79	его в	5	29
80	не в	16	29
81	и к	7	28
82	из них	5	28
83	всех этих	6	28
84	также и	1	28
85	в той	3	28
86	в основе	7	28
87	и другие	3	27
88	сих пор	7	27
89	до сих	7	27
90	том числе	1	27
91	все же	8	27
92	по своему	1	27
93	роль в	2	27
94	и их	13	27
95	кроме того	3	26
96	в условиях	1	26
97	все они	1	26
98	на самом	8	25
99	в области	6	25
100	с помощью	13	25
101	но это	4	25
102	мира и	1	25
103	этот образ	2	24
104	он и	3	24
105	но не	5	24
106	например в	1	24
107	в ее	10	24
108	и от	9	24
109	как в	12	24
110	того чтобы	4	24
111	в частности	4	24
112	в большинстве	6	24
113	отношение к	4	24
114	большинстве случаев	5	23
115	так сказать	6	23
116	своего рода	1	23
117	и здесь	8	23
118	с ним	3	23
119	и для	5	23
120	в их	16	23
121	есть и	1	23
122	к нему	3	23
123	это не	4	23
124	даже в	2	22
125	не было	7	22
126	а в	11	22
127	тем что	6	22
128	что и	10	22
129	и других	4	22
130	там где	3	22
131	вместе с	8	22
132	и во	2	22
133	форм и	7	22
134	связь с	1	22
135	и о	3	22
136	в своих	3	21
137	именно в	12	21
138	культуры и	3	21
139	в отношении	3	21
140	уже в	1	21
141	и как	6	21
142	в качестве	2	21
143	одним из	1	21
144	что это	1	21
145	ни в	3	21
146	и наконец	7	21
147	в виду	2	20
148	в связи	11	20
149	и это	4	20
150	в значительной	3	20
151	одной из	2	20
152	этом отношении	7	20
153	с точки	17	20
154	как раз	8	20
155	в образе	1	20
156	они были	4	20
157	а также	1	20
158	самом деле	12	20
159	во всем	3	19
160	их в	2	19
161	к этому	3	19
162	в эту	3	19
163	того же	1	19
164	за пределы	2	19
165	было бы	10	19
166	с ее	7	19
167	в дальнейшем	3	19
168	с другой	8	19
169	хотя и	3	19
170	в форме	2	19
171	далеко не	2	19
172	со всеми	3	18
173	конечно и	1	18
174	это и	7	18
175	здесь не	5	18
176	одна из	2	18
177	но они	1	18
178	превращается в	2	18
179	на этом	2	18
180	перед нами	3	18
181	связан с	1	18
182	это в	1	18
183	в большей	1	17
184	большей или	1	17
185	для того	3	17
186	конечно не	5	17
187	в результате	8	17
188	можно было	1	17
189	связанных с	2	17
190	на его	2	17
191	числе и	1	17
192	такой же	2	17
193	еще более	6	17
194	но все	4	17
195	меньшей степени	1	17
196	и вот	2	17
197	того что	7	17
198	а не	11	17
199	в другом	2	16
200	влияние на	3	16
201	с одной	5	16
202	между ними	3	16
203	между тем	4	16
204	нужно сказать	1	16
205	начала и	2	16
