N	4gram	Bakhtin_fo	Formalny
1	в то же время	10	20
2	и пр и пр	1	7
3	и в то же	6	6
4	с одной стороны и	2	5
5	в связи с этим	4	5
6	все более и более	2	4
7	и т п в	1	4
8	не может быть и	2	4
9	бы она ни была	2	4
10	какова бы она ни	2	3
11	и пр все это	1	3
12	вместе с тем и	1	3
13	в том числе и	4	3
14	но в то же	2	3
15	может быть и речи	2	3
16	с этой точки зрения	1	2
17	и до сих пор	1	2
18	пр и пр все	1	2
19	не выходит за пределы	1	2
20	одних и тех же	2	2
21	мы имеем в виду	2	2
22	и в этом отношении	1	2
23	имеет место и в	1	1
24	в данных исторических условиях	1	1
25	богов и т п	1	1
26	связи со всем этим	1	1
27	с нашей точки зрения	3	1
28	и прежде всего в	1	1
29	в связи со всем	1	1
30	не может быть конечно	2	1
31	в широком смысле слова	1	1
32	не для того чтобы	3	1
33	одно и то же	4	1
34	от отца к сыну	1	1
35	вовсе не являются только	1	1
36	в отличие от всех	1	1
37	в свою очередь ни	1	1
38	в жизни и в	1	1
39	дело в том что	2	1
40	не значит конечно что	1	1
41	между ними не может	1	1
42	и т п все	1	1
43	мы еще вернемся в	3	1
44	более того если мы	1	1
45	что на самом деле	1	1
46	не подлежит конечно сомнению	1	1
47	мы не касаемся здесь	2	1
48	ни в чем не	3	1
49	с другой стороны в	1	1
50	мы уже говорили что	1	1
51	остановимся прежде всего на	1	1
52	может быть сколько угодно	1	1
53	что дело здесь идет	1	1
54	но и помимо этого	1	1
55	в том что они	1	1
56	по самому своему существу	2	1
57	та же что и	1	1
58	это не значит конечно	1	1
59	и в других областях	1	1
60	или во всяком случае	1	1
61	и т п на	1	1
62	здесь необходимо остановиться на	1	1
63	одного и того же	6	1
64	и т п такая	1	1
65	тем более не может	1	1
66	в своем дальнейшем развитии	1	1
67	но вместе с тем	1	1
68	не могло не оказать	1	1
69	по отношению к быту	2	1
70	говорит о том что	1	1
71	в процессе разрешения этой	1	1
72	но все же в	1	1
73	как и во всех	1	1
74	и в том же	1	1
