N	3gram	Bakhtin_sl	VelikijI
1	в первый раз	1	3
2	к тому что	2	3
3	и т д	7	2
4	в том что	4	2
5	бы и не	1	2
6	а между тем	2	2
7	но и в	2	2
8	том что он	1	2
9	так и в	5	1
10	находится в состоянии	1	1
11	и освобождения от	1	1
12	к людям и	1	1
13	но прежде всего	1	1
14	и во всяком	1	1
15	мы видим что	1	1
16	ивана карамазова и	1	1
17	как и в	2	1
18	но в нем	1	1
19	по крайней мере	1	1
20	не могут быть	3	1
21	хотя бы и	5	1
22	во всех формах	1	1
23	один из образов	1	1
24	и не было	1	1
25	но все же	1	1
26	с другой стороны	5	1
27	в известном смысле	2	1
28	и все это	1	1
29	в них и	1	1
30	бы то ни	1	1
31	и в этом	2	1
