N	4gram	Vygotskiy_	Mirosoze
1	и вместе с тем	2	5
2	в то время как	5	4
3	не что иное как	2	4
4	одна и та же	1	3
5	одной и той же	5	3
6	в том что он	1	3
7	так же как и	6	3
8	есть не что иное	1	3
9	она не может быть	1	2
10	на том основании что	1	2
11	все более и более	1	2
12	одну и ту же	1	2
13	в резком противоречии с	2	1
14	в том смысле что	2	1
15	это значит что они	1	1
16	еще в высшей степени	1	1
17	одни и те же	3	1
18	это означает что в	1	1
19	в том случае если	2	1
20	на одной и той	1	1
21	и все же и	1	1
22	и во многих других	1	1
23	на две неравные части	1	1
24	указывает на то что	1	1
25	сомневаться в том что	1	1
26	оно не может быть	1	1
27	в том что это	1	1
28	то время как другие	1	1
29	том что он не	1	1
30	указывают на то что	1	1
31	имеет совершенно другой смысл	1	1
32	в зависимости от этого	2	1
33	с одной стороны он	1	1
