N	2gram	Losev_Dial	Literetu
1	а не	39	50
2	и не	50	47
3	не только	35	46
4	и в	34	44
5	может быть	30	43
6	при этом	7	41
7	но и	14	41
8	тогда как	1	40
9	в том	17	39
10	в этом	14	38
11	том что	18	32
12	в частности	3	30
13	то что	25	29
14	в мире	2	28
15	в качестве	1	27
16	то же	9	26
17	как и	14	23
18	в то	9	23
19	себя в	3	22
20	не в	11	22
21	того что	22	22
22	так и	11	22
23	не может	29	22
24	я и	2	21
25	же время	5	21
26	в себе	8	20
27	прежде всего	20	19
28	как бы	19	18
29	с другой	5	17
30	точки зрения	43	17
31	то есть	1	17
32	в его	6	17
33	в жизни	4	16
34	сознания в	2	16
35	в этой	3	16
36	не менее	11	15
37	я не	11	15
38	только в	10	15
39	со стороны	5	15
40	тем самым	3	15
41	и даже	21	14
42	однако в	1	14
43	что он	18	14
44	уже не	9	13
45	в своем	7	13
46	с одной	4	13
47	как это	8	13
48	но не	3	13
49	и его	8	13
50	в своей	4	12
51	о том	11	12
52	в данном	6	12
53	одной стороны	3	12
54	к себе	1	12
55	еще не	7	12
56	никогда не	9	11
57	в конечном	1	11
58	и сам	1	11
59	вместе с	3	11
60	как в	2	11
61	в основе	6	11
62	в отличие	1	11
63	с его	7	11
64	данном случае	3	11
65	это не	13	11
66	отличие от	2	11
67	или иначе	2	11
68	а в	3	11
69	даже в	1	10
70	конечном счете	1	10
71	из них	4	10
72	в ее	5	10
73	что в	12	10
74	и на	6	10
75	для себя	2	10
76	так или	2	10
77	жизни в	1	10
78	потому что	21	10
79	этом отношении	2	10
80	жизни и	8	10
81	отнюдь не	16	10
82	с этой	7	9
83	мыслится как	1	9
84	к тому	4	9
85	искусства и	1	9
86	связи с	3	9
87	что я	3	9
88	одно из	8	9
89	же в	2	9
90	говоря уже	6	8
91	быть может	3	8
92	в своих	3	8
93	тем что	5	8
94	все же	4	8
95	исходит из	2	8
96	одна из	4	8
97	едва ли	2	8
98	ли не	1	8
99	с точки	25	8
100	как раз	11	8
101	на себя	3	8
102	что не	8	8
103	в конце	2	8
