N	3gram	Vygotskiy_	Otkroven
1	у него в	1	5
2	от него и	1	4
3	для того чтобы	41	3
4	в нем нет	3	3
5	в романах достоевского	1	3
6	до самого конца	2	2
7	не могут быть	1	2
8	с тем что	3	2
9	а не в	1	2
10	человеческой природы и	1	2
11	не может быть	4	2
12	у него не	1	2
13	и никогда не	1	2
14	это было бы	1	2
15	и в этом	2	2
16	что у него	1	2
17	сам по себе	4	1
18	вот с чем	1	1
19	он должен был	2	1
20	о том что	15	1
21	я имею в	1	1
22	в том что	30	1
23	можно было сделать	1	1
24	того чтобы сделать	2	1
25	не в том	1	1
26	друг с другом	6	1
27	есть не только	1	1
28	в том случае	1	1
29	он попал в	1	1
30	он никогда не	1	1
31	и то что	4	1
32	на поверхности у	1	1
33	и когда он	2	1
34	бы и не	1	1
35	в совершенно ином	1	1
36	то что в	4	1
37	и все же	1	1
38	в самом деле	8	1
39	и не в	1	1
40	как будто бы	1	1
41	указывали на то	1	1
42	смысле этого слова	1	1
43	во всяком случае	1	1
44	имею в виду	1	1
45	и в самом	3	1
46	этом никто не	1	1
47	ни к каким	1	1
48	в другом месте	1	1
49	как бы в	3	1
50	и в его	1	1
51	вместо того чтобы	1	1
52	она и не	1	1
53	уже указывали на	1	1
54	о том как	1	1
55	само по себе	3	1
56	и прежде всего	1	1
57	в этом отношении	3	1
58	все это было	2	1
59	и есть та	1	1
60	по сравнению с	4	1
61	потому что в	4	1
62	а не только	1	1
63	на то что	25	1
64	должен был бы	3	1
65	себе что он	1	1
66	от того что	1	1
67	заключает в себе	6	1
68	том что в	2	1
69	может быть что	1	1
70	и в том	2	1
71	после того как	1	1
72	и он был	1	1
73	когда он попал	1	1
74	что он был	1	1
75	друг к другу	5	1
76	но к этому	1	1
