N	2gram	Medvedev_B	Formalny
1	и в	1	95
2	и не	2	78
3	таким образом	1	52
4	так и	1	50
5	прежде всего	1	41
6	художественного произведения	1	36
7	а не	1	34
8	не только	1	30
9	в пределах	1	28
10	отнюдь не	1	26
11	в своей	1	24
12	на самом	1	24
13	было бы	1	23
14	в ней	2	23
15	и ее	1	22
16	что в	1	21
17	между ними	1	20
18	все это	2	19
19	все же	1	18
20	должна быть	1	18
21	во всяком	1	16
22	с другой	1	16
23	всяком случае	1	16
24	совершенно не	1	16
25	и на	1	15
26	еще не	1	14
27	и потому	1	14
28	до конца	1	13
29	другой стороны	1	10
30	не было	1	10
31	не о	1	10
32	говорить о	1	9
33	у нас	3	9
34	в данном	1	8
35	не следует	1	8
36	в области	1	8
37	установка на	1	7
38	художественном произведении	1	7
39	литературы как	1	7
40	что формалисты	1	7
41	творчества и	1	7
42	и более	1	7
43	кроме того	1	6
44	за пределы	1	6
45	литературных произведений	2	6
46	его не	1	6
47	значительной степени	1	5
48	вопрос о	1	5
49	всего в	1	5
50	на выражение	1	5
51	в значительной	1	5
52	формалистической поэтики	1	5
53	одной из	1	5
54	а о	1	5
55	в эпоху	1	5
56	по теории	1	5
57	со всем	1	4
58	поэтика должна	1	4
59	и во	1	4
60	и о	1	4
61	к ней	1	4
62	остановиться на	1	3
63	из ее	1	3
64	не то	2	3
65	и исторической	1	3
66	стиля и	1	3
67	никак не	1	3
68	о художественном	1	3
69	тем более	1	3
70	говорить об	1	3
71	также что	1	2
72	говорить не	1	2
73	произведения все	1	2
74	почти совершенно	1	2
75	точке зрения	1	2
76	в научном	1	2
77	формализма и	1	2
78	представляется нам	1	2
79	можно было	2	2
80	также не	1	2
81	далеко не	1	2
82	было и	1	2
83	является только	1	2
84	и нет	1	2
85	выходит за	1	2
86	было говорить	1	2
87	же не	1	2
88	своей книге	1	2
89	в речи	1	2
90	значение слова	1	2
91	чтобы можно	1	1
92	этим вопросам	1	1
93	ней только	1	1
94	как таковому	1	1
95	о них	1	1
96	без понимания	1	1
97	не вполне	1	1
98	то как	1	1
99	материала по	1	1
100	моментом в	1	1
101	что все	1	1
102	как будто	1	1
103	крайней мере	1	1
104	чем на	1	1
105	теории литературы	1	1
106	бы только	1	1
107	нельзя не	1	1
108	нет но	1	1
109	иначе не	1	1
110	поэтики и	1	1
111	переходя к	1	1
112	меньшей мере	1	1
113	и полнее	1	1
114	по крайней	1	1
115	методологической позиции	1	1
116	томашевского и	1	1
117	является изучение	1	1
118	по меньшей	1	1
119	видеть в	2	1
120	на которой	1	1
121	больше чем	2	1
122	об этом	1	1
123	не все	1	1
124	более подробно	1	1
125	этих приемов	1	1
126	самостоятельная и	1	1
127	не уничтожается	1	1
128	теоретической и	1	1
129	в книге	1	1
130	исторических условиях	1	1
131	ее задач	2	1
132	к формальному	1	1
133	меньше чем	1	1
