N	2gram	Voloshinov	VLabPisa
1	таким образом	12	32
2	в этом	4	29
3	не только	4	26
4	и в	12	26
5	может быть	14	23
6	и не	10	20
7	хотя бы	5	20
8	художественного творчества	3	19
9	не может	16	17
10	в процессе	6	17
11	в его	2	15
12	в том	6	15
13	этом отношении	1	14
14	все это	3	13
15	прежде всего	8	13
16	в качестве	1	12
17	в частности	1	12
18	как это	2	12
19	что в	2	11
20	с другой	4	11
21	то же	5	10
22	не могут	1	10
23	в художественном	3	10
24	о том	3	10
25	но и	3	10
26	и др	5	10
27	для него	3	9
28	к этому	2	9
29	могут быть	2	8
30	другой стороны	2	8
31	только в	6	8
32	все эти	3	8
33	вместе с	2	8
34	том что	5	8
35	было бы	1	8
36	в своем	2	8
37	произведения и	3	7
38	в основном	2	7
39	это не	2	7
40	говорит о	1	7
41	в конечном	1	7
42	не было	1	7
43	по отношению	11	7
44	как и	5	7
45	во всех	1	7
46	а не	5	7
47	то что	5	7
48	произведения в	1	7
49	художественное произведение	3	7
50	отношению к	11	7
51	в нем	6	7
52	художественное творчество	1	6
53	у него	1	6
54	более или	1	6
55	в порядке	1	6
56	все же	4	6
57	это и	1	6
58	в искусстве	1	6
59	не в	4	6
60	между тем	3	6
61	так и	4	6
62	художественного произведения	7	6
63	в себе	3	6
64	или менее	1	6
65	в зависимости	2	6
66	том же	1	6
67	и его	13	6
68	в то	2	6
69	в результате	1	5
70	в них	3	5
71	связи с	1	5
72	конечном счете	1	5
73	зависимости от	4	5
74	к тому	1	5
75	перед нами	1	5
76	не является	1	5
77	на основе	1	5
78	в одном	1	5
79	в пределах	3	5
80	же время	1	5
81	как бы	13	5
82	в целом	1	5
83	сказать что	7	5
84	никогда не	5	5
85	в самом	4	4
86	в ее	1	4
87	можно сказать	5	4
88	не обходится	1	4
89	что для	1	4
90	следующим образом	1	4
91	что все	1	4
92	равно как	1	4
93	в виду	5	4
94	художественном произведении	3	4
95	в своей	3	4
96	с его	2	4
97	это только	1	4
