N	4gram	Potebnia_M	Analitik
1	в то же время	3	14
2	не что иное как	2	6
3	одного и того же	6	6
4	в том что он	1	4
5	дело в том что	3	3
6	одной и той же	3	3
7	бы то ни было	1	3
8	той мере в какой	1	2
9	с этой точки зрения	1	2
10	в той мере в	1	2
11	не говоря уже о	1	2
12	лишь в том что	1	2
13	один и тот же	1	2
14	заключается в том что	1	2
15	и в том что	1	1
16	лицом к лицу с	1	1
17	в том что по	2	1
18	в том случае если	1	1
19	во всяком случае не	1	1
20	не для того чтобы	1	1
21	в том смысле что	2	1
22	по себе еще не	1	1
23	том виде в каком	1	1
24	а в том что	2	1
25	имеют значение только в	1	1
26	что при таком воззрении	1	1
27	но дело в том	2	1
28	тем не менее в	2	1
29	в том что именно	1	1
30	только в том что	5	1
31	в противном случае мы	1	1
32	не только в том	1	1
33	сами по себе они	1	1
34	а между тем в	2	1
35	как более или менее	1	1
36	но с другой стороны	2	1
37	и та и другая	1	1
38	с другой стороны и	1	1
39	и в этом смысле	3	1
40	в том виде в	1	1
41	а скорее в том	1	1
42	в каждом из этих	1	1
43	не в том что	3	1
44	но и в том	1	1
