N	4gram	Tiupa_Narr	Vladivir
1	дело в том что	1	11
2	в то же время	3	9
3	в том что в	1	5
4	и в то же	1	5
5	не что иное как	2	4
6	в том что он	1	3
7	обращает на себя внимание	3	2
8	один и тот же	1	2
9	бы то ни было	3	2
10	есть не что иное	1	2
11	с этой точки зрения	1	1
12	и не могло быть	1	1
13	состоит в том что	2	1
14	не с точки зрения	1	1
15	как это часто бывает	1	1
16	существует сам по себе	1	1
17	что несмотря на свою	1	1
18	включает в себя и	1	1
19	мы имеем дело с	1	1
20	чего нельзя сказать о	1	1
21	мы не имеем никакого	1	1
22	какой бы то ни	1	1
23	не спал всю ночь	1	1
