N	4gram	Voloshinov	DiskursI
1	в то же время	1	8
2	с одной стороны и	2	5
3	дело в том что	4	5
4	в том что в	1	3
5	одно и то же	2	3
6	и не может быть	1	2
7	в науке о литературе	1	2
8	бы то ни было	3	2
9	одним и тем же	1	2
10	того о ком или	1	1
11	и того о ком	1	1
12	взаимодействия трех говорящего автора	1	1
13	читателя и того о	1	1
14	ни в чем не	1	1
15	не может быть ни	1	1
16	позицию по отношению к	1	1
17	говорит о том что	1	1
18	ком или о чем	1	1
19	о ком или о	1	1
20	мы имеем дело с	1	1
21	социального взаимодействия трех говорящего	1	1
22	о чем говорят героя	1	1
23	или о чем говорят	1	1
24	одному и тому же	1	1
25	продукт социального взаимодействия трех	1	1
