N	3gram	Medvedev_V	OGranits
1	не может быть	8	4
2	одно и то	1	3
3	по отношению к	7	3
4	в том что	5	2
5	не чем иным	1	2
6	ничего общего с	1	2
7	того или иного	1	2
8	в зависимости от	5	2
9	в данном случае	1	2
10	и то же	1	2
11	чем иным как	1	2
12	в самом деле	1	2
13	с одной стороны	2	2
14	с другой стороны	8	2
15	в процессе творчества	1	1
16	является таким образом	1	1
17	не было бы	4	1
18	художественного произведения и	1	1
19	идти только о	1	1
20	все то что	1	1
21	как это обычно	1	1
22	между собою и	1	1
23	чуть ли не	2	1
24	иметь в виду	2	1
25	его точки зрения	1	1
26	есть одно и	1	1
27	но в то	1	1
28	богаче и сложнее	1	1
29	и сводится к	1	1
30	может идти только	1	1
31	равно как и	4	1
32	подобно тому как	3	1
33	в значительной мере	3	1
34	в конечном счете	5	1
35	так же как	1	1
36	тех или иных	1	1
37	на то что	1	1
38	для того чтобы	3	1
39	быть и речи	1	1
40	словесного материала в	1	1
41	в каждом отдельном	2	1
42	и никогда не	2	1
43	он и не	1	1
44	его роль в	1	1
45	мы полагаем что	1	1
46	в чем же	2	1
47	речь может идти	1	1
48	по мере возможности	1	1
49	мышления в его	1	1
50	хотя бы в	3	1
51	выйти за пределы	1	1
52	то или иное	1	1
53	в другом месте	2	1
54	этой точки зрения	2	1
55	с его точки	1	1
56	ту или иную	1	1
57	следует иметь в	2	1
58	в связи с	4	1
59	то же самое	1	1
60	то что в	1	1
61	и в каждой	1	1
62	к тому что	4	1
63	та или иная	3	1
64	только то что	2	1
65	прежде всего не	2	1
66	стадиях своего развития	1	1
67	нет и не	1	1
68	в этом отношении	14	1
69	и в их	1	1
70	то же время	5	1
71	далеко не всегда	1	1
72	более или менее	6	1
73	в то же	5	1
74	в виду что	1	1
75	об этом говорит	1	1
76	материала в зависимости	1	1
77	с этой точки	1	1
78	можно было бы	2	1
79	те или иные	1	1
80	и вместе с	1	1
81	в последнем счете	1	1
82	и не может	2	1
83	является не чем	1	1
84	может быть и	1	1
