N	3gram	Medvedev_F	VLabPisa
1	и т д	11	16
2	в этом отношении	7	14
3	и т п	11	9
4	не может быть	11	8
5	с другой стороны	4	8
6	по отношению к	4	7
7	по этому поводу	1	7
8	более или менее	7	6
9	в том что	3	5
10	хотя бы и	1	5
11	в художественном творчестве	1	5
12	в зависимости от	4	5
13	в то же	13	5
14	то же время	13	5
15	в художественном произведении	3	4
16	вместе с тем	5	4
17	равно как и	1	4
18	и подобных им	1	4
19	не могут быть	4	4
20	в связи с	9	4
21	к тому что	3	4
22	большей или меньшей	1	3
23	для того чтобы	3	3
24	в процессе художественного	1	3
25	в этой области	1	3
26	и в то	4	3
27	хотя бы в	4	3
28	таким образом не	3	3
29	та или иная	1	3
30	этих и подобных	1	3
31	в своем творчестве	1	3
32	одной стороны и	4	2
33	на эти вопросы	1	2
34	во всяком случае	6	2
35	от того что	1	2
36	том отношении что	1	2
37	в том чтобы	3	2
38	по крайней мере	1	2
39	в чем же	1	2
40	этой точки зрения	1	2
41	так и от	1	2
42	в этом процессе	2	2
43	в том числе	1	2
44	не в том	3	2
45	таким образом в	1	2
46	в точном смысле	1	2
47	в большей или	1	2
48	чуть ли не	1	2
49	в противном случае	2	2
50	мы знаем что	1	2
51	до сих пор	7	2
52	не только не	2	2
53	иметь в виду	1	2
54	в конце концов	2	2
55	том числе и	1	2
56	или меньшей степени	1	2
57	во всех этих	1	2
58	не может не	1	2
59	т е в	2	2
60	по этому вопросу	1	2
61	только в том	1	2
62	в том отношении	1	2
63	действительности и ее	1	2
64	только то что	1	2
65	с одной стороны	5	2
66	и не может	5	2
67	так же как	1	1
68	это то что	1	1
69	что он не	1	1
70	следует однако отметить	1	1
71	бытием и в	1	1
72	как особый специфический	1	1
73	элемент художественного произведения	3	1
74	художественного произведения не	1	1
75	время никогда не	1	1
76	в свою очередь	6	1
77	романа т е	1	1
78	отношении что они	1	1
79	отнюдь не в	1	1
80	того или иного	6	1
81	все то что	1	1
82	же время никогда	1	1
83	в художественное произведение	2	1
84	но вместе с	1	1
85	художественной структуры в	1	1
86	а порою и	1	1
87	структуры в единстве	1	1
88	в применении к	4	1
89	том смысле что	2	1
90	т п все	1	1
91	не типичны для	1	1
92	в какой мере	2	1
93	мы видим что	1	1
94	говорить только о	1	1
95	и может быть	1	1
96	но и в	4	1
97	однако отметить что	1	1
98	эстетики и психологии	1	1
99	произведения от его	1	1
100	как мы знаем	2	1
101	в том смысле	3	1
102	в этом смысле	3	1
103	как это было	2	1
104	по сравнению с	1	1
105	в историю литературы	1	1
106	не в этом	1	1
107	в том случае	2	1
108	может быть даже	1	1
109	имеем в виду	1	1
110	бы в основных	1	1
111	а не по	1	1
112	мы говорим о	2	1
113	является краеугольным камнем	1	1
114	все те черты	1	1
115	в этом случае	1	1
116	том или ином	1	1
117	говоря уже о	1	1
118	т е объединения	1	1
119	главным образом на	2	1
120	с реальной действительностью	1	1
121	с этой точки	1	1
122	и др но	1	1
123	здесь не могут	1	1
124	в самом деле	5	1
125	как один из	2	1
126	от всей полноты	2	1
127	и во всех	1	1
128	специальных проблем и	1	1
129	художников и в	1	1
130	и как увидим	1	1
131	с реальной жизнью	1	1
132	органической связи с	1	1
133	прежде всего необходимо	1	1
134	в следующих словах	1	1
135	художественного произведения этот	1	1
136	тех или иных	1	1
137	зависимости от различных	1	1
138	все эти определения	2	1
139	но даже и	2	1
140	на этот вопрос	1	1
141	в художественном образе	1	1
142	в таком случае	1	1
143	все же не	1	1
144	же в таком	1	1
145	не говоря уже	1	1
146	так или иначе	1	1
147	со всех сторон	1	1
148	сами по себе	4	1
149	где же в	1	1
150	сложные задачи и	1	1
151	не чем иным	1	1
152	художественного произведения и	2	1
153	ничего общего с	2	1
154	и в их	2	1
155	именно в этом	1	1
156	как и все	2	1
157	искусства не могло	1	1
158	что перед нами	2	1
159	что он в	1	1
160	но в то	3	1
161	то или иное	1	1
162	из этих элементов	1	1
163	и не должна	1	1
164	по аналогии с	4	1
165	между этими двумя	2	1
166	в его своеобразии	1	1
167	быть и речи	1	1
168	в данном случае	2	1
169	в том или	1	1
170	этом отношении очень	2	1
171	всего может быть	2	1
172	что они не	1	1
173	при помощи которой	1	1
174	именно в том	2	1
175	мы полагаем что	3	1
176	без нее не	1	1
177	чем иным как	1	1
178	может быть признана	1	1
179	же как и	1	1
180	и непосредственно как	1	1
181	как если бы	2	1
182	громадное значение для	2	1
183	художественный замысел как	1	1
184	в целом и	1	1
185	в новое время	1	1
186	очевидно что в	1	1
187	том случае если	1	1
188	сама по себе	2	1
189	со всем что	1	1
190	следует отметить что	1	1
191	в процессе этого	2	1
192	ни к какому	1	1
193	но все же	2	1
194	во всей ее	1	1
195	все это не	1	1
196	произведения и его	2	1
197	в последнем счете	2	1
198	совершенно очевидно что	1	1
199	отдельных его элементах	1	1
200	во взглядах на	1	1
201	даже и не	1	1
202	в виду что	1	1
203	нет и не	2	1
204	тот или иной	1	1
205	и речи о	1	1
206	он не создает	1	1
207	теми или иными	1	1
208	может быть при	1	1
209	является не чем	1	1
210	может быть и	4	1
