N	3gram	Medvedev_U	OGranits
1	не может быть	4	4
2	замкнутая в себе	1	2
3	в том что	2	2
4	художественного произведения как	1	2
5	в данном случае	1	2
6	в самом деле	2	2
7	с одной стороны	1	2
8	с другой стороны	3	2
9	не было бы	1	1
10	как и всякого	1	1
11	но в то	1	1
12	равно как и	1	1
13	в значительной мере	1	1
14	в конечном счете	4	1
15	тех или иных	2	1
16	на то что	1	1
17	с проблемой художественной	1	1
18	мы полагаем что	1	1
19	нам представляется не	1	1
20	эстетического объекта в	1	1
21	его эстетической функции	1	1
22	эстетического объекта и	1	1
23	то же самое	2	1
24	не входит в	1	1
25	говорит в.м жирмунский	2	1
26	в поэтическом творчестве	1	1
27	все же остается	1	1
28	в этом отношении	2	1
29	и в их	1	1
30	и всякого художника	1	1
31	то же время	3	1
32	что он называет	1	1
33	проблем связанных с	1	1
34	более или менее	1	1
35	в то же	3	1
36	само по себе	1	1
37	в его эстетической	1	1
