N	2gram	Trubetskoy	Vladivir
1	и в	14	116
2	то что	13	71
3	и не	19	67
4	у него	2	65
5	не только	9	65
6	в этом	17	53
7	в том	17	52
8	том что	9	51
9	что в	4	48
10	но и	10	47
11	в конце	3	41
12	в его	4	40
13	и с	7	39
14	то есть	1	37
15	и даже	2	36
16	также и	1	36
17	так что	2	35
18	потому что	5	33
19	что он	6	32
20	еще и	1	32
21	не может	22	31
22	о том	7	30
23	только в	5	30
24	как мы	1	29
25	никогда не	5	29
26	для него	6	29
27	вовсе не	1	27
28	а в	5	27
29	не было	3	26
30	в себе	9	25
31	но в	2	25
32	в то	10	25
33	и то	4	25
34	даже и	2	24
35	точки зрения	11	23
36	между прочим	1	23
37	он не	5	23
38	может быть	9	23
39	что же	4	23
40	он был	1	22
41	ни в	2	22
42	так как	4	22
43	в виде	3	22
44	об этом	1	22
45	в своей	5	21
46	вместе с	4	21
47	и что	2	20
48	в своем	6	20
49	для нас	2	20
50	прежде всего	8	20
51	не менее	1	19
52	тем не	1	19
53	таким образом	11	19
54	в те	1	19
55	в течение	2	19
56	так и	1	19
57	и потому	3	19
58	как и	4	18
59	не в	4	18
60	не был	1	18
61	как это	1	18
62	то это	3	17
63	что и	3	17
64	в этой	4	17
65	и если	7	17
66	а не	2	17
67	все же	4	16
68	уже не	2	16
69	к тому	7	16
70	не есть	3	16
71	для себя	2	16
72	и все	1	16
73	было бы	5	16
74	того что	3	16
75	в котором	2	16
76	и к	6	15
77	то же	11	15
78	в своих	6	15
79	к этому	1	15
80	несмотря на	3	15
81	в связи	1	15
82	до конца	1	15
83	но это	2	15
84	того же	1	14
85	все эти	2	14
86	его жизни	1	14
87	мы уже	2	14
88	и на	5	14
89	и как	3	14
90	во всем	4	13
91	в результате	2	13
92	с тем	6	13
93	можно сказать	1	13
94	так же	2	13
95	не просто	2	13
96	на этот	1	13
97	и от	2	13
98	что это	3	13
99	да и	3	13
100	дело в	1	13
101	жизни и	4	13
102	по себе	2	12
103	только на	2	12
104	и это	1	12
105	и у	1	12
106	и по	3	12
107	в нем	5	12
108	то в	3	12
109	если не	2	12
110	всяком случае	6	12
111	во всяком	9	12
112	есть только	1	12
113	связи с	3	12
114	при этом	5	11
115	более или	4	11
116	в данном	7	11
117	хотя бы	5	11
118	тому же	1	11
119	в которой	1	11
120	на то	5	11
121	никак не	1	11
122	это есть	2	11
123	все это	6	11
124	или менее	4	11
125	мы должны	7	11
126	и о	2	11
127	конце концов	3	11
128	в самом	3	10
129	даже в	1	10
130	что все	3	10
131	с точки	9	10
132	в качестве	3	10
133	что его	1	10
134	можно было	4	10
135	что для	3	10
136	отнюдь не	7	10
137	к нему	2	10
138	с ним	2	10
139	в россии	6	10
140	еще не	3	10
141	в истории	1	10
142	в ней	2	10
143	но не	4	10
144	именно в	3	9
145	с этим	2	9
146	с другой	1	9
147	мы знаем	1	9
148	а только	1	9
149	но как	1	9
150	а с	2	9
151	не будет	7	9
152	из этого	3	9
153	в начале	2	9
154	оно есть	1	9
155	отношения к	2	9
156	своей жизни	1	9
157	это не	1	9
158	же время	10	9
159	по существу	5	9
160	что касается	1	9
161	с этой	1	8
162	это учение	2	8
163	не столько	1	8
164	в этих	2	8
165	тем что	3	8
166	которой он	4	8
167	конечно не	5	8
168	себя в	4	8
169	со стороны	4	8
170	должно быть	3	8
171	как бы	4	8
172	и для	6	8
173	когда он	1	8
174	из этих	3	8
175	к этой	4	7
176	но все	1	7
177	к ней	1	7
178	на первый	1	7
179	но даже	2	7
180	точно так	2	7
181	и мы	1	7
182	себе и	4	7
183	даже не	2	7
184	был в	1	7
185	и есть	2	7
186	никак нельзя	1	7
187	здесь мы	1	7
188	если бы	6	7
189	к его	1	7
190	и вот	2	7
191	того чтобы	8	7
192	но если	3	7
193	нисколько не	2	7
194	на его	1	7
195	в таком	2	7
196	то и	1	7
197	и ни	3	7
198	по этому	2	7
199	был и	3	6
200	же и	1	6
201	тому что	2	6
202	те же	1	6
203	для того	6	6
204	настоящее время	2	6
205	на него	1	6
