N	2gram	Voloshinov	Tragedij
1	и в	16	18
2	в этом	9	9
3	в году	1	9
4	не только	7	8
5	и на	4	7
6	и не	4	7
7	может быть	17	7
8	и с	8	7
9	как бы	5	7
10	что он	2	6
11	у него	2	6
12	но в	4	6
13	и его	8	6
14	несмотря на	1	5
15	что это	2	5
16	так и	4	5
17	все же	1	5
18	то же	2	5
19	как и	2	5
20	не может	8	5
21	что в	3	4
22	и даже	4	4
23	все это	4	4
24	прежде всего	9	4
25	и все	4	4
26	я не	1	4
27	еще не	5	4
28	но и	4	4
29	том что	3	4
30	и что	1	4
31	так же	2	4
32	то что	3	4
33	в этой	4	4
34	что я	1	4
35	в нем	4	4
36	но это	2	4
37	один из	2	3
38	в основном	3	3
39	уже в	1	3
40	в его	4	3
41	для него	6	3
42	с ним	2	3
43	и сам	1	3
44	в конце	1	3
45	и как	3	3
46	в мире	1	3
47	при этом	6	3
48	как это	3	3
49	с ее	4	3
50	мог бы	1	3
51	отнюдь не	4	3
52	все эти	5	3
53	к нему	1	3
54	в самом	2	2
55	и то	1	2
56	ребенка и	3	2
57	в душе	2	2
58	и здесь	1	2
59	данном случае	1	2
60	ненависть к	2	2
61	в том	3	2
62	это уже	1	2
63	с тем	1	2
64	по мнению	1	2
65	говорит о	1	2
66	что и	2	2
67	ни в	5	2
68	в русском	1	2
69	не могут	2	2
70	его в	4	2
71	но эта	1	2
72	еще в	1	2
73	вопрос о	1	2
74	и это	6	2
75	она как	1	2
76	но особенно	1	2
77	во сне	2	2
78	уже не	1	2
79	к тому	1	2
80	о том	2	2
81	не был	1	2
82	не имеет	1	2
83	что эти	1	2
84	в данном	1	2
85	он был	1	2
86	то и	1	2
87	он не	2	2
88	по поводу	1	2
89	если б	3	2
90	в частности	2	2
91	в одном	3	2
92	его за	1	2
93	отношение к	5	2
94	году в	1	2
95	в самую	1	2
96	о его	1	2
97	этот маленький	1	2
98	столь же	1	2
99	что она	1	2
100	одна из	1	2
101	с его	7	2
102	не случайно	1	2
103	и ее	4	2
104	никогда не	2	2
105	в известной	1	2
106	ничего не	1	2
107	для самого	1	1
108	протест против	1	1
109	с яркой	1	1
110	во всем	1	1
111	от нее	1	1
112	с помощью	2	1
113	могут быть	3	1
114	только не	1	1
115	не нашел	1	1
116	к сожалению	1	1
117	с последним	1	1
118	мы видим	2	1
119	в центре	1	1
120	что оно	2	1
121	для ребенка	1	1
122	таким образом	9	1
123	сам же	1	1
124	в ребенке	1	1
125	статье мы	1	1
126	на путях	1	1
127	на неудачу	1	1
128	только что	1	1
129	на вопрос	1	1
130	желание в	1	1
131	часто и	1	1
132	главное для	1	1
133	почти не	2	1
134	с одной	1	1
135	и вот	3	1
136	к себе	3	1
137	с этой	2	1
138	ко всему	1	1
139	дело с	1	1
140	в применении	1	1
141	любовь к	1	1
142	на работу	1	1
143	психика не	1	1
144	это часто	1	1
145	так ли	1	1
146	что при	1	1
147	с этими	1	1
148	думается нам	1	1
149	б я	1	1
150	о нем	1	1
151	для нас	2	1
152	и всегда	1	1
153	из предшествующего	1	1
154	в человеке	1	1
155	политические идеи	1	1
156	как он	1	1
157	на противоположном	1	1
158	в виду	1	1
159	быть может	2	1
160	и теперь	3	1
161	только в	4	1
162	а на	2	1
163	и притом	3	1
164	борьбу с	1	1
165	в духе	1	1
166	черты инфантильной	1	1
167	он пуст	1	1
168	что не	2	1
169	как его	1	1
170	все события	1	1
171	развития в	1	1
172	в эпоху	1	1
173	не есть	2	1
174	ужас и	1	1
175	ницше или	1	1
176	вообще не	2	1
177	я и	6	1
178	из тех	2	1
179	в связи	1	1
180	является по	2	1
181	этой борьбе	1	1
182	очень важный	1	1
183	с ними	4	1
184	было до	1	1
185	и она	3	1
186	страха и	1	1
187	есть в	2	1
188	похожим на	2	1
189	в переводе	2	1
190	в своей	2	1
191	вместе с	3	1
192	на этом	3	1
193	при таком	1	1
194	жизни в	1	1
195	роль в	1	1
196	не менее	2	1
197	на все	1	1
198	и могут	1	1
199	она хочет	1	1
200	и жизнь	1	1
201	века в	1	1
202	между собой	2	1
203	власти и	1	1
204	сравнению с	3	1
205	это было	1	1
206	в чем	5	1
207	в момент	1	1
208	матери и	3	1
209	но мы	4	1
210	это самое	1	1
211	всем его	1	1
212	разу не	1	1
213	в них	2	1
214	на них	2	1
215	во всех	3	1
216	с сознанием	3	1
217	во всяком	3	1
218	и потому	3	1
219	это и	1	1
220	совершенно не	8	1
221	но как	2	1
222	с самого	4	1
223	применении к	1	1
224	связи с	1	1
225	хотя бы	4	1
226	она не	1	1
227	противоположном конце	1	1
228	того чтобы	1	1
229	на другой	1	1
230	но не	1	1
231	в другом	1	1
232	в каких	1	1
233	быть не	1	1
234	в ней	1	1
235	с совершенно	1	1
236	что судьба	1	1
237	в отношениях	1	1
238	мы узнаем	1	1
239	самом деле	6	1
240	перенес в	1	1
241	в развитии	2	1
242	в образах	1	1
243	лишь в	1	1
244	а не	1	1
245	в душу	1	1
246	значение для	1	1
247	только на	3	1
248	и их	4	1
249	есть и	2	1
250	отказ от	1	1
251	можно было	1	1
252	за пределы	2	1
253	конечно в	1	1
254	даже не	3	1
255	и посвящена	1	1
256	душу и	1	1
257	ту же	2	1
258	чего же	1	1
259	это может	1	1
260	человека и	1	1
261	говорили что	1	1
262	отметить что	1	1
263	на всю	1	1
264	самого начала	4	1
265	который до	1	1
266	и т.д	1	1
267	значение и	1	1
268	это же	1	1
269	последнее слово	1	1
270	известной степени	1	1
271	я в	1	1
272	к ним	2	1
273	и еще	1	1
274	ту сторону	5	1
275	в точности	1	1
276	как мы	4	1
277	жизнь как	1	1
278	и особенно	1	1
279	на две	3	1
280	и о	2	1
281	как некое	1	1
282	ее не	1	1
283	той же	1	1
284	и др	3	1
285	но несмотря	1	1
286	по сравнению	3	1
287	это мы	1	1
288	именно так	1	1
289	своего происхождения	1	1
290	в высшей	1	1
291	и есть	3	1
292	первый объект	1	1
293	с которым	1	1
294	в голову	2	1
295	все время	1	1
296	в общем	3	1
297	на этот	1	1
298	всю жизнь	2	1
299	с сыном	1	1
300	году и	1	1
301	в период	1	1
302	право на	1	1
303	а это	1	1
304	но если	1	1
305	в области	3	1
306	и по	2	1
307	и эта	1	1
308	нуждается в	5	1
309	для достижения	1	1
310	человек не	1	1
311	это в	1	1
312	всяком случае	3	1
313	к ее	1	1
314	ни разу	1	1
315	за счет	2	1
316	и наконец	4	1
317	что на	2	1
318	шутки и	2	1
319	намек на	1	1
320	это желание	1	1
321	высшей степени	1	1
