N	3gram	Voloshinov	Poddanst
1	то же время	1	7
2	в то же	1	7
3	в отношении к	2	5
4	в том что	4	4
5	сами по себе	1	3
6	с точки зрения	2	3
7	с одной стороны	2	3
8	в своем значении	1	2
9	но и в	1	2
10	одной стороны и	2	2
11	совершенно ясно что	1	1
12	и в частности	1	1
13	в этих двух	2	1
14	но в то	1	1
15	и в формах	1	1
16	не может быть	7	1
17	поскольку они являются	1	1
18	том что в	1	1
19	в этом смысле	1	1
20	нельзя отождествлять с	1	1
21	в творчестве достоевского	1	1
22	литературы и не	1	1
23	во всяком случае	1	1
24	с другой стороны	2	1
25	и не может	3	1
26	бы оно ни	1	1
27	в настоящее время	2	1
28	более или менее	1	1
29	так же как	1	1
30	в частности в	1	1
31	или хотя бы	1	1
32	и в этом	1	1
