N	2gram	Potebnia_M	formyVre
1	и в	48	148
2	в этом	19	73
3	то есть	53	70
4	в нем	16	51
5	прежде всего	6	46
6	и т	12	40
7	и не	28	37
8	в его	6	36
9	и его	4	36
10	вовсе не	13	35
11	но и	30	33
12	то же	35	32
13	т п	7	32
14	не только	32	32
15	но в	8	31
16	жизни и	3	31
17	так и	17	29
18	времени в	1	27
19	может быть	46	27
20	не в	24	26
21	как мы	8	26
22	как и	22	25
23	как бы	10	25
24	человеческой жизни	3	24
25	точки зрения	4	24
26	мы уже	5	24
27	только в	29	23
28	в то	16	23
29	времени и	2	23
30	человека в	2	23
31	в том	47	22
32	то что	37	22
33	связи с	6	21
34	во всех	1	21
35	жизни в	1	21
36	же время	8	21
37	все эти	1	21
38	в своем	6	19
39	и др	1	19
40	и на	5	19
41	таким образом	24	18
42	у него	3	18
43	и все	5	18
44	еще не	9	18
45	при этом	6	17
46	те же	6	17
47	с этим	12	17
48	так как	20	17
49	в пределах	1	17
50	человека и	8	17
51	все же	3	16
52	в связи	1	16
53	того же	5	16
54	и во	1	16
55	и их	4	16
56	не может	18	16
57	в разных	4	15
58	в одном	4	15
59	в них	9	15
60	никогда не	2	15
61	с точки	3	15
62	так сказать	6	15
63	с его	1	15
64	в пространстве	1	15
65	вместе с	22	15
66	лишь в	2	15
67	и как	8	14
68	и с	4	14
69	так же	6	14
70	его жизни	2	14
71	а не	22	14
72	все это	4	14
73	в самом	11	13
74	в котором	7	13
75	для того	8	13
76	друг с	1	13
77	во время	4	13
78	с ним	10	13
79	как в	17	13
80	в их	2	13
81	с другом	1	13
82	того чтобы	5	13
83	а в	14	13
84	же в	3	13
85	и до	2	12
86	конечно не	2	12
87	время в	3	12
88	не было	12	12
89	он не	4	12
90	значение и	1	12
91	что в	30	12
92	это время	1	12
93	потому что	82	12
94	в истории	2	12
95	ничего не	1	12
96	но не	8	12
97	и наконец	3	12
98	из них	11	11
99	хотя и	3	11
100	его в	6	11
101	между ними	4	11
102	ни в	2	11
103	в образе	4	11
104	уже в	10	11
105	мира и	1	11
106	в ней	11	11
107	уже не	11	10
108	и того	2	10
109	входит в	3	10
110	влияние на	3	10
111	в ее	3	10
112	сих пор	4	10
113	до сих	4	10
114	на основе	1	10
115	в ряд	1	10
116	и проч	25	10
117	здесь не	1	10
118	тот же	2	10
119	в большинстве	2	10
120	и даже	3	9
121	но все	2	9
122	их в	3	9
123	с другой	8	9
124	должно быть	9	9
125	и следовательно	3	9
126	и это	6	9
127	в других	3	9
128	могут быть	6	9
129	та же	3	9
130	отношения к	2	9
131	оно не	7	9
132	том что	28	9
