N	4gram	Bakhtin_KF	Narrotol
1	в то же время	2	8
2	дело в том что	1	3
3	есть на самом деле	2	2
4	и в то же	1	2
5	одного и того же	1	2
6	во всей его полноте	1	1
7	но для того чтобы	1	1
8	нет и не должно	1	1
9	же не может быть	1	1
10	одна и та же	2	1
11	дело здесь не в	1	1
12	бы то ни было	2	1
13	не вступает в противоречие	1	1
14	ни в чем не	4	1
15	того мира в котором	1	1
16	могла бы и не	1	1
17	ее и вследствие этого	1	1
18	позицию по отношению к	1	1
19	один и тот же	3	1
20	вступает в противоречие с	1	1
21	не само по себе	1	1
22	возможное смысловое единство возможных	1	1
23	только по отношению к	2	1
24	смысловое единство возможных суждений	1	1
25	он не может быть	1	1
26	и тем не менее	1	1
27	гарантирует возможное смысловое единство	1	1
