N	4gram	Tiupa_Hudo	Myshleni
1	заключается в том что	1	43
2	состоит в том что	3	17
3	с этой точки зрения	1	16
4	так же как и	1	16
5	в такой же мере	2	10
6	в том числе и	1	10
7	с одной стороны и	1	10
8	все более и более	1	8
9	в том что в	1	8
10	только в том что	3	8
11	в том что он	1	8
12	то же самое что	2	7
13	точно так же как	1	6
14	в этом и заключается	1	5
15	приводит к тому что	2	5
16	смысле можно сказать что	1	4
17	в тот момент когда	3	4
18	несмотря на то что	1	4
19	в связи с этим	2	3
20	в том что она	1	3
21	дело в том что	1	3
22	известном смысле можно сказать	1	3
23	в известном смысле можно	1	3
24	не чем иным как	1	3
25	одна и та же	1	3
26	но тем не менее	2	2
27	не потому что он	1	2
28	прежде всего в том	1	2
29	в гораздо большей степени	1	2
30	в то же время	11	2
31	всего в том что	1	2
32	том что он не	1	2
33	в один ряд с	1	2
34	на самом же деле	1	2
35	так можно было бы	1	2
36	в этом отношении она	1	2
37	с точки зрения развития	1	2
38	в равной мере и	1	2
39	к тому что он	4	2
40	убеждает нас в том	1	2
41	она не может быть	1	2
42	в том случае если	2	2
43	о том что в	3	2
44	отличаются друг от друга	1	2
45	только для того чтобы	1	2
46	мы имеем дело с	1	2
47	и по отношению к	1	2
48	если можно так выразиться	1	2
49	что мы узнаем из	1	1
50	между внешним и внутренним	2	1
51	так и по отношению	1	1
52	том смысле как мы	1	1
53	как раз в том	1	1
54	состоит как раз в	1	1
55	том случае если бы	1	1
56	тем не менее едва	1	1
57	можно было бы подумать	1	1
58	раз и состоит в	1	1
59	то что принято называть	1	1
60	то и другое в	1	1
61	и в самом деле	4	1
62	вступает в противоречие с	1	1
63	что она не может	1	1
64	только о том что	1	1
65	как раз и состоит	1	1
66	этом не только не	1	1
67	раз в том что	1	1
68	не менее едва ли	1	1
69	а для того чтобы	1	1
70	опять как и в	1	1
71	по отношению к другому	2	1
72	едва ли может быть	1	1
73	между внешней и внутренней	1	1
74	то же время не	1	1
75	было бы подумать что	1	1
76	нам о том как	1	1
77	в том смысле как	1	1
78	и в то же	2	1
79	и в этом смысле	1	1
80	не только потому что	1	1
81	и то и другое	1	1
82	наконец в заключительной главе	1	1
83	как по отношению к	1	1
84	ни в чем не	1	1
85	не обращая внимания на	1	1
86	представляет собой один из	1	1
87	в этом и состоит	1	1
88	то можно было бы	1	1
89	но с другой стороны	1	1
90	дело здесь не в	1	1
91	одних и тех же	2	1
92	при этом не только	1	1
93	же как и все	1	1
94	в первую очередь на	1	1
95	по отношению к личности	2	1
96	и в этом отношении	1	1
