N	2gram	Losev_Dial	KulturaY
1	и т	31	143
2	т е	49	102
3	т п	3	93
4	и в	35	84
5	в том	20	74
6	потому что	23	68
7	не только	26	60
8	точки зрения	25	59
9	в этом	18	57
10	было бы	14	53
11	и не	51	52
12	может быть	30	47
13	что в	19	44
14	том что	18	44
15	того чтобы	1	44
16	т д	28	42
17	в самом	6	41
18	для того	2	41
19	хотя бы	6	37
20	самом деле	6	37
21	так как	24	36
22	с точки	18	36
23	в области	2	34
24	таким образом	5	33
25	а не	24	33
26	если бы	12	32
27	можно было	5	32
28	не в	12	30
29	и пр	7	30
30	в его	4	30
31	прежде всего	14	30
32	все же	9	29
33	не менее	5	28
34	того что	6	28
35	все эти	4	28
36	уже не	3	26
37	в силу	6	26
38	то что	25	25
39	вовсе не	19	25
40	не может	16	25
41	вопрос о	3	24
42	с другой	10	24
43	еще не	4	24
44	то же	21	23
45	только в	7	23
46	так и	18	23
47	тем не	3	21
48	по себе	39	20
49	во всяком	5	20
50	и что	17	20
51	но и	17	20
52	тем что	2	19
53	о том	8	19
54	что он	16	19
55	зависимости от	2	19
56	что же	5	19
57	всяком случае	3	19
58	но в	8	19
59	и с	10	18
60	с тем	2	18
61	к тому	6	18
62	в сущности	2	18
63	в качестве	2	18
64	связи с	3	18
65	между тем	3	18
66	вместе с	3	18
67	как бы	19	18
68	все это	14	18
69	в той	4	17
70	можно говорить	2	17
71	другой стороны	7	17
72	как это	8	17
73	что это	21	17
74	слова и	1	17
75	как раз	7	17
76	это не	18	17
77	в виду	9	16
78	в зависимости	2	16
79	что и	7	16
80	что не	13	16
81	тот же	1	16
82	ничего не	19	16
83	но не	9	16
84	при этом	2	15
85	именно в	4	15
86	в данном	5	15
87	как на	1	15
88	том чтобы	1	15
89	не было	7	15
90	и тем	2	15
91	один из	3	15
92	ни к	2	15
93	только потому	4	15
94	того как	3	15
95	а в	8	15
96	должно быть	7	15
97	в них	4	14
98	сказать что	19	14
99	хотя и	4	14
100	что такое	13	14
101	в связи	3	14
102	я не	9	14
103	сих пор	4	14
104	в ней	4	14
105	до сих	4	14
106	если мы	3	14
107	как мы	5	14
108	мы имеем	4	14
109	также и	7	14
110	что она	18	13
111	крайней мере	11	13
112	между прочим	1	13
113	в этой	3	13
114	там где	1	13
115	не могут	4	13
116	в которых	2	13
117	по крайней	11	13
118	той же	1	13
119	для нас	1	13
120	это и	6	13
121	по существу	2	13
122	и его	6	13
123	с этой	3	12
124	говорить о	9	12
125	в результате	2	12
126	но также	1	12
127	того же	1	12
128	ясно что	11	12
129	а только	5	12
130	вопроса о	1	12
131	могут быть	6	12
132	тогда когда	6	12
133	как в	3	12
134	однако не	1	12
135	для этого	2	12
136	должен быть	2	11
137	в своем	7	11
138	на себе	3	11
139	он не	5	11
140	в нем	25	11
141	и здесь	1	11
142	должна быть	5	11
143	и то	15	11
144	еще и	4	11
145	совершенно не	13	11
146	из этих	2	11
147	и если	5	11
148	этом отношении	2	11
149	уже в	5	11
150	в их	5	11
151	в какой	3	11
152	или иной	4	11
153	в особенности	6	10
154	как и	10	10
155	речь идет	2	10
156	так же	6	10
157	конечно не	9	10
158	к этому	2	10
159	несмотря на	12	10
160	бы в	3	10
161	этом смысле	4	10
162	не просто	19	10
163	в общем	2	10
164	в то	10	10
165	со стороны	2	10
166	в каком	10	10
167	с этим	5	10
168	они не	3	10
169	бы и	4	10
170	тем более	2	10
171	того или	1	10
172	тех же	1	10
173	тем самым	1	10
174	от того	2	10
175	в своей	9	9
176	можно сказать	10	9
177	что все	2	9
178	в которой	3	9
179	но для	2	9
180	очевидно что	1	9
181	здесь не	1	9
182	мы говорим	6	9
183	и есть	20	9
184	ни в	20	9
185	не имеет	15	9
186	что мы	3	9
187	не потому	5	9
188	но это	12	9
189	и для	2	9
190	дает нам	2	9
191	и вот	10	9
192	то мы	2	9
193	а также	1	9
194	но уже	3	9
195	на то	5	9
196	в целом	1	9
197	в этих	6	8
198	но все	5	8
199	в первую	2	8
200	что они	8	8
201	по преимуществу	1	8
202	с одной	4	8
203	это слово	1	8
204	тому же	3	8
205	в таком	4	8
206	тому что	4	8
207	не есть	67	8
208	в чем	9	8
209	смысл и	6	8
210	в своих	1	8
211	в тех	2	8
212	отнюдь не	13	8
213	а потому	3	8
214	убедиться что	2	8
215	был бы	1	8
216	заключается в	4	8
217	да и	11	8
218	то и	3	8
219	тех пор	2	8
220	только тогда	9	8
221	что я	5	8
222	независимо от	2	8
223	на самом	5	8
224	и как	14	8
225	об этом	7	8
226	мере в	3	8
227	не говоря	1	8
228	в частности	4	8
229	далеко не	2	8
230	и о	4	8
231	же в	2	8
232	само по	7	8
233	что на	2	8
234	же и	11	7
235	следует что	2	7
236	стоит в	1	7
237	например в	2	7
238	а именно	3	7
239	в котором	5	7
240	в одном	4	7
241	была бы	4	7
242	указать на	1	7
243	на том	1	7
244	внимание на	1	7
245	при чем	2	7
246	во внимание	2	7
247	учение о	11	7
248	так сказать	1	7
249	а с	2	7
250	не значит	6	7
251	столь же	1	7
252	одной стороны	3	7
253	и должно	3	7
254	с ним	9	7
255	никак не	6	7
256	есть лишь	1	7
257	но вот	5	7
258	как о	2	7
259	с ними	4	7
260	и более	7	7
261	когда мы	3	7
262	идет о	1	7
263	в истории	1	7
264	как например	2	7
265	в поэзии	8	7
266	все равно	7	7
267	лишь с	1	7
268	и вовсе	1	7
269	есть в	2	7
270	нисколько не	7	7
271	не все	1	7
272	и потому	6	7
273	она не	10	7
274	не знает	2	7
275	когда он	2	7
276	только как	3	7
277	что касается	3	7
278	как он	5	7
279	были бы	3	6
280	говоря уже	1	6
281	только что	5	6
282	даже в	6	6
283	в корне	2	6
284	только для	1	6
285	отличается от	3	6
286	не всегда	2	6
287	уже о	1	6
288	о них	1	6
289	можно ли	3	6
290	что как	2	6
291	что именно	3	6
292	именно с	1	6
293	она есть	12	6
294	гораздо более	3	6
295	на язык	1	6
296	мы знаем	1	6
297	в ее	3	6
298	и именно	1	6
299	от этого	5	6
300	той или	11	6
301	могли бы	1	6
302	на этом	4	6
303	должны быть	2	6
304	за пределы	4	6
305	однако что	1	6
306	то или	5	6
307	или иное	5	6
308	я в	3	6
309	мы называем	1	6
310	главным образом	2	6
311	его к	1	6
312	е в	3	6
313	первую очередь	1	6
314	не на	1	6
315	разумеется не	1	6
316	оно не	2	6
317	если не	1	6
318	этой точки	2	6
319	но только	6	6
320	содержание и	2	6
321	перед нами	3	6
322	а если	1	6
323	когда в	1	6
324	что если	4	6
325	же время	9	6
326	в сфере	2	6
327	тем же	3	6
328	в себе	23	6
329	что оно	9	6
330	данном случае	1	6
331	мы не	1	6
332	что с	2	6
333	или в	2	6
334	этого не	1	6
335	то это	6	6
336	если и	2	6
337	как будто	7	6
338	что эти	3	6
339	может иметь	6	6
340	это конечно	5	6
341	отличие от	1	6
342	что значит	1	6
343	дело не	3	6
344	не с	5	6
345	говоря о	2	6
