N	4gram	Bakhtin_KF	Marksizm
1	в то же время	2	15
2	бы то ни было	2	12
3	одного и того же	1	9
4	но в то же	1	9
5	один и тот же	3	3
6	какого бы то ни	1	2
7	с нашей точки зрения	1	2
8	в ту или иную	1	2
9	одна и та же	2	2
10	ту или иную эпоху	1	2
11	несмотря на то что	1	2
12	только по отношению к	2	2
13	только при этом условии	1	2
14	в каком бы то	1	1
15	с точки зрения той	1	1
16	но для того чтобы	1	1
17	интонации в зависимости от	1	1
18	то же самое что	1	1
19	каком бы то ни	1	1
20	дело в том что	1	1
21	и по отношению к	1	1
22	во всех этих случаях	1	1
23	смысле этого слова ведь	1	1
24	с точки зрения теоретической	1	1
25	бы оно ни было	1	1
26	общего не имеют с	1	1
27	ни к чему не	2	1
28	тем не менее в	1	1
29	и ни к чему	1	1
30	но во всяком случае	1	1
31	как бы он ни	1	1
32	как бы ни была	1	1
33	по отношению ко всякому	1	1
34	по отношению к нему	4	1
35	мы только путем скачка	1	1
36	можно в лучшем случае	1	1
37	ничего общего не имеет	1	1
38	ни на один миг	1	1
39	ничего общего не имеют	1	1
40	до сих пор не	1	1
